,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
44,Tony Romo,DAL,QB,32,16,16,425,648,4903,19,30,49,1,1,-1,-1,6,3,4903,28,648,49,1,30,-1,0,275.92
45,Russell Wilson,SEA,QB,24,16,16,252,393,3118,10,94,489,0,0,0,0,6,3,3118,26,393,489,4,94,0,0,275.62
46,Michael Turner,ATL,RB,30,16,16,0,0,0,0,222,800,30,19,128,6.74,3,1,0,0,0,800,10,222,128,1,175.8
47,Jason Witten,DAL,TE,30,16,16,0,0,0,0,0,0,147,110,1039,9.45,0,0,0,0,0,0,0,0,1039,3,231.9
48,Andrew Luck,IND,QB,23,16,16,339,627,4374,18,62,255,0,0,0,0,10,5,4374,23,627,255,5,62,0,0,276.46
49,Ahmad Bradshaw,NYG,RB,26,14,12,0,0,0,0,221,1015,31,23,245,10.65,3,3,0,0,0,1015,6,221,245,0,179
50,Matthew Stafford,DET,QB,24,16,16,435,727,4967,17,35,126,1,1,3,3,6,4,4967,20,727,126,4,35,3,0,274.58
51,Randall Cobb,GNB,RB,22,15,8,0,0,0,0,10,132,104,80,954,11.93,4,1,0,0,0,132,0,10,954,8,234.6
52,Steve Smith,CAR,WR,33,16,16,0,0,0,0,3,27,137,73,1174,16.08,1,1,0,0,0,27,0,3,1174,4,215.1
53,Lance Moore,NOR,WR,29,15,7,0,0,0,0,0,0,104,65,1041,16.02,0,0,0,0,0,0,0,0,1041,6,205.1
54,BenJarvus Green-Ellis,CIN,RB,27,15,15,0,0,0,0,278,1094,30,22,104,4.73,3,2,0,0,0,1094,6,278,104,0,173.8
55,Steve Johnson,BUF,WR,26,16,16,0,0,0,0,0,0,148,79,1046,13.24,1,1,0,0,0,0,0,0,1046,6,217.6
56,Cecil Shorts,JAX,WR,25,14,9,0,0,0,0,1,-4,105,55,979,17.8,1,1,0,0,0,-4,0,1,979,7,192.5
57,Mikel Leshoure,DET,RB,22,14,14,0,0,0,0,215,798,49,34,214,6.29,3,3,0,0,0,798,9,215,214,0,183.2
58,Greg Olsen,CAR,TE,27,16,16,0,0,0,0,0,0,104,69,843,12.22,0,0,0,0,0,0,0,0,843,5,183.3
59,Torrey Smith,BAL,WR,23,16,16,0,0,0,0,3,9,110,49,855,17.45,0,0,0,0,0,9,0,3,855,8,183.4
60,LeSean McCoy,PHI,RB,24,12,12,0,0,0,0,200,840,67,54,373,6.91,4,3,0,0,0,840,2,200,373,3,199.3
61,Dennis Pitta,BAL,TE,27,16,5,0,0,0,0,0,0,94,61,669,10.97,0,0,0,0,0,0,0,0,669,7,169.9
62,T.Y. Hilton,IND,WR,23,15,1,0,1,0,0,5,29,90,50,861,17.22,1,0,0,0,1,29,0,5,861,7,181
63,Mike Wallace,PIT,WR,26,15,14,0,0,0,0,5,7,119,64,836,13.06,2,1,0,0,0,7,0,5,836,8,194.3
64,Owen Daniels,HOU,TE,30,15,14,0,0,0,0,0,0,104,62,716,11.55,0,0,0,0,0,0,0,0,716,6,169.6
65,Darren Sproles,NOR,RB,29,13,6,0,0,0,0,48,244,104,75,667,8.89,0,0,0,0,0,244,1,48,667,7,214.1
66,Miles Austin,DAL,WR,28,16,15,0,0,0,0,0,0,119,66,943,14.29,1,1,0,0,0,0,0,0,943,6,194.3
67,Kyle Rudolph,MIN,TE,23,16,16,0,0,0,0,0,0,93,53,493,9.3,0,0,0,0,0,0,0,0,493,9,156.3
68,Brandon Myers,OAK,TE,27,16,16,0,0,0,0,0,0,105,79,806,10.2,0,0,0,0,0,0,0,0,806,4,183.6
69,Jeremy Maclin,PHI,WR,24,15,15,0,0,0,0,0,0,122,69,857,12.42,1,1,0,0,0,0,0,0,857,7,194.7
70,Jermaine Gresham,CIN,TE,24,16,15,0,0,0,0,0,0,94,64,737,11.52,2,1,0,0,0,0,0,0,737,5,165.7
71,Justin Blackmon,JAX,WR,22,16,14,0,0,0,0,2,23,132,64,865,13.52,1,0,0,0,0,23,0,2,865,5,182.8
72,Jordy Nelson,GNB,WR,27,12,10,0,0,0,0,0,0,73,49,745,15.2,0,0,0,0,0,0,0,0,745,7,165.5
73,Andy Dalton,CIN,QB,25,16,16,329,528,3669,16,47,120,0,0,0,0,4,4,3669,27,528,120,4,47,0,0,250.76
74,Tyler Clutts,HOU,0,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,DeAngelo Williams,CAR,RB,29,16,10,0,0,0,0,173,737,20,13,187,14.38,2,2,0,0,0,737,5,173,187,2,143.4
76,Antonio Gates,SDG,TE,32,15,15,0,0,0,0,0,0,80,49,538,10.98,0,0,0,0,0,0,0,0,538,7,144.8
77,Richie Brockel,CAR,0,26,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Josh Freeman,TAM,QB,24,16,16,306,558,4065,17,39,139,0,0,0,0,10,2,4065,27,558,139,0,39,0,0,246.5
79,Joe Flacco,BAL,QB,27,16,16,317,531,3817,10,32,22,0,0,0,0,9,4,3817,22,531,22,3,32,0,0,232.88
80,Eli Manning,NYG,QB,31,16,16,321,536,3948,15,20,30,0,0,0,0,5,1,3948,26,536,30,0,20,0,0,232.92
81,Sam Bradford,STL,QB,25,16,16,328,551,3702,13,36,124,0,0,0,0,7,1,3702,21,551,124,1,36,0,0,222.48
82,Matt Schaub,HOU,QB,31,16,16,350,544,4008,12,21,-9,1,1,-6,-6,4,0,4008,22,544,-9,0,21,-6,0,223.82
83,Carson Palmer,OAK,QB,33,15,15,345,565,4018,14,18,36,0,0,0,0,7,5,4018,22,565,36,1,18,0,0,220.32
84,Ben Roethlisberger,PIT,QB,30,13,13,284,449,3265,8,26,92,0,0,0,0,6,3,3265,26,449,92,0,26,0,0,221.8
85,Ryan Fitzpatrick,BUF,QB,30,16,16,306,505,3400,16,48,197,0,0,0,0,8,6,3400,24,505,197,1,48,0,0,213.7
86,Philip Rivers,SDG,QB,31,16,16,338,527,3606,15,27,40,1,0,0,0,15,7,3606,26,527,40,0,27,0,0,208.24
87,Christian Ponder,MIN,QB,24,16,16,300,483,2935,12,60,253,1,1,-15,-15,7,5,2935,18,483,253,2,60,-15,0,192.2
88,Jay Cutler,CHI,QB,29,15,15,255,434,3033,14,41,233,0,0,0,0,8,4,3033,19,434,233,0,41,0,0,184.62
89,Ryan Tannehill,MIA,QB,24,16,16,282,484,3294,13,49,211,0,0,0,0,9,4,3294,12,484,211,2,49,0,0,178.86
90,Colin Kaepernick,SFO,QB,25,13,7,136,218,1814,3,63,415,0,0,0,0,9,2,1814,10,218,415,5,63,0,0,174.06
91,Brandon Weeden,CLE,QB,29,15,15,297,517,3385,17,27,111,1,0,-9,0,6,1,3385,14,517,111,0,27,-9,0,165.6
92,Michael Vick,PHI,QB,32,10,10,204,351,2362,10,62,332,0,0,0,0,11,5,2362,12,351,332,1,62,0,0,151.68
93,Jake Locker,TEN,QB,24,11,11,177,314,2176,11,41,291,1,0,0,0,4,4,2176,10,314,291,1,41,0,0,132.14
94,Alex Smith,SFO,QB,28,10,9,153,218,1737,5,31,132,0,0,0,0,3,1,1737,13,218,132,0,31,0,0,122.68
95,Anquan Boldin,BAL,WR,32,15,15,0,0,0,0,1,3,112,65,921,14.17,0,0,0,0,0,3,0,1,921,4,181.4
96,Sidney Rice,SEA,WR,26,16,16,1,2,25,0,2,6,82,50,748,14.96,0,0,25,0,2,6,0,2,748,7,168.4
97,Mark Sanchez,NYJ,QB,26,15,15,246,453,2883,18,22,28,0,0,0,0,14,8,2883,13,453,28,0,22,0,0,118.12
98,Danny Woodhead,NWE,RB,27,16,2,0,0,0,0,76,301,55,40,446,11.15,1,0,0,0,0,301,4,76,446,3,156.7
99,Denarius Moore,OAK,WR,24,15,15,0,0,0,0,1,-5,114,51,741,14.53,3,0,0,0,0,-5,0,1,741,7,166.6
100,Golden Tate,SEA,WR,24,15,15,1,1,23,0,3,20,68,45,688,15.29,1,1,23,1,1,20,0,3,688,7,160.72
101,Vick Ballard,IND,RB,22,16,12,0,0,0,0,211,814,27,17,152,8.94,3,0,0,0,0,814,2,211,152,1,131.6
102,Brandon Lloyd,NWE,WR,31,16,15,0,0,0,0,0,0,131,74,911,12.31,0,0,0,0,0,0,0,0,911,4,189.1
103,Chad Henne,JAX,QB,27,10,6,166,308,2084,11,19,64,0,1,-6,-6,4,2,2084,11,308,64,1,19,-6,0,114.16
104,Willis McGahee,DEN,RB,31,10,9,0,0,0,0,167,731,33,26,221,8.5,5,4,0,0,0,731,4,167,221,0,137.2
105,Brian Hartline,MIA,WR,26,16,15,0,0,0,0,0,0,131,74,1083,14.64,1,1,0,0,0,0,0,0,1083,1,186.3
106,Malcom Floyd,SDG,WR,31,14,14,0,0,0,0,0,0,85,56,814,14.54,0,0,0,0,0,0,0,0,814,5,167.4
107,Darren McFadden,OAK,RB,25,12,12,0,0,0,0,216,707,63,42,258,6.14,2,2,0,0,0,707,2,216,258,1,152.5
108,DeMarco Murray,DAL,RB,24,10,10,0,0,0,0,161,663,42,35,251,7.17,3,2,0,0,0,663,4,161,251,0,146.4
109,Josh Gordon,CLE,WR,21,16,13,0,0,0,0,0,0,96,50,805,16.1,1,1,0,0,0,0,0,0,805,5,158.5
110,Andre Roberts,ARI,WR,24,15,15,0,0,0,0,4,29,114,64,759,11.86,1,0,0,0,0,29,0,4,759,5,172.8
111,Danario Alexander,SDG,WR,26,10,6,0,1,0,0,0,0,62,37,658,17.78,0,0,0,0,1,0,0,0,658,7,144.8
112,Antonio Brown,PIT,WR,24,13,10,0,2,0,1,7,24,106,66,787,11.92,4,2,0,0,2,24,0,7,787,5,171.1
113,Santana Moss,WAS,WR,33,16,1,0,0,0,0,3,14,62,41,573,13.98,2,1,0,0,0,14,0,3,573,8,145.7
114,Joique Bell,DET,RB,26,16,0,0,0,0,0,82,414,68,52,485,9.33,2,2,0,0,0,414,3,82,485,0,155.9
115,Larry Fitzgerald,ARI,WR,29,16,16,0,0,0,0,0,0,156,71,798,11.24,0,0,0,0,0,0,0,0,798,4,174.8
116,Brandon Gibson,STL,WR,25,16,13,0,0,0,0,0,0,82,51,691,13.55,0,0,0,0,0,0,0,0,691,5,150.1
