Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Tgt,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Jerry Rice,SFO,WR,24.0,16.0,1.0,2.0,16.0,0.0,86.0,18.26,2.0,0.0,16.0,0.0,2.0,72.0,1.0,10.0,1570.0,15.0,342.84,0,1642,16.0,1.0,4.5,98.125,102.625,0.0,0.0625,0.9375,1.0,7.2,0.5,16.0,8.0,5.375,0,303.8400000000001,18.99
1,Dan Marino,MIA,QB,25.0,16.0,378.0,623.0,4746.0,23.0,0.0,0.0,8.0,0.0,4746.0,44.0,623.0,-3.0,0.0,12.0,0.0,0.0,303.54,0,-3,0.0,296.625,-0.1875,0.0,-0.1875,2.75,0.0,0.0,0.0,-0.25,0.6067415730337079,12.555555555555555,7.617977528089888,0.0,0,319.54,19.97125
2,Eric Dickerson,RAM,RB,26.0,16.0,1.0,1.0,15.0,0.0,26.0,7.88,12.0,0.0,15.0,1.0,1.0,1821.0,11.0,404.0,205.0,0.0,275.2,0,2026,11.0,0.9375,113.8125,12.8125,126.625,0.0625,0.6875,0.0,0.6875,4.507425742574258,1.0,15.0,15.0,1.625,0,286.2,17.8875
3,Joe Morris,NYG,RB,26.0,15.0,0.0,0.0,0.0,0.0,21.0,11.1,6.0,0.0,0.0,0.0,0.0,1516.0,14.0,341.0,233.0,1.0,273.9,0,1749,15.0,0.0,101.06666666666666,15.533333333333333,116.6,0.0,0.9333333333333332,0.06666666666666668,1.0,4.44574780058651,0.0,0.0,0.0,1.4,0,275.4,18.36
4,Curt Warner,SEA,RB,25.0,16.0,0.0,0.0,0.0,0.0,41.0,8.34,6.0,0.0,0.0,0.0,0.0,1481.0,13.0,319.0,342.0,0.0,289.3,0,1823,13.0,0.0,92.5625,21.375,113.9375,0.0,0.8125,0.0,0.8125,4.6426332288401255,0.0,0.0,0.0,2.5625,0,280.8,17.55
5,Stanley Morgan,NWE,WR,31.0,16.0,0.0,0.0,0.0,0.0,84.0,17.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1491.0,10.0,293.1,0,1491,10.0,0.0,0.0,93.1875,93.1875,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,5.25,0,251.1,15.69375
6,Todd Christensen,RAI,TE,30.0,16.0,0.0,0.0,0.0,0.0,95.0,12.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1153.0,8.0,256.3,0,1153,8.0,0.0,0.0,72.0625,72.0625,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,5.9375,0,210.8,13.175
7,Herschel Walker,DAL,RB,24.0,16.0,0.0,0.0,0.0,0.0,76.0,11.01,5.0,0.0,0.0,0.0,0.0,737.0,12.0,151.0,837.0,2.0,307.4,0,1574,14.0,0.0,46.0625,52.3125,98.375,0.0,0.75,0.125,0.875,4.880794701986755,0.0,0.0,0.0,4.75,0,279.4,17.4625
8,Walter Payton,CHI,RB,32.0,16.0,0.0,4.0,0.0,1.0,37.0,10.32,6.0,0.0,0.0,0.0,4.0,1333.0,8.0,321.0,382.0,3.0,260.5,0,1715,11.0,0.0,83.3125,23.875,107.1875,0.0,0.5,0.1875,0.6875,4.1526479750778815,0.0,0.0,0.0,2.3125,0,254.0,15.875
9,Mark Duper,MIA,WR,27.0,16.0,0.0,0.0,0.0,0.0,67.0,19.6,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,1.0,1313.0,11.0,263.3,0,1303,11.0,0.0,-0.625,82.0625,81.4375,0.0,0.0,0.6875,0.6875,-10.0,0.0,0.0,0.0,4.1875,0,229.8,14.3625
10,James Brooks,CIN,RB,28.0,16.0,0.0,1.0,0.0,0.0,54.0,12.7,2.0,0.0,0.0,0.0,1.0,1087.0,5.0,205.0,686.0,4.0,281.3,0,1773,9.0,0.0,67.9375,42.875,110.8125,0.0,0.3125,0.25,0.5625,5.302439024390244,0.0,0.0,0.0,3.375,0,258.3,16.14375
11,George Rogers,WAS,RB,28.0,15.0,0.0,0.0,0.0,0.0,3.0,8.0,7.0,0.0,0.0,0.0,0.0,1203.0,18.0,303.0,24.0,0.0,219.7,0,1227,18.0,0.0,80.2,1.6,81.8,0.0,1.2,0.0,1.2,3.9702970297029694,0.0,0.0,0.0,0.2,0,232.2,15.48
12,Mark Clayton,MIA,WR,25.0,15.0,0.0,0.0,0.0,0.0,60.0,19.17,1.0,0.0,0.0,0.0,0.0,33.0,0.0,2.0,1150.0,10.0,236.3,0,1183,10.0,0.0,2.2,76.66666666666667,78.86666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,16.5,0.0,0.0,0.0,4.0,0,208.3,13.886666666666667
13,Wesley Walker,NYJ,WR,31.0,16.0,0.0,0.0,0.0,0.0,49.0,20.73,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,12.0,216.6,0,1016,12.0,0.0,0.0,63.5,63.5,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,3.0625,0,198.1,12.38125
14,Boomer Esiason,CIN,QB,25.0,16.0,273.0,469.0,3959.0,17.0,0.0,0.0,12.0,0.0,3959.0,24.0,469.0,146.0,1.0,44.0,0.0,0.0,216.96,0,146,1.0,247.4375,9.125,0.0,9.125,1.5,0.0625,0.0,0.0625,3.3181818181818183,0.582089552238806,14.501831501831504,8.44136460554371,0.0,0,240.96000000000004,15.060000000000002
15,Gary Clark,WAS,WR,24.0,15.0,0.0,0.0,0.0,0.0,74.0,17.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265.0,7.0,240.5,0,1265,7.0,0.0,0.0,84.33333333333333,84.33333333333333,0.0,0.0,0.4666666666666667,0.4666666666666667,0.0,0.0,0.0,0.0,4.933333333333334,0,205.5,13.7
16,Mark Bavaro,NYG,TE,23.0,16.0,0.0,0.0,0.0,0.0,66.0,15.17,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,4.0,184.1,0,1001,4.0,0.0,0.0,62.5625,62.5625,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,4.125,0,157.1,9.81875
17,Al Toon,NYJ,WR,23.0,16.0,0.0,0.0,0.0,0.0,85.0,13.84,3.0,0.0,0.0,0.0,0.0,-3.0,0.0,2.0,1176.0,8.0,244.3,0,1173,8.0,0.0,-0.1875,73.5,73.3125,0.0,0.0,0.5,0.5,-1.5,0.0,0.0,0.0,5.3125,0,207.8,12.9875
18,Gerald Riggs,ATL,RB,26.0,16.0,0.0,1.0,0.0,0.0,24.0,5.67,6.0,0.0,0.0,0.0,1.0,1327.0,9.0,343.0,136.0,0.0,212.3,0,1463,9.0,0.0,82.9375,8.5,91.4375,0.0,0.5625,0.0,0.5625,3.8688046647230316,0.0,0.0,0.0,1.5,0,212.3,13.26875
19,Steve Jordan,MIN,TE,25.0,16.0,0.0,0.0,0.0,0.0,58.0,14.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.0,6.0,179.9,0,859,6.0,0.0,0.0,53.6875,53.6875,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,3.625,0,150.9,9.43125
20,Lorenzo Hampton,MIA,RB,24.0,16.0,0.0,0.0,0.0,0.0,61.0,7.31,4.0,0.0,0.0,0.0,0.0,830.0,9.0,186.0,446.0,3.0,252.6,0,1276,12.0,0.0,51.875,27.875,79.75,0.0,0.5625,0.1875,0.75,4.462365591397849,0.0,0.0,0.0,3.8125,0,230.1,14.38125
21,Steve Largent,SEA,WR,32.0,16.0,1.0,1.0,18.0,0.0,70.0,15.29,3.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,1070.0,9.0,225.72,0,1070,9.0,1.125,0.0,66.875,66.875,0.0,0.0,0.5625,0.5625,0.0,1.0,18.0,18.0,4.375,0,196.72,12.295
22,Bill Brooks,IND,WR,22.0,16.0,0.0,0.0,0.0,0.0,65.0,17.4,2.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,1131.0,8.0,222.6,0,1136,8.0,0.0,0.3125,70.6875,71.0,0.0,0.0,0.5,0.5,1.25,0.0,0.0,0.0,4.0625,0,194.1,12.13125
23,John Elway,DEN,QB,26.0,16.0,280.0,504.0,3485.0,13.0,1.0,23.0,8.0,0.0,3485.0,19.0,504.0,257.0,1.0,52.0,23.0,1.0,214.4,0,280,2.0,217.8125,16.0625,1.4375,17.5,1.1875,0.0625,0.0625,0.125,4.9423076923076925,0.5555555555555556,12.446428571428573,6.91468253968254,0.0625,0,229.9,14.36875
24,Cris Collinsworth,CIN,WR,27.0,16.0,0.0,0.0,0.0,0.0,62.0,16.52,1.0,0.0,0.0,0.0,0.0,-16.0,0.0,2.0,1024.0,10.0,220.8,0,1008,10.0,0.0,-1.0,64.0,63.0,0.0,0.0,0.625,0.625,-8.0,0.0,0.0,0.0,3.875,0,191.8,11.9875
25,Rueben Mayes,NOR,RB,23.0,16.0,0.0,0.0,0.0,0.0,17.0,5.65,4.0,0.0,0.0,0.0,0.0,1353.0,8.0,286.0,96.0,0.0,201.9,0,1449,8.0,0.0,84.5625,6.0,90.5625,0.0,0.5,0.0,0.5,4.730769230769232,0.0,0.0,0.0,1.0625,0,201.4,12.5875
26,Gary Anderson,SDG,RB,25.0,16.0,1.0,1.0,4.0,0.0,80.0,10.89,5.0,0.0,4.0,1.0,1.0,442.0,1.0,127.0,871.0,8.0,259.46,0,1313,9.0,0.25,27.625,54.4375,82.0625,0.0625,0.0625,0.5,0.5625,3.4803149606299213,1.0,4.0,4.0,5.0,0,229.46,14.34125
27,Roger Craig,SFO,RB,26.0,16.0,0.0,0.0,0.0,0.0,81.0,7.7,4.0,0.0,0.0,0.0,0.0,830.0,7.0,204.0,624.0,0.0,260.4,0,1454,7.0,0.0,51.875,39.0,90.875,0.0,0.4375,0.0,0.4375,4.068627450980392,0.0,0.0,0.0,5.0625,0,227.9,14.24375
28,Jay Schroeder,WAS,QB,25.0,16.0,276.0,541.0,4109.0,22.0,0.0,0.0,9.0,0.0,4109.0,22.0,541.0,47.0,1.0,36.0,0.0,0.0,201.06,0,47,1.0,256.8125,2.9375,0.0,2.9375,1.375,0.0625,0.0,0.0625,1.3055555555555556,0.5101663585951941,14.88768115942029,7.595194085027727,0.0,0,219.06,13.69125
29,Jim Kelly,BUF,QB,26.0,16.0,285.0,480.0,3593.0,17.0,0.0,0.0,7.0,0.0,3593.0,22.0,480.0,199.0,0.0,41.0,0.0,0.0,203.62,0,199,0.0,224.5625,12.4375,0.0,12.4375,1.375,0.0,0.0,0.0,4.853658536585366,0.59375,12.607017543859651,7.4854166666666675,0.0,0,217.62,13.60125
30,Stephone Paige,KAN,WR,25.0,16.0,0.0,0.0,0.0,0.0,52.0,15.94,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,829.0,11.0,200.7,0,827,11.0,0.0,-0.125,51.8125,51.6875,0.0,0.0,0.6875,0.6875,-1.0,0.0,0.0,0.0,3.25,0,174.7,10.91875
31,Mike Quick,PHI,WR,27.0,16.0,0.0,0.0,0.0,0.0,60.0,15.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.0,9.0,205.9,0,939,9.0,0.0,0.0,58.6875,58.6875,0.0,0.0,0.5625,0.5625,0.0,0.0,0.0,0.0,3.75,0,177.9,11.11875
32,Ernest Givins,HOU,WR,22.0,15.0,0.0,2.0,0.0,0.0,61.0,17.41,0.0,0.0,0.0,0.0,2.0,148.0,1.0,9.0,1062.0,3.0,206.0,0,1210,4.0,0.0,9.866666666666667,70.8,80.66666666666667,0.0,0.06666666666666668,0.2,0.26666666666666666,16.444444444444443,0.0,0.0,0.0,4.066666666666666,0,175.5,11.7
