Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Tgt,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Shaun Alexander,SEA,RB,28.0,16.0,0.0,0.0,0.0,0.0,29.0,15.0,5.2,5.0,1.0,0.0,0.0,0.0,1880.0,27.0,370.0,78.0,1.0,376.8,1958,28.0,0.0,117.5,4.875,122.375,0.0,1.6875,0.0625,1.75,5.081081081081081,0.0,0.0,0.0,0.9375,0.5172413793103449,369.3,23.08125
1,Larry Johnson,KAN,RB,26.0,16.0,0.0,0.0,0.0,0.0,49.0,33.0,10.39,5.0,4.0,0.0,0.0,0.0,1750.0,20.0,336.0,343.0,1.0,360.3,2093,21.0,0.0,109.375,21.4375,130.8125,0.0,1.25,0.0625,1.3125,5.208333333333333,0.0,0.0,0.0,2.0625,0.6734693877551021,343.8,21.4875
2,LaDainian Tomlinson,SDG,RB,26.0,16.0,3.0,4.0,47.0,0.0,77.0,51.0,7.25,3.0,1.0,47.0,3.0,4.0,1462.0,18.0,339.0,370.0,2.0,366.08,1832,20.0,2.9375,91.375,23.125,114.5,0.1875,1.125,0.125,1.25,4.3126843657817115,0.75,15.666666666666664,11.75,3.1875,0.6623376623376623,340.58,21.28625
3,Tiki Barber,NYG,RB,30.0,16.0,0.0,1.0,0.0,0.0,70.0,54.0,9.81,1.0,1.0,0.0,0.0,1.0,1860.0,9.0,357.0,530.0,2.0,357.0,2390,11.0,0.0,116.25,33.125,149.375,0.0,0.5625,0.125,0.6875,5.2100840336134455,0.0,0.0,0.0,3.375,0.7714285714285715,330.0,20.625
4,Edgerrin James,IND,RB,27.0,15.0,0.0,0.0,0.0,0.0,50.0,44.0,7.66,2.0,1.0,0.0,0.0,0.0,1506.0,13.0,360.0,337.0,1.0,310.3,1843,14.0,0.0,100.4,22.466666666666665,122.86666666666666,0.0,0.8666666666666667,0.06666666666666668,0.9333333333333332,4.183333333333334,0.0,0.0,0.0,2.933333333333333,0.88,288.3,19.22
5,Steve Smith,CAR,WR,26.0,16.0,0.0,0.0,0.0,0.0,150.0,103.0,15.17,2.0,1.0,0.0,0.0,0.0,25.0,1.0,4.0,1563.0,12.0,337.8,1588,13.0,0.0,1.5625,97.6875,99.25,0.0,0.0625,0.75,0.8125,6.25,0.0,0.0,0.0,6.4375,0.6866666666666666,286.3,17.89375
6,Clinton Portis,WAS,RB,24.0,16.0,1.0,2.0,17.0,0.0,41.0,30.0,7.2,3.0,2.0,17.0,1.0,2.0,1516.0,11.0,352.0,216.0,0.0,269.88,1732,11.0,1.0625,94.75,13.5,108.25,0.0625,0.6875,0.0,0.6875,4.306818181818182,0.5,17.0,8.5,1.875,0.7317073170731707,254.88,15.93
7,Antonio Gates,SDG,TE,25.0,15.0,0.0,0.0,0.0,0.0,140.0,89.0,12.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1101.0,10.0,259.1,1101,10.0,0.0,0.0,73.4,73.4,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,5.933333333333334,0.6357142857142857,214.6,14.306666666666667
8,Larry Fitzgerald,ARI,WR,22.0,16.0,0.0,0.0,0.0,0.0,165.0,103.0,13.68,0.0,0.0,0.0,0.0,0.0,41.0,0.0,8.0,1409.0,10.0,308.0,1450,10.0,0.0,2.5625,88.0625,90.625,0.0,0.0,0.625,0.625,5.125,0.0,0.0,0.0,6.4375,0.6242424242424243,256.5,16.03125
9,Santana Moss,WAS,WR,26.0,16.0,0.0,0.0,0.0,0.0,134.0,84.0,17.65,3.0,1.0,0.0,0.0,0.0,-3.0,0.0,3.0,1483.0,9.0,284.0,1480,9.0,0.0,-0.1875,92.6875,92.5,0.0,0.0,0.5625,0.5625,-1.0,0.0,0.0,0.0,5.25,0.6268656716417911,242.0,15.125
10,Chad Johnson,CIN,WR,27.0,16.0,0.0,0.0,0.0,0.0,155.0,97.0,14.76,1.0,0.0,0.0,0.0,0.0,33.0,0.0,5.0,1432.0,9.0,297.5,1465,9.0,0.0,2.0625,89.5,91.5625,0.0,0.0,0.5625,0.5625,6.6,0.0,0.0,0.0,6.0625,0.6258064516129033,249.0,15.5625
11,LaMont Jordan,OAK,RB,27.0,14.0,0.0,0.0,0.0,0.0,103.0,70.0,8.04,2.0,1.0,0.0,0.0,0.0,1025.0,9.0,272.0,563.0,2.0,292.8,1588,11.0,0.0,73.21428571428571,40.214285714285715,113.42857142857143,0.0,0.6428571428571429,0.14285714285714285,0.7857142857142857,3.7683823529411766,0.0,0.0,0.0,5.0,0.6796116504854369,257.8,18.414285714285715
12,Rudi Johnson,CIN,RB,26.0,16.0,0.0,0.0,0.0,0.0,30.0,23.0,3.91,1.0,0.0,0.0,0.0,0.0,1458.0,12.0,337.0,90.0,0.0,249.8,1548,12.0,0.0,91.125,5.625,96.75,0.0,0.75,0.0,0.75,4.326409495548962,0.0,0.0,0.0,1.4375,0.7666666666666667,238.3,14.89375
13,Joey Galloway,TAM,WR,34.0,16.0,0.0,0.0,0.0,0.0,152.0,83.0,15.51,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1287.0,10.0,272.1,1291,10.0,0.0,0.25,80.4375,80.6875,0.0,0.0,0.625,0.625,2.0,0.0,0.0,0.0,5.1875,0.5460526315789473,230.6,14.4125
14,Anquan Boldin,ARI,WR,25.0,14.0,0.0,1.0,0.0,0.0,171.0,102.0,13.75,2.0,1.0,0.0,0.0,1.0,45.0,0.0,12.0,1402.0,7.0,286.7,1447,7.0,0.0,3.2142857142857144,100.14285714285714,103.35714285714286,0.0,0.0,0.5,0.5,3.75,0.0,0.0,0.0,7.2857142857142865,0.5964912280701754,235.7,16.835714285714285
15,Torry Holt,STL,WR,29.0,14.0,0.0,0.0,0.0,0.0,163.0,102.0,13.05,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1331.0,9.0,289.3,1333,9.0,0.0,0.14285714285714285,95.07142857142857,95.21428571428572,0.0,0.0,0.6428571428571429,0.6428571428571429,2.0,0.0,0.0,0.0,7.2857142857142865,0.6257668711656442,238.3,17.021428571428572
16,Chris Chambers,MIA,WR,27.0,16.0,0.0,0.0,0.0,0.0,166.0,82.0,13.63,5.0,2.0,0.0,0.0,0.0,92.0,0.0,12.0,1118.0,11.0,265.0,1210,11.0,0.0,5.75,69.875,75.625,0.0,0.0,0.6875,0.6875,7.666666666666668,0.0,0.0,0.0,5.125,0.4939759036144578,224.0,14.0
17,Marvin Harrison,IND,WR,33.0,15.0,0.0,0.0,0.0,0.0,134.0,82.0,13.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.0,12.0,268.6,1146,12.0,0.0,0.0,76.4,76.4,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,5.466666666666668,0.6119402985074627,227.6,15.173333333333336
18,Jeremy Shockey,NYG,TE,25.0,15.0,0.0,0.0,0.0,0.0,121.0,65.0,13.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.0,7.0,196.1,891,7.0,0.0,0.0,59.4,59.4,0.0,0.0,0.4666666666666667,0.4666666666666667,0.0,0.0,0.0,0.0,4.333333333333333,0.5371900826446281,163.6,10.906666666666665
19,Carson Palmer,CIN,QB,26.0,16.0,345.0,509.0,3836.0,12.0,0.0,0.0,0.0,5.0,2.0,3836.0,32.0,509.0,41.0,1.0,34.0,0.0,0.0,263.54,41,1.0,239.75,2.5625,0.0,2.5625,2.0,0.0625,0.0,0.0625,1.2058823529411764,0.6777996070726916,11.118840579710145,7.536345776031434,0.0,0.0,263.54,16.471249999999998
20,Thomas Jones,CHI,RB,27.0,15.0,0.0,0.0,0.0,0.0,39.0,26.0,5.5,2.0,2.0,0.0,0.0,0.0,1335.0,9.0,314.0,143.0,0.0,223.8,1478,9.0,0.0,89.0,9.533333333333333,98.53333333333332,0.0,0.6,0.0,0.6,4.251592356687898,0.0,0.0,0.0,1.7333333333333334,0.6666666666666666,210.8,14.053333333333335
21,Mike Anderson,DEN,0,32.0,15.0,0.0,0.0,0.0,0.0,21.0,18.0,11.78,2.0,2.0,0.0,0.0,0.0,1014.0,12.0,239.0,212.0,1.0,214.6,1226,13.0,0.0,67.6,14.133333333333333,81.73333333333333,0.0,0.8,0.06666666666666668,0.8666666666666667,4.242677824267783,0.0,0.0,0.0,1.2,0.8571428571428571,205.6,13.706666666666667
22,Todd Heap,BAL,TE,25.0,16.0,0.0,0.0,0.0,0.0,114.0,75.0,11.4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,855.0,7.0,200.5,855,7.0,0.0,0.0,53.4375,53.4375,0.0,0.0,0.4375,0.4375,0.0,0.0,0.0,0.0,4.6875,0.6578947368421053,163.0,10.1875
23,Steven Jackson,STL,RB,22.0,15.0,0.0,0.0,0.0,0.0,55.0,43.0,7.44,3.0,3.0,0.0,0.0,0.0,1046.0,8.0,254.0,320.0,2.0,233.6,1366,10.0,0.0,69.73333333333333,21.33333333333333,91.06666666666666,0.0,0.5333333333333333,0.13333333333333333,0.6666666666666666,4.118110236220472,0.0,0.0,0.0,2.8666666666666667,0.7818181818181819,212.1,14.14
