Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Tgt,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Marcus Allen,RAI,RB,22.0,9.0,1.0,4.0,47.0,0.0,38.0,10.55,5.0,0.0,47.0,0.0,4.0,697.0,11.0,160.0,401.0,3.0,223.68,0,1098,14.0,5.222222222222221,77.44444444444444,44.555555555555564,122.0,0.0,1.2222222222222223,0.3333333333333333,1.5555555555555556,4.35625,0.25,47.0,11.75,4.222222222222221,0,214.68,23.85333333333333
1,Wes Chandler,SDG,WR,26.0,8.0,0.0,0.0,0.0,0.0,49.0,21.06,0.0,0.0,0.0,0.0,0.0,32.0,0.0,5.0,1032.0,9.0,209.4,0,1064,9.0,0.0,4.0,129.0,133.0,0.0,0.0,1.125,1.125,6.4,0.0,0.0,0.0,6.125,0,184.9,23.1125
2,Wendell Tyler,RAM,RB,27.0,9.0,0.0,0.0,0.0,0.0,38.0,9.87,10.0,0.0,0.0,0.0,0.0,564.0,9.0,137.0,375.0,4.0,189.9,0,939,13.0,0.0,62.66666666666666,41.66666666666666,104.33333333333331,0.0,1.0,0.4444444444444444,1.4444444444444444,4.116788321167883,0.0,0.0,0.0,4.222222222222221,0,190.9,21.211111111111116
3,William Andrews,ATL,RB,27.0,9.0,0.0,0.0,0.0,0.0,42.0,11.98,1.0,0.0,0.0,0.0,0.0,573.0,5.0,139.0,503.0,2.0,189.6,0,1076,7.0,0.0,63.66666666666666,55.88888888888889,119.55555555555556,0.0,0.5555555555555556,0.2222222222222222,0.7777777777777778,4.122302158273381,0.0,0.0,0.0,4.666666666666667,0,170.6,18.95555555555556
4,Dwight Clark,SFO,WR,25.0,9.0,0.0,0.0,0.0,0.0,60.0,15.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,5.0,179.3,0,913,5.0,0.0,0.0,101.44444444444444,101.44444444444444,0.0,0.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0,6.666666666666668,0,151.3,16.811111111111117
5,Kellen Winslow,SDG,TE,25.0,9.0,0.0,1.0,0.0,0.0,54.0,13.35,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,721.0,6.0,160.1,0,721,6.0,0.0,0.0,80.1111111111111,80.1111111111111,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,6.0,0,135.1,15.011111111111115
6,Charlie Brown,WAS,WR,24.0,9.0,0.0,0.0,0.0,0.0,32.0,21.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,8.0,147.0,0,690,8.0,0.0,0.0,76.66666666666667,76.66666666666667,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,0.0,3.555555555555556,0,133.0,14.777777777777779
7,Chuck Muncie,SDG,RB,29.0,9.0,2.0,3.0,83.0,0.0,25.0,8.28,4.0,0.0,83.0,2.0,3.0,569.0,8.0,138.0,207.0,1.0,159.92,0,776,9.0,9.222222222222221,63.22222222222222,23.0,86.22222222222223,0.2222222222222222,0.8888888888888888,0.1111111111111111,1.0,4.1231884057971016,0.6666666666666666,41.5,27.66666666666667,2.7777777777777777,0,155.42000000000004,17.268888888888892
8,Joe Montana,SFO,QB,26.0,9.0,213.0,346.0,2613.0,11.0,0.0,0.0,4.0,0.0,2613.0,17.0,346.0,118.0,1.0,30.0,0.0,0.0,160.32,0,118,1.0,290.3333333333333,13.111111111111109,0.0,13.111111111111109,1.8888888888888888,0.1111111111111111,0.0,0.1111111111111111,3.933333333333333,0.615606936416185,12.267605633802814,7.5520231213872835,0.0,0,168.32,18.702222222222225
9,Dan Fouts,SDG,QB,31.0,9.0,204.0,330.0,2883.0,11.0,0.0,0.0,2.0,0.0,2883.0,17.0,330.0,8.0,1.0,9.0,0.0,0.0,164.12,0,8,1.0,320.3333333333333,0.8888888888888888,0.0,0.8888888888888888,1.8888888888888888,0.1111111111111111,0.0,0.1111111111111111,0.8888888888888888,0.6181818181818182,14.132352941176471,8.736363636363636,0.0,0,168.12,18.68
10,Freeman McNeil,NYJ,RB,23.0,9.0,0.0,0.0,0.0,0.0,16.0,11.69,7.0,0.0,0.0,0.0,0.0,786.0,6.0,151.0,187.0,1.0,141.3,0,973,7.0,0.0,87.33333333333331,20.777777777777782,108.11111111111113,0.0,0.6666666666666666,0.1111111111111111,0.7777777777777778,5.2052980132450335,0.0,0.0,0.0,1.7777777777777777,0,147.3,16.366666666666667
11,James Lofton,GNB,WR,26.0,9.0,1.0,1.0,43.0,0.0,35.0,19.89,0.0,0.0,43.0,0.0,1.0,101.0,1.0,4.0,696.0,4.0,146.42,0,797,5.0,4.777777777777779,11.222222222222221,77.33333333333333,88.55555555555556,0.0,0.1111111111111111,0.4444444444444444,0.5555555555555556,25.25,1.0,43.0,43.0,3.888888888888889,0,128.92,14.324444444444444
12,Ken Anderson,CIN,QB,33.0,9.0,218.0,309.0,2495.0,9.0,0.0,0.0,1.0,0.0,2495.0,12.0,309.0,85.0,4.0,25.0,0.0,0.0,160.3,0,85,4.0,277.22222222222223,9.444444444444443,0.0,9.444444444444443,1.3333333333333333,0.4444444444444444,0.0,0.4444444444444444,3.4,0.7055016181229773,11.444954128440369,8.074433656957929,0.0,0,162.3,18.03333333333333
