Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Tgt,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Marshall Faulk,STL,RB,26.0,16.0,0.0,1.0,0.0,0.0,103.0,87.0,12.05,2.0,2.0,0.0,0.0,1.0,1381.0,7.0,253.0,1048.0,5.0,397.9,2429,12.0,0.0,86.3125,65.5,151.8125,0.0,0.4375,0.3125,0.75,5.458498023715415,0.0,0.0,0.0,5.4375,0.8446601941747572,354.4,22.15
1,Edgerrin James,IND,RB,21.0,16.0,0.0,0.0,0.0,0.0,82.0,62.0,9.45,8.0,4.0,0.0,0.0,0.0,1553.0,13.0,369.0,586.0,4.0,369.9,2139,17.0,0.0,97.0625,36.625,133.6875,0.0,0.8125,0.25,1.0625,4.208672086720867,0.0,0.0,0.0,3.875,0.7560975609756098,338.9,21.18125
2,Kurt Warner,STL,QB,28.0,16.0,325.0,499.0,4353.0,13.0,0.0,0.0,0.0,9.0,5.0,4353.0,41.0,499.0,92.0,1.0,23.0,0.0,0.0,317.32,92,1.0,272.0625,5.75,0.0,5.75,2.5625,0.0625,0.0,0.0625,4.0,0.6513026052104208,13.393846153846154,8.723446893787575,0.0,0.0,317.32,19.8325
3,Stephen Davis,WAS,RB,25.0,14.0,0.0,0.0,0.0,0.0,28.0,23.0,4.83,4.0,1.0,0.0,0.0,0.0,1405.0,17.0,290.0,111.0,0.0,274.6,1516,17.0,0.0,100.35714285714286,7.928571428571429,108.28571428571428,0.0,1.2142857142857142,0.0,1.2142857142857142,4.844827586206896,0.0,0.0,0.0,1.6428571428571428,0.8214285714285714,263.1,18.792857142857144
4,Eddie George,TEN,RB,26.0,16.0,0.0,0.0,0.0,0.0,65.0,47.0,9.74,5.0,4.0,0.0,0.0,0.0,1304.0,9.0,320.0,458.0,4.0,293.2,1762,13.0,0.0,81.5,28.625,110.125,0.0,0.5625,0.25,0.8125,4.075,0.0,0.0,0.0,2.9375,0.7230769230769231,269.7,16.85625
5,Steve Beuerlein,CAR,QB,34.0,16.0,343.0,571.0,4436.0,15.0,0.0,0.0,0.0,12.0,8.0,4436.0,36.0,571.0,124.0,2.0,27.0,0.0,0.0,299.84,124,2.0,277.25,7.75,0.0,7.75,2.25,0.125,0.0,0.125,4.592592592592593,0.6007005253940455,12.932944606413994,7.7688266199649725,0.0,0.0,299.8400000000001,18.74
6,Marvin Harrison,IND,WR,27.0,16.0,0.0,0.0,0.0,0.0,184.0,115.0,14.46,2.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1663.0,12.0,351.7,1667,12.0,0.0,0.25,103.9375,104.1875,0.0,0.0,0.75,0.75,4.0,0.0,0.0,0.0,7.1875,0.625,294.2000000000001,18.387500000000006
7,Wesley Walls,CAR,TE,33.0,16.0,0.0,0.0,0.0,0.0,108.0,63.0,13.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,822.0,12.0,215.2,822,12.0,0.0,0.0,51.375,51.375,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,3.9375,0.5833333333333334,183.7,11.48125
8,Emmitt Smith,DAL,RB,30.0,15.0,0.0,0.0,0.0,0.0,32.0,27.0,4.41,5.0,3.0,0.0,0.0,0.0,1397.0,11.0,329.0,119.0,2.0,250.6,1516,13.0,0.0,93.13333333333334,7.933333333333334,101.06666666666666,0.0,0.7333333333333333,0.13333333333333333,0.8666666666666667,4.246200607902735,0.0,0.0,0.0,1.8,0.84375,237.1,15.806666666666667
9,Tony Gonzalez,KAN,TE,23.0,15.0,0.0,0.0,0.0,0.0,104.0,76.0,11.17,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,849.0,11.0,224.9,849,11.0,0.0,0.0,56.6,56.6,0.0,0.0,0.7333333333333333,0.7333333333333333,0.0,0.0,0.0,0.0,5.066666666666666,0.7307692307692307,186.9,12.46
10,Randy Moss,MIN,WR,22.0,16.0,1.0,1.0,27.0,0.0,137.0,80.0,17.66,3.0,1.0,27.0,1.0,1.0,43.0,0.0,4.0,1413.0,11.0,294.68,1456,11.0,1.6875,2.6875,88.3125,91.0,0.0625,0.0,0.6875,0.6875,10.75,1.0,27.0,27.0,5.0,0.583941605839416,254.68,15.9175
11,Dorsey Levens,GNB,RB,29.0,14.0,0.0,0.0,0.0,0.0,81.0,71.0,8.07,5.0,5.0,0.0,0.0,0.0,1034.0,9.0,279.0,573.0,1.0,281.7000000000001,1607,10.0,0.0,73.85714285714286,40.92857142857143,114.78571428571428,0.0,0.6428571428571429,0.07142857142857142,0.7142857142857143,3.706093189964158,0.0,0.0,0.0,5.071428571428571,0.8765432098765432,246.2,17.585714285714285
12,Charlie Garner,SFO,RB,27.0,16.0,0.0,0.0,0.0,0.0,76.0,56.0,9.55,4.0,2.0,0.0,0.0,0.0,1229.0,4.0,241.0,535.0,2.0,264.4,1764,6.0,0.0,76.8125,33.4375,110.25,0.0,0.25,0.125,0.375,5.099585062240664,0.0,0.0,0.0,3.5,0.7368421052631579,236.4,14.775
13,Cris Carter,MIN,WR,34.0,16.0,0.0,0.0,0.0,0.0,137.0,90.0,13.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1241.0,13.0,292.1,1241,13.0,0.0,0.0,77.5625,77.5625,0.0,0.0,0.8125,0.8125,0.0,0.0,0.0,0.0,5.625,0.656934306569343,247.1,15.44375
14,Jimmy Smith,JAX,WR,30.0,16.0,0.0,0.0,0.0,0.0,173.0,116.0,14.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1636.0,6.0,313.6,1636,6.0,0.0,0.0,102.25,102.25,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,7.25,0.6705202312138728,255.6,15.975
15,Marcus Robinson,CHI,WR,24.0,16.0,0.0,0.0,0.0,0.0,149.0,84.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,9.0,278.0,1400,9.0,0.0,0.0,87.5,87.5,0.0,0.0,0.5625,0.5625,0.0,0.0,0.0,0.0,5.25,0.5637583892617449,236.0,14.75
16,Isaac Bruce,STL,WR,27.0,16.0,0.0,0.0,0.0,0.0,120.0,77.0,15.13,0.0,0.0,0.0,0.0,0.0,32.0,0.0,5.0,1165.0,12.0,268.7,1197,12.0,0.0,2.0,72.8125,74.8125,0.0,0.0,0.75,0.75,6.4,0.0,0.0,0.0,4.8125,0.6416666666666667,230.2,14.3875
17,Curtis Martin,NYJ,RB,26.0,16.0,0.0,0.0,0.0,0.0,49.0,45.0,5.76,2.0,0.0,0.0,0.0,0.0,1464.0,5.0,367.0,259.0,0.0,247.3,1723,5.0,0.0,91.5,16.1875,107.6875,0.0,0.3125,0.0,0.3125,3.989100817438692,0.0,0.0,0.0,2.8125,0.9183673469387756,224.8,14.05
18,Ricky Watters,SEA,RB,30.0,16.0,0.0,0.0,0.0,0.0,62.0,40.0,9.68,4.0,4.0,0.0,0.0,0.0,1210.0,5.0,325.0,387.0,2.0,233.7,1597,7.0,0.0,75.625,24.1875,99.8125,0.0,0.3125,0.125,0.4375,3.7230769230769236,0.0,0.0,0.0,2.5,0.6451612903225806,213.7,13.35625
19,Rich Gannon,OAK,QB,34.0,16.0,304.0,515.0,3840.0,14.0,1.0,1.0,-3.0,8.0,4.0,3840.0,24.0,515.0,298.0,2.0,46.0,-3.0,0.0,256.1,295,2.0,240.0,18.625,-0.1875,18.4375,1.5,0.125,0.0,0.125,6.478260869565218,0.5902912621359223,12.63157894736842,7.456310679611652,0.0625,1.0,255.6,15.975
20,Peyton Manning,IND,QB,23.0,16.0,331.0,533.0,4135.0,15.0,0.0,0.0,0.0,6.0,3.0,4135.0,26.0,533.0,73.0,2.0,35.0,0.0,0.0,252.7,73,2.0,258.4375,4.5625,0.0,4.5625,1.625,0.125,0.0,0.125,2.085714285714286,0.6210131332082551,12.492447129909365,7.75797373358349,0.0,0.0,252.70000000000005,15.793750000000005
21,Duce Staley,PHI,RB,24.0,16.0,0.0,0.0,0.0,0.0,66.0,41.0,7.17,5.0,4.0,0.0,0.0,0.0,1273.0,4.0,325.0,294.0,2.0,225.7,1567,6.0,0.0,79.5625,18.375,97.9375,0.0,0.25,0.125,0.375,3.9169230769230765,0.0,0.0,0.0,2.5625,0.6212121212121212,205.2,12.825
22,Patrick Jeffers,CAR,WR,26.0,15.0,0.0,0.0,0.0,0.0,101.0,63.0,17.17,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,1082.0,12.0,244.8,1098,12.0,0.0,1.0666666666666669,72.13333333333334,73.2,0.0,0.0,0.8,0.8,8.0,0.0,0.0,0.0,4.2,0.6237623762376238,213.3,14.22
23,Germane Crowell,DET,WR,23.0,16.0,0.0,0.0,0.0,0.0,148.0,81.0,16.52,1.0,1.0,0.0,0.0,0.0,38.0,0.0,5.0,1338.0,7.0,258.6,1376,7.0,0.0,2.375,83.625,86.0,0.0,0.0,0.4375,0.4375,7.6,0.0,0.0,0.0,5.0625,0.5472972972972973,218.1,13.63125
24,Michael Westbrook,WAS,WR,27.0,16.0,0.0,0.0,0.0,0.0,114.0,65.0,18.32,3.0,1.0,0.0,0.0,0.0,35.0,0.0,7.0,1191.0,9.0,239.6,1226,9.0,0.0,2.1875,74.4375,76.625,0.0,0.0,0.5625,0.5625,5.0,0.0,0.0,0.0,4.0625,0.5701754385964912,207.1,12.94375
