Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Tgt,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,LaDainian Tomlinson,SDG,RB,27.0,16.0,2.0,3.0,20.0,0.0,80.0,56.0,9.07,2.0,1.0,20.0,2.0,3.0,1815.0,28.0,348.0,508.0,3.0,481.1,2323,31.0,1.25,113.4375,31.75,145.1875,0.125,1.75,0.1875,1.9375,5.215517241379311,0.6666666666666666,10.0,6.666666666666668,3.5,0.7,453.1,28.31875
1,Larry Johnson,KAN,RB,27.0,16.0,0.0,1.0,0.0,0.0,66.0,41.0,10.0,2.0,2.0,0.0,0.0,1.0,1789.0,17.0,416.0,410.0,2.0,370.9,2199,19.0,0.0,111.8125,25.625,137.4375,0.0,1.0625,0.125,1.1875,4.300480769230768,0.0,0.0,0.0,2.5625,0.6212121212121212,350.4,21.9
2,Steven Jackson,STL,RB,23.0,16.0,0.0,0.0,0.0,0.0,110.0,90.0,8.96,4.0,2.0,0.0,0.0,0.0,1528.0,13.0,346.0,806.0,3.0,415.4,2334,16.0,0.0,95.5,50.375,145.875,0.0,0.8125,0.1875,1.0,4.416184971098267,0.0,0.0,0.0,5.625,0.8181818181818182,370.4,23.15
3,Peyton Manning,IND,QB,30.0,16.0,362.0,557.0,4397.0,9.0,0.0,0.0,0.0,2.0,1.0,4397.0,31.0,557.0,36.0,4.0,23.0,0.0,0.0,307.48,36,4.0,274.8125,2.25,0.0,2.25,1.9375,0.25,0.0,0.25,1.5652173913043481,0.6499102333931778,12.146408839779005,7.89407540394973,0.0,0.0,307.48,19.2175
4,Frank Gore,SFO,RB,23.0,16.0,0.0,0.0,0.0,0.0,86.0,61.0,7.95,6.0,5.0,0.0,0.0,0.0,1695.0,8.0,312.0,485.0,1.0,323.0,2180,9.0,0.0,105.9375,30.3125,136.25,0.0,0.5,0.0625,0.5625,5.432692307692308,0.0,0.0,0.0,3.8125,0.7093023255813954,292.5,18.28125
5,Willie Parker,PIT,RB,26.0,16.0,0.0,0.0,0.0,0.0,42.0,31.0,7.16,7.0,5.0,0.0,0.0,0.0,1494.0,13.0,337.0,222.0,3.0,288.6,1716,16.0,0.0,93.375,13.875,107.25,0.0,0.8125,0.1875,1.0,4.433234421364985,0.0,0.0,0.0,1.9375,0.7380952380952381,273.1,17.06875
6,Brian Westbrook,PHI,RB,27.0,15.0,0.0,0.0,0.0,0.0,105.0,77.0,9.08,2.0,2.0,0.0,0.0,0.0,1217.0,7.0,240.0,699.0,4.0,330.6,1916,11.0,0.0,81.13333333333334,46.6,127.73333333333332,0.0,0.4666666666666667,0.26666666666666666,0.7333333333333333,5.070833333333334,0.0,0.0,0.0,5.133333333333334,0.7333333333333333,292.1,19.473333333333336
7,Marvin Harrison,IND,WR,34.0,16.0,0.0,0.0,0.0,0.0,148.0,95.0,14.38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1366.0,12.0,301.6,1366,12.0,0.0,0.0,85.375,85.375,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,5.9375,0.6418918918918919,254.1,15.88125
8,Tiki Barber,NYG,RB,31.0,16.0,0.0,0.0,0.0,0.0,75.0,58.0,8.02,3.0,1.0,0.0,0.0,0.0,1662.0,5.0,327.0,465.0,0.0,298.7,2127,5.0,0.0,103.875,29.0625,132.9375,0.0,0.3125,0.0,0.3125,5.08256880733945,0.0,0.0,0.0,3.625,0.7733333333333333,269.7,16.85625
9,Terrell Owens,DAL,WR,33.0,16.0,0.0,0.0,0.0,0.0,150.0,85.0,13.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0,13.0,281.0,1180,13.0,0.0,0.0,73.75,73.75,0.0,0.0,0.8125,0.8125,0.0,0.0,0.0,0.0,5.3125,0.5666666666666667,238.5,14.90625
10,Michael Vick,ATL,QB,26.0,16.0,204.0,388.0,2474.0,13.0,1.0,1.0,1.0,9.0,3.0,2474.0,20.0,388.0,1039.0,2.0,123.0,1.0,0.0,263.96,1040,2.0,154.625,64.9375,0.0625,65.0,1.25,0.125,0.0,0.125,8.447154471544716,0.5257731958762887,12.127450980392153,6.376288659793816,0.0625,1.0,263.46000000000004,16.466250000000002
11,Drew Brees,NOR,QB,27.0,16.0,356.0,554.0,4418.0,11.0,0.0,0.0,0.0,8.0,3.0,4418.0,26.0,554.0,32.0,0.0,42.0,0.0,0.0,255.92,32,0.0,276.125,2.0,0.0,2.0,1.625,0.0,0.0,0.0,0.7619047619047619,0.6425992779783394,12.410112359550562,7.974729241877255,0.0,0.0,255.92,15.994999999999996
12,Reggie Wayne,IND,WR,28.0,16.0,0.0,0.0,0.0,0.0,137.0,86.0,15.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.0,9.0,271.0,1310,9.0,0.0,0.0,81.875,81.875,0.0,0.0,0.5625,0.5625,0.0,0.0,0.0,0.0,5.375,0.6277372262773723,228.0,14.25
13,Maurice Jones-Drew,JAX,RB,21.0,16.0,0.0,0.0,0.0,0.0,62.0,46.0,9.48,1.0,1.0,0.0,0.0,0.0,941.0,13.0,166.0,436.0,2.0,271.7,1377,15.0,0.0,58.8125,27.25,86.0625,0.0,0.8125,0.125,0.9375,5.668674698795182,0.0,0.0,0.0,2.875,0.7419354838709677,248.7,15.54375
14,Marc Bulger,STL,QB,29.0,16.0,370.0,588.0,4301.0,8.0,0.0,0.0,0.0,6.0,3.0,4301.0,24.0,588.0,44.0,0.0,18.0,0.0,0.0,250.44,44,0.0,268.8125,2.75,0.0,2.75,1.5,0.0,0.0,0.0,2.4444444444444446,0.6292517006802721,11.624324324324323,7.314625850340136,0.0,0.0,250.44,15.6525
15,Antonio Gates,SDG,TE,26.0,16.0,0.0,0.0,0.0,0.0,120.0,71.0,13.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924.0,9.0,217.4,924,9.0,0.0,0.0,57.75,57.75,0.0,0.0,0.5625,0.5625,0.0,0.0,0.0,0.0,4.4375,0.5916666666666667,181.9,11.36875
16,Chad Johnson,CIN,WR,28.0,16.0,0.0,0.0,0.0,0.0,152.0,87.0,15.74,1.0,1.0,0.0,0.0,0.0,24.0,0.0,6.0,1369.0,7.0,266.29999999999995,1393,7.0,0.0,1.5,85.5625,87.0625,0.0,0.0,0.4375,0.4375,4.0,0.0,0.0,0.0,5.4375,0.5723684210526315,222.8,13.925
17,Donald Driver,GNB,WR,31.0,16.0,0.0,0.0,0.0,0.0,173.0,92.0,14.08,1.0,0.0,0.0,0.0,0.0,16.0,0.0,7.0,1295.0,8.0,271.1,1311,8.0,0.0,1.0,80.9375,81.9375,0.0,0.0,0.5,0.5,2.2857142857142856,0.0,0.0,0.0,5.75,0.5317919075144508,225.1,14.06875
18,Torry Holt,STL,WR,30.0,16.0,0.0,0.0,0.0,0.0,179.0,93.0,12.77,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.0,10.0,269.8,1188,10.0,0.0,0.0,74.25,74.25,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,5.8125,0.5195530726256983,223.3,13.95625
19,Lee Evans,BUF,WR,25.0,16.0,0.0,1.0,0.0,0.0,137.0,82.0,15.76,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1292.0,8.0,257.2,1292,8.0,0.0,0.0,80.75,80.75,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,5.125,0.5985401459854015,216.2,13.5125
20,Carson Palmer,CIN,QB,27.0,16.0,324.0,520.0,4035.0,13.0,0.0,0.0,0.0,15.0,7.0,4035.0,28.0,520.0,37.0,0.0,26.0,0.0,0.0,237.1,37,0.0,252.1875,2.3125,0.0,2.3125,1.75,0.0,0.0,0.0,1.4230769230769231,0.6230769230769231,12.453703703703706,7.759615384615384,0.0,0.0,237.1,14.81875
21,Reggie Bush,NOR,WR,21.0,16.0,0.0,1.0,0.0,1.0,121.0,88.0,8.43,2.0,2.0,0.0,0.0,1.0,565.0,6.0,155.0,742.0,2.0,260.7,1307,8.0,0.0,35.3125,46.375,81.6875,0.0,0.375,0.125,0.5,3.645161290322581,0.0,0.0,0.0,5.5,0.7272727272727273,216.7,13.54375
22,Steve Smith,CAR,WR,27.0,14.0,0.0,0.0,0.0,0.0,139.0,83.0,14.05,2.0,0.0,0.0,0.0,0.0,61.0,1.0,8.0,1166.0,8.0,259.7,1227,9.0,0.0,4.357142857142857,83.28571428571429,87.64285714285714,0.0,0.07142857142857142,0.5714285714285714,0.6428571428571429,7.625,0.0,0.0,0.0,5.928571428571429,0.5971223021582733,218.2,15.585714285714285
23,Javon Walker,DEN,WR,28.0,16.0,0.0,0.0,0.0,0.0,126.0,69.0,15.71,0.0,0.0,0.0,0.0,0.0,123.0,1.0,9.0,1084.0,8.0,243.7,1207,9.0,0.0,7.6875,67.75,75.4375,0.0,0.0625,0.5,0.5625,13.666666666666664,0.0,0.0,0.0,4.3125,0.5476190476190477,209.2,13.075
24,Rudi Johnson,CIN,RB,27.0,16.0,0.0,0.0,0.0,0.0,31.0,23.0,5.39,6.0,2.0,0.0,0.0,0.0,1309.0,12.0,341.0,124.0,0.0,234.3,1433,12.0,0.0,81.8125,7.75,89.5625,0.0,0.75,0.0,0.75,3.838709677419355,0.0,0.0,0.0,1.4375,0.7419354838709677,222.8,13.925
25,Roy Williams,DET,WR,25.0,16.0,0.0,0.0,0.0,0.0,151.0,82.0,15.98,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1310.0,7.0,251.2,1312,7.0,0.0,0.125,81.875,82.0,0.0,0.0,0.4375,0.4375,1.0,0.0,0.0,0.0,5.125,0.543046357615894,210.2,13.1375
26,T.J. Houshmandzadeh,CIN,WR,29.0,14.0,0.0,0.0,0.0,0.0,132.0,90.0,12.01,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,1081.0,9.0,252.7,1087,9.0,0.0,0.42857142857142855,77.21428571428571,77.64285714285714,0.0,0.0,0.6428571428571429,0.6428571428571429,2.0,0.0,0.0,0.0,6.428571428571429,0.6818181818181818,207.7,14.835714285714285
27,Alge Crumpler,ATL,TE,29.0,16.0,0.0,0.0,0.0,0.0,103.0,56.0,13.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,8.0,182.0,780,8.0,0.0,0.0,48.75,48.75,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,3.5,0.5436893203883495,154.0,9.625
28,Jon Kitna,DET,QB,34.0,16.0,372.0,596.0,4208.0,22.0,0.0,0.0,0.0,11.0,9.0,4208.0,21.0,596.0,156.0,2.0,34.0,0.0,0.0,217.92,156,2.0,263.0,9.75,0.0,9.75,1.3125,0.125,0.0,0.125,4.588235294117646,0.6241610738255033,11.311827956989248,7.060402684563758,0.0,0.0,217.92,13.619999999999996
29,Plaxico Burress,NYG,WR,29.0,15.0,0.0,0.0,0.0,0.0,116.0,63.0,15.68,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,988.0,10.0,219.8,988,10.0,0.0,0.0,65.86666666666666,65.86666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,4.2,0.5431034482758621,188.3,12.553333333333335
30,Tony Gonzalez,KAN,TE,30.0,15.0,0.0,0.0,0.0,0.0,104.0,73.0,12.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,5.0,193.0,900,5.0,0.0,0.0,60.0,60.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,4.866666666666666,0.7019230769230769,156.5,10.433333333333334
31,Darrell Jackson,SEA,WR,28.0,13.0,0.0,0.0,0.0,0.0,112.0,63.0,15.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956.0,10.0,218.6,956,10.0,0.0,0.0,73.53846153846153,73.53846153846153,0.0,0.0,0.7692307692307693,0.7692307692307693,0.0,0.0,0.0,0.0,4.846153846153847,0.5625,187.1,14.392307692307694
32,Tom Brady,NWE,QB,29.0,16.0,319.0,516.0,3529.0,12.0,0.0,0.0,0.0,12.0,4.0,3529.0,24.0,516.0,102.0,0.0,49.0,0.0,0.0,215.36,102,0.0,220.5625,6.375,0.0,6.375,1.5,0.0,0.0,0.0,2.0816326530612246,0.6182170542635659,11.06269592476489,6.8391472868217065,0.0,0.0,215.36,13.46
33,Marques Colston,NOR,WR,23.0,14.0,0.0,0.0,0.0,0.0,115.0,70.0,14.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1038.0,8.0,221.8,1038,8.0,0.0,0.0,74.14285714285714,74.14285714285714,0.0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0.0,5.0,0.6086956521739131,186.8,13.342857142857143
34,Ladell Betts,WAS,RB,27.0,16.0,0.0,0.0,0.0,0.0,64.0,53.0,8.4,6.0,3.0,0.0,0.0,0.0,1154.0,4.0,245.0,445.0,1.0,236.9,1599,5.0,0.0,72.125,27.8125,99.9375,0.0,0.25,0.0625,0.3125,4.710204081632654,0.0,0.0,0.0,3.3125,0.828125,210.4,13.15
35,Todd Heap,BAL,TE,26.0,16.0,0.0,0.0,0.0,0.0,116.0,73.0,10.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0,6.0,185.5,765,6.0,0.0,0.0,47.8125,47.8125,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,4.5625,0.6293103448275862,149.0,9.3125
36,Joey Galloway,TAM,WR,35.0,16.0,0.0,0.0,0.0,0.0,143.0,62.0,17.05,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,1057.0,7.0,210.6,1066,7.0,0.0,0.5625,66.0625,66.625,0.0,0.0,0.4375,0.4375,4.5,0.0,0.0,0.0,3.875,0.4335664335664336,179.60000000000005,11.225
37,Joseph Addai,IND,RB,23.0,16.0,0.0,0.0,0.0,0.0,50.0,40.0,8.13,2.0,1.0,0.0,0.0,0.0,1081.0,7.0,226.0,325.0,1.0,226.6,1406,8.0,0.0,67.5625,20.3125,87.875,0.0,0.4375,0.0625,0.5,4.783185840707965,0.0,0.0,0.0,2.5,0.8,206.6,12.9125
38,Chris Cooley,WAS,TE,24.0,16.0,0.0,0.0,0.0,0.0,95.0,57.0,12.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.0,6.0,166.4,734,6.0,0.0,0.0,45.875,45.875,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,3.5625,0.6,137.9,8.61875
39,Laveranues Coles,NYJ,WR,29.0,16.0,0.0,0.0,0.0,0.0,152.0,91.0,12.07,1.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,1098.0,6.0,238.2,1112,6.0,0.0,0.875,68.625,69.5,0.0,0.0,0.375,0.375,7.0,0.0,0.0,0.0,5.6875,0.5986842105263158,192.7,12.04375
40,Anquan Boldin,ARI,WR,26.0,16.0,0.0,0.0,0.0,0.0,152.0,83.0,14.49,1.0,0.0,0.0,0.0,0.0,28.0,0.0,5.0,1203.0,4.0,230.1,1231,4.0,0.0,1.75,75.1875,76.9375,0.0,0.0,0.25,0.25,5.6,0.0,0.0,0.0,5.1875,0.5460526315789473,188.6,11.7875
41,Andre Johnson,HOU,WR,25.0,16.0,0.0,0.0,0.0,0.0,163.0,103.0,11.14,1.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,1147.0,5.0,249.1,1161,5.0,0.0,0.875,71.6875,72.5625,0.0,0.0,0.3125,0.3125,4.666666666666667,0.0,0.0,0.0,6.4375,0.6319018404907976,197.6,12.35
