Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Tgt,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Walter Payton,CHI,RB,25.0,16.0,1.0,1.0,54.0,0.0,31.0,10.1,7.0,0.0,54.0,1.0,1.0,1610.0,14.0,369.0,313.0,2.0,311.46,0,1923,16.0,3.375,100.625,19.5625,120.1875,0.0625,0.875,0.125,1.0,4.363143631436315,1.0,54.0,54.0,1.9375,0,309.9600000000001,19.3725
1,Earl Campbell,HOU,RB,24.0,16.0,0.0,0.0,0.0,0.0,16.0,5.88,8.0,0.0,0.0,0.0,0.0,1697.0,19.0,368.0,94.0,0.0,293.1,0,1791,19.0,0.0,106.0625,5.875,111.9375,0.0,1.1875,0.0,1.1875,4.611413043478262,0.0,0.0,0.0,1.0,0,301.1,18.81875
2,Wilbert Montgomery,PHI,RB,25.0,16.0,0.0,0.0,0.0,0.0,41.0,12.05,14.0,0.0,0.0,0.0,0.0,1512.0,9.0,338.0,494.0,5.0,297.6,0,2006,14.0,0.0,94.5,30.875,125.375,0.0,0.5625,0.3125,0.875,4.4733727810650885,0.0,0.0,0.0,2.5625,0,305.1,19.06875
3,Ottis Anderson,STL,RB,22.0,16.0,0.0,1.0,0.0,0.0,41.0,7.51,10.0,0.0,0.0,0.0,1.0,1605.0,8.0,331.0,308.0,2.0,272.3,0,1913,10.0,0.0,100.3125,19.25,119.5625,0.0,0.5,0.125,0.625,4.848942598187311,0.0,0.0,0.0,2.5625,0,271.8,16.9875
4,Mike Pruitt,CLE,RB,25.0,16.0,0.0,0.0,0.0,0.0,41.0,9.07,6.0,0.0,0.0,0.0,0.0,1294.0,9.0,264.0,372.0,2.0,261.6,0,1666,11.0,0.0,80.875,23.25,104.125,0.0,0.5625,0.125,0.6875,4.901515151515151,0.0,0.0,0.0,2.5625,0,253.1,15.81875
5,Steve Largent,SEA,WR,25.0,15.0,0.0,0.0,0.0,0.0,66.0,18.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1237.0,9.0,243.7,0,1237,9.0,0.0,0.0,82.46666666666667,82.46666666666667,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,4.4,0,210.7,14.046666666666665
6,Stanley Morgan,NWE,WR,24.0,16.0,0.0,0.0,0.0,0.0,44.0,22.77,1.0,0.0,0.0,0.0,0.0,39.0,0.0,7.0,1002.0,12.0,218.1,0,1041,12.0,0.0,2.4375,62.625,65.0625,0.0,0.0,0.75,0.75,5.571428571428571,0.0,0.0,0.0,2.75,0,198.1,12.38125
7,Chuck Muncie,NOR,RB,26.0,16.0,1.0,2.0,40.0,0.0,40.0,7.7,8.0,0.0,40.0,1.0,2.0,1198.0,11.0,238.0,308.0,0.0,246.2,0,1506,11.0,2.5,74.875,19.25,94.125,0.0625,0.6875,0.0,0.6875,5.033613445378151,0.5,40.0,20.0,2.5,0,242.2,15.1375
8,Steve Grogan,NWE,QB,26.0,16.0,206.0,423.0,3286.0,20.0,0.0,0.0,12.0,0.0,3286.0,28.0,423.0,368.0,2.0,64.0,0.0,0.0,228.24,0,368,2.0,205.375,23.0,0.0,23.0,1.75,0.125,0.0,0.125,5.75,0.4869976359338061,15.951456310679612,7.7683215130023635,0.0,0,252.24,15.765
9,Franco Harris,PIT,RB,29.0,15.0,0.0,0.0,0.0,0.0,36.0,8.08,11.0,0.0,0.0,0.0,0.0,1186.0,11.0,267.0,291.0,1.0,233.7,0,1477,12.0,0.0,79.06666666666666,19.4,98.46666666666668,0.0,0.7333333333333333,0.06666666666666668,0.8,4.441947565543071,0.0,0.0,0.0,2.4,0,237.7,15.846666666666666
10,Sherman Smith,SEA,RB,25.0,16.0,1.0,1.0,11.0,0.0,48.0,10.4,1.0,0.0,11.0,0.0,1.0,775.0,11.0,194.0,499.0,4.0,263.84000000000003,0,1274,15.0,0.6875,48.4375,31.1875,79.625,0.0,0.6875,0.25,0.9375,3.9948453608247423,1.0,11.0,11.0,3.0,0,241.84,15.115
11,Ahmad Rashad,MIN,WR,30.0,16.0,0.0,0.0,0.0,0.0,80.0,14.45,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.0,9.0,245.6,0,1156,9.0,0.0,0.0,72.25,72.25,0.0,0.0,0.5625,0.5625,0.0,0.0,0.0,0.0,5.0,0,209.6,13.1
12,Roger Staubach,DAL,QB,37.0,16.0,267.0,461.0,3586.0,11.0,0.0,0.0,8.0,0.0,3586.0,27.0,461.0,172.0,0.0,37.0,0.0,0.0,230.64,0,172,0.0,224.125,10.75,0.0,10.75,1.6875,0.0,0.0,0.0,4.648648648648648,0.5791757049891539,13.430711610486894,7.778741865509763,0.0,0,246.64,15.415
13,John Jefferson,SDG,WR,23.0,15.0,0.0,0.0,0.0,0.0,61.0,17.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.0,10.0,230.0,0,1090,10.0,0.0,0.0,72.66666666666667,72.66666666666667,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,4.066666666666666,0,199.5,13.3
14,Tony Hill,DAL,WR,23.0,16.0,0.0,0.0,0.0,0.0,60.0,17.7,1.0,0.0,0.0,0.0,0.0,18.0,0.0,2.0,1062.0,10.0,226.0,0,1080,10.0,0.0,1.125,66.375,67.5,0.0,0.0,0.625,0.625,9.0,0.0,0.0,0.0,3.75,0,198.0,12.375
15,John Stallworth,PIT,WR,27.0,16.0,0.0,0.0,0.0,0.0,70.0,16.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1183.0,8.0,228.3,0,1183,8.0,0.0,0.0,73.9375,73.9375,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,4.375,0,201.3,12.58125
16,Brian Sipe,CLE,QB,30.0,16.0,286.0,535.0,3793.0,26.0,0.0,0.0,10.0,0.0,3793.0,28.0,535.0,178.0,2.0,45.0,0.0,0.0,221.52000000000004,0,178,2.0,237.0625,11.125,0.0,11.125,1.75,0.125,0.0,0.125,3.955555555555556,0.5345794392523364,13.262237762237762,7.0897196261682245,0.0,0,241.52,15.095
17,Ozzie Newsome,CLE,TE,23.0,16.0,0.0,0.0,0.0,0.0,55.0,14.2,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,781.0,9.0,187.7,0,787,9.0,0.0,0.375,48.8125,49.1875,0.0,0.0,0.5625,0.5625,6.0,0.0,0.0,0.0,3.4375,0,160.2,10.0125
