Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Tgt,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Priest Holmes,KAN,RB,30.0,16.0,0.0,1.0,0.0,0.0,90.0,74.0,9.32,1.0,1.0,0.0,0.0,1.0,1420.0,27.0,320.0,690.0,0.0,445.0,2110,27.0,0.0,88.75,43.125,131.875,0.0,1.6875,0.0,1.6875,4.4375,0.0,0.0,0.0,4.625,0.8222222222222222,408.0,25.5
1,Ahman Green,GNB,RB,26.0,16.0,0.0,0.0,0.0,0.0,60.0,50.0,7.34,7.0,5.0,0.0,0.0,0.0,1883.0,15.0,355.0,367.0,5.0,385.0,2250,20.0,0.0,117.6875,22.9375,140.625,0.0,0.9375,0.3125,1.25,5.304225352112676,0.0,0.0,0.0,3.125,0.8333333333333334,360.0,22.5
2,LaDainian Tomlinson,SDG,RB,24.0,16.0,1.0,1.0,21.0,0.0,137.0,100.0,7.25,2.0,0.0,21.0,1.0,1.0,1645.0,13.0,313.0,725.0,4.0,443.84,2370,17.0,1.3125,102.8125,45.3125,148.125,0.0625,0.8125,0.25,1.0625,5.255591054313099,1.0,21.0,21.0,6.25,0.7299270072992701,393.84,24.615
3,Jamal Lewis,BAL,RB,24.0,16.0,0.0,0.0,0.0,0.0,38.0,26.0,7.88,8.0,6.0,0.0,0.0,0.0,2066.0,14.0,387.0,205.0,0.0,325.1,2271,14.0,0.0,129.125,12.8125,141.9375,0.0,0.875,0.0,0.875,5.3385012919896635,0.0,0.0,0.0,1.625,0.6842105263157895,312.1,19.50625
4,Randy Moss,MIN,WR,26.0,16.0,0.0,1.0,0.0,0.0,172.0,111.0,14.7,1.0,1.0,0.0,0.0,1.0,18.0,0.0,6.0,1632.0,17.0,376.0,1650,17.0,0.0,1.125,102.0,103.125,0.0,0.0,1.0625,1.0625,3.0,0.0,0.0,0.0,6.9375,0.6453488372093024,320.5,20.03125
5,Torry Holt,STL,WR,27.0,16.0,0.0,0.0,0.0,0.0,183.0,117.0,14.5,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1696.0,12.0,359.1,1701,12.0,0.0,0.3125,106.0,106.3125,0.0,0.0,0.75,0.75,5.0,0.0,0.0,0.0,7.3125,0.639344262295082,300.6,18.7875
6,Clinton Portis,DEN,RB,22.0,13.0,0.0,0.0,0.0,0.0,51.0,38.0,8.26,3.0,1.0,0.0,0.0,0.0,1591.0,14.0,290.0,314.0,0.0,310.5,1905,14.0,0.0,122.3846153846154,24.153846153846153,146.53846153846158,0.0,1.0769230769230769,0.0,1.0769230769230769,5.4862068965517246,0.0,0.0,0.0,2.9230769230769234,0.7450980392156863,291.5,22.423076923076927
7,Shaun Alexander,SEA,RB,26.0,16.0,0.0,0.0,0.0,0.0,59.0,42.0,7.02,4.0,3.0,0.0,0.0,0.0,1435.0,14.0,326.0,295.0,2.0,305.0,1730,16.0,0.0,89.6875,18.4375,108.125,0.0,0.875,0.125,1.0,4.401840490797546,0.0,0.0,0.0,2.625,0.7118644067796609,284.0,17.75
8,Deuce McAllister,NOR,RB,25.0,16.0,0.0,2.0,0.0,0.0,87.0,69.0,7.48,6.0,3.0,0.0,0.0,2.0,1641.0,8.0,351.0,516.0,0.0,326.7,2157,8.0,0.0,102.5625,32.25,134.8125,0.0,0.5,0.0,0.5,4.675213675213676,0.0,0.0,0.0,4.3125,0.7931034482758621,292.2,18.2625
9,Fred Taylor,JAX,RB,27.0,16.0,0.0,0.0,0.0,0.0,74.0,48.0,7.71,6.0,4.0,0.0,0.0,0.0,1572.0,6.0,345.0,370.0,1.0,276.2,1942,7.0,0.0,98.25,23.125,121.375,0.0,0.375,0.0625,0.4375,4.556521739130434,0.0,0.0,0.0,3.0,0.6486486486486487,252.2,15.7625
