Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Tgt,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Randall Cunningham,PHI,QB,27.0,16.0,271.0,465.0,3466.0,13.0,0.0,0.0,9.0,0.0,3466.0,30.0,465.0,942.0,5.0,118.0,0.0,0.0,338.84,0,942,5.0,216.625,58.875,0.0,58.875,1.875,0.3125,0.0,0.3125,7.983050847457628,0.5827956989247312,12.789667896678967,7.453763440860215,0.0,0,356.84,22.3025
1,Warren Moon,HOU,QB,34.0,15.0,362.0,584.0,4689.0,13.0,0.0,0.0,18.0,0.0,4689.0,33.0,584.0,215.0,2.0,55.0,0.0,0.0,291.06,0,215,2.0,312.6,14.333333333333336,0.0,14.333333333333336,2.2,0.13333333333333333,0.0,0.13333333333333333,3.9090909090909087,0.6198630136986302,12.953038674033149,8.029109589041095,0.0,0,327.06,21.804000000000002
2,Barry Sanders,DET,RB,22.0,16.0,0.0,0.0,0.0,0.0,36.0,13.33,4.0,0.0,0.0,0.0,0.0,1304.0,13.0,255.0,480.0,3.0,302.4,0,1784,16.0,0.0,81.5,30.0,111.5,0.0,0.8125,0.1875,1.0,5.113725490196078,0.0,0.0,0.0,2.25,0,292.4,18.275
3,Thurman Thomas,BUF,RB,24.0,16.0,0.0,0.0,0.0,0.0,49.0,10.86,6.0,0.0,0.0,0.0,0.0,1297.0,11.0,271.0,532.0,2.0,297.9,0,1829,13.0,0.0,81.0625,33.25,114.3125,0.0,0.6875,0.125,0.8125,4.785977859778598,0.0,0.0,0.0,3.0625,0,285.4,17.8375
4,Jerry Rice,SFO,WR,28.0,16.0,0.0,0.0,0.0,0.0,100.0,15.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1502.0,13.0,326.2,0,1502,13.0,0.0,0.0,93.875,93.875,0.0,0.0,0.8125,0.8125,0.0,0.0,0.0,0.0,6.25,0,278.2,17.3875
5,Neal Anderson,CHI,RB,26.0,15.0,0.0,0.0,0.0,0.0,42.0,11.52,2.0,0.0,0.0,0.0,0.0,1078.0,10.0,260.0,484.0,3.0,272.2,0,1562,13.0,0.0,71.86666666666666,32.266666666666666,104.13333333333334,0.0,0.6666666666666666,0.2,0.8666666666666667,4.146153846153847,0.0,0.0,0.0,2.8,0,255.2,17.013333333333332
6,Joe Montana,SFO,QB,34.0,15.0,321.0,520.0,3944.0,16.0,0.0,0.0,4.0,0.0,3944.0,26.0,520.0,162.0,1.0,40.0,0.0,0.0,243.96,0,162,1.0,262.93333333333334,10.8,0.0,10.8,1.7333333333333334,0.06666666666666668,0.0,0.06666666666666668,4.05,0.6173076923076923,12.286604361370713,7.584615384615384,0.0,0,251.96,16.79733333333333
7,Andre Rison,ATL,WR,23.0,16.0,0.0,0.0,0.0,0.0,82.0,14.73,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208.0,10.0,258.8,0,1208,10.0,0.0,0.0,75.5,75.5,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,5.125,0,221.8,13.8625
8,Earnest Byner,WAS,RB,28.0,16.0,1.0,2.0,31.0,0.0,31.0,9.0,2.0,0.0,31.0,1.0,2.0,1219.0,6.0,297.0,279.0,1.0,224.04,0,1498,7.0,1.9375,76.1875,17.4375,93.625,0.0625,0.375,0.0625,0.4375,4.104377104377106,0.5,31.0,15.5,1.9375,0,212.54,13.28375
9,Derrick Fenner,SEA,RB,23.0,16.0,0.0,0.0,0.0,0.0,17.0,8.41,3.0,0.0,0.0,0.0,0.0,859.0,14.0,215.0,143.0,1.0,201.2,0,1002,15.0,0.0,53.6875,8.9375,62.625,0.0,0.875,0.0625,0.9375,3.9953488372093022,0.0,0.0,0.0,1.0625,0,198.7,12.41875
