Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Tgt,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Adrian Peterson,MIN,RB,27,16,0,0,0,0,51,40,5.43,4,2,0,0,0,2097,12,348,217,1,345.4,2314,13,0.0,131.0625,13.5625,144.625,0.0,0.75,0.0625,0.8125,6.025862068965517,0.0,0.0,0.0,2.5,0.7843137254901961,325.4,20.3375
1,Doug Martin,TAM,RB,23,16,0,0,0,0,70,49,9.63,1,1,0,0,0,1454,11,319,472,1,311.6,1926,12,0.0,90.875,29.5,120.375,0.0,0.6875,0.0625,0.75,4.557993730407524,0.0,0.0,0.0,3.0625,0.7,287.1,17.94375
2,Arian Foster,HOU,RB,26,16,0,0,0,0,58,40,5.43,3,2,0,0,0,1424,15,351,217,2,302.1,1641,17,0.0,89.0,13.5625,102.5625,0.0,0.9375,0.125,1.0625,4.0569800569800565,0.0,0.0,0.0,2.5,0.6896551724137931,282.1,17.63125
3,Marshawn Lynch,SEA,RB,26,16,0,0,0,0,30,23,8.52,5,2,0,0,0,1590,11,315,196,1,269.6,1786,12,0.0,99.375,12.25,111.625,0.0,0.6875,0.0625,0.75,5.047619047619048,0.0,0.0,0.0,1.4375,0.7666666666666667,258.1,16.13125
4,Alfred Morris,WAS,RB,24,16,0,0,0,0,16,11,7.0,4,3,0,0,0,1613,13,335,77,0,252.0,1690,13,0.0,100.8125,4.8125,105.625,0.0,0.8125,0.0,0.8125,4.814925373134328,0.0,0.0,0.0,0.6875,0.6875,246.5,15.40625
5,Calvin Johnson,DET,WR,27,16,0,0,0,0,204,122,16.1,3,3,0,0,0,0,0,0,1964,5,342.4,1964,5,0.0,0.0,122.75,122.75,0.0,0.0,0.3125,0.3125,0.0,0.0,0.0,0.0,7.625,0.5980392156862745,281.4,17.5875
6,Brandon Marshall,CHI,WR,28,16,0,0,0,0,192,118,12.78,2,0,0,0,0,-2,0,1,1508,11,334.6,1506,11,0.0,-0.125,94.25,94.125,0.0,0.0,0.6875,0.6875,-2.0,0.0,0.0,0.0,7.375,0.6145833333333334,275.6,17.225
7,Drew Brees,NOR,QB,33,16,422,670,5177,19,0,0,0.0,5,1,5177,43,670,5,1,15,0,0,345.58,5,1,323.5625,0.3125,0.0,0.3125,2.6875,0.0625,0.0,0.0625,0.3333333333333333,0.6298507462686567,12.26777251184834,7.726865671641791,0.0,0.0,345.5800000000001,21.598750000000006
8,Aaron Rodgers,GNB,QB,29,16,371,552,4295,8,1,1,-1.0,5,4,4295,39,552,259,2,54,-1,0,342.6,258,2,268.4375,16.1875,-0.0625,16.125,2.4375,0.125,0.0,0.125,4.796296296296297,0.6721014492753623,11.576819407008085,7.780797101449275,0.0625,1.0,342.1,21.38125
9,Ray Rice,BAL,RB,25,16,0,0,0,0,83,61,7.84,1,0,0,0,0,1143,9,257,478,1,283.1,1621,10,0.0,71.4375,29.875,101.3125,0.0,0.5625,0.0625,0.625,4.447470817120623,0.0,0.0,0.0,3.8125,0.7349397590361446,252.6,15.7875
