Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Tgt,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,O.J. Simpson,BUF,RB,26.0,14.0,1.0,2.0,-3.0,0.0,6.0,11.67,7.0,0.0,-3.0,0.0,2.0,2003.0,12.0,332.0,70.0,0.0,271.18,0,2073,12.0,-0.21428571428571427,143.07142857142858,5.0,148.07142857142858,0.0,0.8571428571428571,0.0,0.8571428571428571,6.033132530120483,0.5,-3.0,-1.5,0.42857142857142855,0,282.18,20.15571428571429
1,Harold Carmichael,PHI,WR,24.0,14.0,0.0,0.0,0.0,0.0,67.0,16.66,3.0,0.0,0.0,0.0,0.0,42.0,0.0,3.0,1116.0,9.0,230.8,0,1158,9.0,0.0,3.0,79.71428571428571,82.71428571428571,0.0,0.0,0.6428571428571429,0.6428571428571429,14.0,0.0,0.0,0.0,4.785714285714286,0,203.3,14.521428571428574
2,Harold Jackson,RAM,WR,27.0,14.0,0.0,0.0,0.0,0.0,40.0,21.85,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,2.0,874.0,13.0,204.6,0,866,13.0,0.0,-0.5714285714285714,62.42857142857143,61.85714285714285,0.0,0.0,0.9285714285714286,0.9285714285714286,-4.0,0.0,0.0,0.0,2.8571428571428568,0,184.6,13.185714285714289
3,Floyd Little,DEN,RB,31.0,14.0,0.0,0.0,0.0,0.0,41.0,10.32,3.0,0.0,0.0,0.0,0.0,979.0,12.0,256.0,423.0,1.0,253.2,0,1402,13.0,0.0,69.92857142857143,30.214285714285715,100.14285714285714,0.0,0.8571428571428571,0.07142857142857142,0.9285714285714286,3.82421875,0.0,0.0,0.0,2.9285714285714284,0,238.7,17.05
4,Larry Brown,WAS,RB,26.0,14.0,0.0,0.0,0.0,0.0,40.0,12.05,7.0,0.0,0.0,0.0,0.0,860.0,8.0,273.0,482.0,6.0,244.2,0,1342,14.0,0.0,61.42857142857143,34.42857142857143,95.85714285714286,0.0,0.5714285714285714,0.42857142857142855,1.0,3.15018315018315,0.0,0.0,0.0,2.8571428571428568,0,238.2,17.014285714285712
5,John Gilliam,MIN,WR,28.0,14.0,0.0,0.0,0.0,0.0,42.0,21.6,1.0,0.0,0.0,0.0,0.0,71.0,1.0,5.0,907.0,8.0,191.8,0,978,9.0,0.0,5.071428571428571,64.78571428571429,69.85714285714286,0.0,0.07142857142857142,0.5714285714285714,0.6428571428571429,14.2,0.0,0.0,0.0,3.0,0,172.8,12.342857142857143
6,Roman Gabriel,PHI,QB,33.0,14.0,270.0,460.0,3219.0,12.0,0.0,0.0,10.0,0.0,3219.0,23.0,460.0,10.0,1.0,12.0,0.0,0.0,183.76,0,10,1.0,229.92857142857144,0.7142857142857143,0.0,0.7142857142857143,1.6428571428571428,0.07142857142857142,0.0,0.07142857142857142,0.8333333333333334,0.5869565217391305,11.922222222222222,6.997826086956523,0.0,0,203.76,14.554285714285712
7,Roger Staubach,DAL,QB,31.0,14.0,179.0,286.0,2428.0,15.0,0.0,0.0,5.0,0.0,2428.0,23.0,286.0,250.0,3.0,46.0,0.0,0.0,192.12,0,250,3.0,173.4285714285714,17.857142857142858,0.0,17.857142857142858,1.6428571428571428,0.21428571428571427,0.0,0.21428571428571427,5.434782608695652,0.6258741258741258,13.564245810055866,8.48951048951049,0.0,0,202.12,14.437142857142858
8,Isaac Curtis,CIN,WR,23.0,14.0,0.0,0.0,0.0,0.0,45.0,18.73,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,2.0,843.0,9.0,182.2,0,832,9.0,0.0,-0.7857142857142857,60.214285714285715,59.42857142857143,0.0,0.0,0.6428571428571429,0.6428571428571429,-5.5,0.0,0.0,0.0,3.2142857142857144,0,159.7,11.407142857142857
9,Charle Young,PHI,TE,22.0,14.0,0.0,0.0,0.0,0.0,55.0,15.53,0.0,0.0,0.0,0.0,0.0,24.0,1.0,4.0,854.0,6.0,184.8,0,878,7.0,0.0,1.7142857142857142,61.0,62.714285714285715,0.0,0.07142857142857142,0.42857142857142855,0.5,6.0,0.0,0.0,0.0,3.928571428571429,0,157.3,11.235714285714288
