Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Tgt,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Billy Sims,DET,RB,25.0,16.0,0.0,0.0,0.0,0.0,51.0,12.18,12.0,0.0,0.0,0.0,0.0,1303.0,13.0,313.0,621.0,3.0,315.4,0,1924,16.0,0.0,81.4375,38.8125,120.25,0.0,0.8125,0.1875,1.0,4.1629392971246,0.0,0.0,0.0,3.1875,0,313.9,19.61875
1,Earl Campbell,HOU,RB,25.0,15.0,1.0,2.0,57.0,0.0,11.0,4.27,4.0,0.0,57.0,1.0,2.0,1934.0,13.0,373.0,47.0,0.0,285.38,0,1981,13.0,3.8,128.93333333333334,3.1333333333333333,132.06666666666666,0.06666666666666668,0.8666666666666667,0.0,0.8666666666666667,5.184986595174262,0.5,57.0,28.5,0.7333333333333333,0,287.88,19.192
2,John Jefferson,SDG,WR,24.0,16.0,0.0,0.0,0.0,0.0,82.0,16.34,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,1340.0,13.0,295.6,0,1356,13.0,0.0,1.0,83.75,84.75,0.0,0.0,0.8125,0.8125,16.0,0.0,0.0,0.0,5.125,0,254.6,15.9125
3,Kellen Winslow,SDG,TE,23.0,16.0,0.0,0.0,0.0,0.0,89.0,14.49,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1290.0,9.0,268.0,0,1290,9.0,0.0,0.0,80.625,80.625,0.0,0.0,0.5625,0.5625,0.0,0.0,0.0,0.0,5.5625,0,227.5,14.21875
4,Joe Cribbs,BUF,RB,22.0,16.0,1.0,1.0,13.0,0.0,52.0,7.98,16.0,0.0,13.0,0.0,1.0,1185.0,11.0,306.0,415.0,1.0,252.52,0,1600,12.0,0.8125,74.0625,25.9375,100.0,0.0,0.6875,0.0625,0.75,3.872549019607843,1.0,13.0,13.0,3.25,0,258.52,16.1575
5,Walter Payton,CHI,RB,26.0,16.0,0.0,3.0,0.0,0.0,46.0,7.98,5.0,0.0,0.0,0.0,3.0,1460.0,6.0,317.0,367.0,1.0,260.7,0,1827,7.0,0.0,91.25,22.9375,114.1875,0.0,0.375,0.0625,0.4375,4.6056782334384865,0.0,0.0,0.0,2.875,0,247.7,15.48125
6,Ottis Anderson,STL,RB,23.0,16.0,0.0,0.0,0.0,0.0,36.0,8.56,5.0,0.0,0.0,0.0,0.0,1352.0,9.0,301.0,308.0,0.0,246.0,0,1660,9.0,0.0,84.5,19.25,103.75,0.0,0.5625,0.0,0.5625,4.4916943521594686,0.0,0.0,0.0,2.25,0,238.0,14.875
7,Ted Brown,MIN,RB,23.0,16.0,0.0,0.0,0.0,0.0,62.0,10.05,6.0,0.0,0.0,0.0,0.0,912.0,8.0,219.0,623.0,2.0,263.5,0,1535,10.0,0.0,57.0,38.9375,95.9375,0.0,0.5,0.125,0.625,4.1643835616438345,0.0,0.0,0.0,3.875,0,244.5,15.28125
8,Tony Dorsett,DAL,RB,26.0,15.0,0.0,1.0,0.0,0.0,34.0,7.74,8.0,0.0,0.0,0.0,1.0,1185.0,11.0,278.0,263.0,0.0,228.8,0,1448,11.0,0.0,79.0,17.533333333333335,96.53333333333332,0.0,0.7333333333333333,0.0,0.7333333333333333,4.262589928057554,0.0,0.0,0.0,2.2666666666666666,0,227.8,15.186666666666667
9,Dan Fouts,SDG,QB,29.0,16.0,348.0,589.0,4715.0,24.0,0.0,0.0,11.0,0.0,4715.0,30.0,589.0,15.0,2.0,23.0,0.0,0.0,252.1,0,15,2.0,294.6875,0.9375,0.0,0.9375,1.875,0.125,0.0,0.125,0.6521739130434783,0.5908319185059423,13.548850574712644,8.005093378607809,0.0,0,274.1,17.13125
10,William Andrews,ATL,RB,25.0,16.0,0.0,0.0,0.0,0.0,51.0,8.94,6.0,0.0,0.0,0.0,0.0,1308.0,4.0,265.0,456.0,1.0,245.4,0,1764,5.0,0.0,81.75,28.5,110.25,0.0,0.25,0.0625,0.3125,4.935849056603773,0.0,0.0,0.0,3.1875,0,231.9,14.49375
11,Brian Sipe,CLE,QB,31.0,16.0,337.0,554.0,4132.0,14.0,0.0,0.0,3.0,0.0,4132.0,30.0,554.0,55.0,1.0,20.0,0.0,0.0,262.78,0,55,1.0,258.25,3.4375,0.0,3.4375,1.875,0.0625,0.0,0.0625,2.75,0.6083032490974729,12.261127596439168,7.458483754512637,0.0,0,268.78,16.79875
12,Mike Pruitt,CLE,RB,26.0,16.0,0.0,0.0,0.0,0.0,63.0,7.48,9.0,0.0,0.0,0.0,0.0,1034.0,6.0,249.0,471.0,0.0,231.5,0,1505,6.0,0.0,64.625,29.4375,94.0625,0.0,0.375,0.0,0.375,4.152610441767068,0.0,0.0,0.0,3.9375,0,218.0,13.625
13,Tony Hill,DAL,WR,24.0,16.0,0.0,0.0,0.0,0.0,60.0,17.58,0.0,0.0,0.0,0.0,0.0,27.0,0.0,4.0,1055.0,8.0,216.2,0,1082,8.0,0.0,1.6875,65.9375,67.625,0.0,0.0,0.5,0.5,6.75,0.0,0.0,0.0,3.75,0,186.2,11.6375
14,Earl Cooper,SFO,RB,23.0,16.0,0.0,0.0,0.0,0.0,83.0,6.83,8.0,0.0,0.0,0.0,0.0,720.0,5.0,171.0,567.0,4.0,249.7,0,1287,9.0,0.0,45.0,35.4375,80.4375,0.0,0.3125,0.25,0.5625,4.2105263157894735,0.0,0.0,0.0,5.1875,0,224.2,14.0125
15,Steve Bartkowski,ATL,QB,28.0,16.0,257.0,463.0,3544.0,16.0,0.0,0.0,6.0,0.0,3544.0,31.0,463.0,35.0,2.0,25.0,0.0,0.0,237.26,0,35,2.0,221.5,2.1875,0.0,2.1875,1.9375,0.125,0.0,0.125,1.4,0.5550755939524838,13.789883268482493,7.6544276457883385,0.0,0,249.26,15.57875
16,Wilbert Montgomery,PHI,RB,26.0,12.0,0.0,1.0,0.0,0.0,50.0,8.14,3.0,0.0,0.0,0.0,1.0,778.0,8.0,193.0,407.0,2.0,222.5,0,1185,10.0,0.0,64.83333333333333,33.916666666666664,98.75,0.0,0.6666666666666666,0.16666666666666666,0.8333333333333334,4.0310880829015545,0.0,0.0,0.0,4.166666666666667,0,203.5,16.958333333333332
17,Curtis Dickey,BAL,RB,24.0,15.0,0.0,0.0,0.0,0.0,25.0,8.16,3.0,0.0,0.0,0.0,0.0,800.0,11.0,176.0,204.0,2.0,197.4,0,1004,13.0,0.0,53.33333333333334,13.6,66.93333333333334,0.0,0.7333333333333333,0.13333333333333333,0.8666666666666667,4.545454545454546,0.0,0.0,0.0,1.6666666666666667,0,190.9,12.726666666666668
18,Doug Williams,TAM,QB,25.0,16.0,254.0,521.0,3396.0,16.0,0.0,0.0,7.0,0.0,3396.0,20.0,521.0,370.0,4.0,58.0,0.0,0.0,230.84,0,370,4.0,212.25,23.125,0.0,23.125,1.25,0.25,0.0,0.25,6.379310344827586,0.4875239923224568,13.37007874015748,6.518234165067178,0.0,0,244.84000000000003,15.302500000000002
19,Ron Jaworski,PHI,QB,29.0,16.0,257.0,451.0,3529.0,12.0,0.0,0.0,6.0,0.0,3529.0,27.0,451.0,95.0,1.0,27.0,0.0,0.0,228.66,0,95,1.0,220.5625,5.9375,0.0,5.9375,1.6875,0.0625,0.0,0.0625,3.5185185185185186,0.5698447893569845,13.731517509727626,7.824833702882483,0.0,0,240.66,15.041249999999998
20,Dwight Clark,SFO,WR,23.0,16.0,0.0,0.0,0.0,0.0,82.0,12.09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991.0,8.0,225.1,0,991,8.0,0.0,0.0,61.9375,61.9375,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,5.125,0,188.1,11.75625
21,James Lofton,GNB,WR,24.0,16.0,0.0,0.0,0.0,0.0,71.0,17.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1226.0,4.0,217.6,0,1226,4.0,0.0,0.0,76.625,76.625,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,4.4375,0,182.1,11.38125
22,Steve Largent,SEA,WR,26.0,16.0,0.0,0.0,0.0,0.0,66.0,16.12,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1064.0,6.0,206.6,0,1066,6.0,0.0,0.125,66.5,66.625,0.0,0.0,0.375,0.375,2.0,0.0,0.0,0.0,4.125,0,175.60000000000005,10.975
23,Lynn Cain,ATL,RB,25.0,16.0,0.0,0.0,0.0,0.0,24.0,9.29,6.0,0.0,0.0,0.0,0.0,914.0,8.0,235.0,223.0,1.0,179.7,0,1137,9.0,0.0,57.125,13.9375,71.0625,0.0,0.5,0.0625,0.5625,3.88936170212766,0.0,0.0,0.0,1.5,0,179.7,11.23125
24,Ahmad Rashad,MIN,WR,31.0,16.0,0.0,0.0,0.0,0.0,69.0,15.87,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1095.0,5.0,209.3,0,1103,5.0,0.0,0.5,68.4375,68.9375,0.0,0.0,0.3125,0.3125,8.0,0.0,0.0,0.0,4.3125,0,174.8,10.925
25,Russ Francis,NWE,TE,27.0,15.0,0.0,0.0,0.0,0.0,41.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.0,8.0,155.4,0,664,8.0,0.0,0.0,44.26666666666666,44.26666666666666,0.0,0.0,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0,0.0,2.7333333333333334,0,134.9,8.993333333333334
26,Alfred Jenkins,ATL,WR,28.0,16.0,0.0,0.0,0.0,0.0,58.0,17.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.0,6.0,197.5,0,1035,6.0,0.0,0.0,64.6875,64.6875,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,3.625,0,168.5,10.53125
27,Stanley Morgan,NWE,WR,25.0,16.0,0.0,0.0,0.0,0.0,45.0,22.02,0.0,0.0,0.0,0.0,0.0,36.0,0.0,4.0,991.0,6.0,183.7,0,1027,6.0,0.0,2.25,61.9375,64.1875,0.0,0.0,0.375,0.375,9.0,0.0,0.0,0.0,2.8125,0,161.2,10.075
28,Bob Chandler,OAK,WR,31.0,16.0,0.0,0.0,0.0,0.0,49.0,16.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.0,10.0,185.6,0,786,10.0,0.0,0.0,49.125,49.125,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,3.0625,0,163.1,10.19375
29,Junior Miller,ATL,TE,23.0,16.0,0.0,0.0,0.0,0.0,46.0,12.7,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,584.0,9.0,154.20000000000005,0,582,9.0,0.0,-0.125,36.5,36.375,0.0,0.0,0.5625,0.5625,-1.0,0.0,0.0,0.0,2.875,0,135.2,8.45
30,Earnest Gray,NYG,WR,23.0,16.0,0.0,0.0,0.0,0.0,52.0,14.94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.0,10.0,187.7,0,777,10.0,0.0,0.0,48.5625,48.5625,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,3.25,0,163.7,10.23125
31,Charlie Joiner,SDG,WR,33.0,16.0,0.0,0.0,0.0,0.0,71.0,15.94,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132.0,4.0,202.2,0,1132,4.0,0.0,0.0,70.75,70.75,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,4.4375,0,172.7,10.79375
32,Wes Chandler,NOR,WR,24.0,16.0,1.0,1.0,43.0,0.0,65.0,15.0,2.0,0.0,43.0,0.0,1.0,9.0,0.0,1.0,975.0,6.0,197.12,0,984,6.0,2.6875,0.5625,60.9375,61.5,0.0,0.0,0.375,0.375,9.0,1.0,43.0,43.0,4.0625,0,168.62,10.53875
33,Harold Carmichael,PHI,WR,31.0,16.0,0.0,0.0,0.0,0.0,48.0,16.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.0,9.0,181.5,0,815,9.0,0.0,0.0,50.9375,50.9375,0.0,0.0,0.5625,0.5625,0.0,0.0,0.0,0.0,3.0,0,159.5,9.96875
34,Pat Tilley,STL,WR,27.0,14.0,0.0,0.0,0.0,0.0,68.0,14.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.0,6.0,200.6,0,966,6.0,0.0,0.0,69.0,69.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,4.857142857142857,0,166.6,11.9
35,Dave Casper,2TM,TE,28.0,16.0,0.0,0.0,0.0,0.0,56.0,14.21,3.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,796.0,4.0,154.4,0,804,4.0,0.0,0.5,49.75,50.25,0.0,0.0,0.25,0.25,4.0,0.0,0.0,0.0,3.5,0,132.39999999999998,8.274999999999999
36,Cullen Bryant,RAM,RB,29.0,16.0,0.0,0.0,0.0,0.0,53.0,7.28,1.0,0.0,0.0,0.0,0.0,807.0,3.0,183.0,386.0,3.0,206.3,0,1193,6.0,0.0,50.4375,24.125,74.5625,0.0,0.1875,0.1875,0.375,4.409836065573772,0.0,0.0,0.0,3.3125,0,181.8,11.3625
37,Eddie Lee Ivery,GNB,RB,23.0,16.0,0.0,0.0,0.0,0.0,50.0,9.62,3.0,0.0,0.0,0.0,0.0,831.0,3.0,202.0,481.0,1.0,199.2,0,1312,4.0,0.0,51.9375,30.0625,82.0,0.0,0.1875,0.0625,0.25,4.1138613861386135,0.0,0.0,0.0,3.125,0,180.2,11.2625
38,Wallace Francis,ATL,WR,29.0,16.0,0.0,0.0,0.0,0.0,54.0,15.96,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,862.0,7.0,182.4,0,864,7.0,0.0,0.125,53.875,54.0,0.0,0.0,0.4375,0.4375,2.0,0.0,0.0,0.0,3.375,0,155.4,9.7125
