Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Tgt,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Emmitt Smith,DAL,RB,26.0,16.0,0.0,0.0,0.0,0.0,78.0,62.0,6.05,7.0,6.0,0.0,0.0,0.0,1773.0,25.0,377.0,375.0,0.0,414.8,2148,25.0,0.0,110.8125,23.4375,134.25,0.0,1.5625,0.0,1.5625,4.702917771883289,0.0,0.0,0.0,3.875,0.7948717948717948,383.8,23.9875
1,Jerry Rice,SFO,WR,33.0,16.0,1.0,1.0,41.0,0.0,176.0,122.0,15.15,3.0,3.0,41.0,1.0,1.0,36.0,1.0,5.0,1848.0,15.0,406.04,1884,16.0,2.5625,2.25,115.5,117.75,0.0625,0.0625,0.9375,1.0,7.2,1.0,41.0,41.0,7.625,0.6931818181818182,345.04,21.565
2,Isaac Bruce,STL,WR,23.0,16.0,0.0,0.0,0.0,0.0,199.0,119.0,14.97,2.0,1.0,0.0,0.0,0.0,17.0,0.0,3.0,1781.0,13.0,374.8,1798,13.0,0.0,1.0625,111.3125,112.375,0.0,0.0,0.8125,0.8125,5.666666666666668,0.0,0.0,0.0,7.4375,0.5979899497487438,315.2999999999999,19.70625
3,Herman Moore,DET,WR,26.0,16.0,0.0,0.0,0.0,0.0,206.0,123.0,13.71,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1686.0,14.0,371.6,1686,14.0,0.0,0.0,105.375,105.375,0.0,0.0,0.875,0.875,0.0,0.0,0.0,0.0,7.6875,0.5970873786407767,310.1,19.38125
4,Brett Favre,GNB,QB,26.0,16.0,359.0,570.0,4413.0,13.0,0.0,0.0,0.0,8.0,4.0,4413.0,38.0,570.0,181.0,3.0,39.0,0.0,0.0,330.62,181,3.0,275.8125,11.3125,0.0,11.3125,2.375,0.1875,0.0,0.1875,4.641025641025641,0.6298245614035087,12.292479108635096,7.742105263157895,0.0,0.0,330.62,20.66375
5,Curtis Martin,NWE,RB,22.0,16.0,0.0,0.0,0.0,0.0,50.0,30.0,8.7,5.0,3.0,0.0,0.0,0.0,1487.0,14.0,368.0,261.0,1.0,288.7999999999999,1748,15.0,0.0,92.9375,16.3125,109.25,0.0,0.875,0.0625,0.9375,4.040760869565218,0.0,0.0,0.0,1.875,0.6,273.79999999999995,17.112499999999994
6,Barry Sanders,DET,RB,27.0,16.0,1.0,2.0,11.0,0.0,70.0,48.0,8.29,3.0,3.0,11.0,0.0,2.0,1500.0,11.0,314.0,398.0,1.0,304.24,1898,12.0,0.6875,93.75,24.875,118.625,0.0,0.6875,0.0625,0.75,4.777070063694269,0.5,11.0,5.5,3.0,0.6857142857142857,280.24,17.515
7,Cris Carter,MIN,WR,30.0,16.0,0.0,0.0,0.0,0.0,197.0,122.0,11.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1371.0,17.0,361.1,1371,17.0,0.0,0.0,85.6875,85.6875,0.0,0.0,1.0625,1.0625,0.0,0.0,0.0,0.0,7.625,0.6192893401015228,300.1,18.75625
8,Chris Warren,SEA,RB,27.0,16.0,0.0,0.0,0.0,0.0,50.0,35.0,7.06,5.0,3.0,0.0,0.0,0.0,1346.0,15.0,310.0,247.0,1.0,284.3,1593,16.0,0.0,84.125,15.4375,99.5625,0.0,0.9375,0.0625,1.0,4.3419354838709685,0.0,0.0,0.0,2.1875,0.7,266.79999999999995,16.674999999999994
9,Robert Brooks,GNB,WR,25.0,16.0,0.0,0.0,0.0,0.0,167.0,102.0,14.68,0.0,0.0,0.0,0.0,0.0,21.0,0.0,4.0,1497.0,13.0,331.8,1518,13.0,0.0,1.3125,93.5625,94.875,0.0,0.0,0.8125,0.8125,5.25,0.0,0.0,0.0,6.375,0.6107784431137725,280.79999999999995,17.549999999999994
10,Scott Mitchell,DET,QB,27.0,16.0,346.0,583.0,4338.0,12.0,0.0,0.0,0.0,8.0,3.0,4338.0,32.0,583.0,104.0,4.0,36.0,0.0,0.0,305.92,104,4.0,271.125,6.5,0.0,6.5,2.0,0.25,0.0,0.25,2.888888888888889,0.5934819897084048,12.537572254335261,7.440823327615781,0.0,0.0,305.92,19.12
11,Carl Pickens,CIN,WR,25.0,16.0,0.0,0.0,0.0,0.0,168.0,99.0,12.46,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1234.0,17.0,325.0,1240,17.0,0.0,0.375,77.125,77.5,0.0,0.0,1.0625,1.0625,6.0,0.0,0.0,0.0,6.1875,0.5892857142857143,275.5,17.21875
12,Ricky Watters,PHI,RB,26.0,16.0,0.0,0.0,0.0,0.0,93.0,62.0,7.0,6.0,3.0,0.0,0.0,0.0,1273.0,11.0,337.0,434.0,1.0,298.7,1707,12.0,0.0,79.5625,27.125,106.6875,0.0,0.6875,0.0625,0.75,3.7774480712166167,0.0,0.0,0.0,3.875,0.6666666666666666,267.7,16.73125
13,Michael Irvin,DAL,WR,29.0,16.0,0.0,0.0,0.0,0.0,165.0,111.0,14.44,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1603.0,10.0,329.3,1603,10.0,0.0,0.0,100.1875,100.1875,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,6.9375,0.6727272727272727,273.8,17.1125
14,Marshall Faulk,IND,RB,22.0,16.0,0.0,0.0,0.0,0.0,74.0,56.0,8.48,8.0,4.0,0.0,0.0,0.0,1078.0,11.0,289.0,475.0,3.0,287.3,1553,14.0,0.0,67.375,29.6875,97.0625,0.0,0.6875,0.1875,0.875,3.7301038062283736,0.0,0.0,0.0,3.5,0.7567567567567568,259.3,16.20625
15,Brett Perriman,DET,WR,30.0,16.0,0.0,0.0,0.0,0.0,179.0,108.0,13.78,1.0,1.0,0.0,0.0,0.0,48.0,0.0,5.0,1488.0,9.0,313.6,1536,9.0,0.0,3.0,93.0,96.0,0.0,0.0,0.5625,0.5625,9.6,0.0,0.0,0.0,6.75,0.6033519553072626,259.6,16.225
16,Terry Allen,WAS,RB,27.0,16.0,0.0,0.0,0.0,0.0,40.0,31.0,7.48,6.0,3.0,0.0,0.0,0.0,1309.0,10.0,338.0,232.0,1.0,245.1,1541,11.0,0.0,81.8125,14.5,96.3125,0.0,0.625,0.0625,0.6875,3.872781065088757,0.0,0.0,0.0,1.9375,0.775,229.6,14.35
17,Derek Loville,SFO,RB,27.0,16.0,0.0,0.0,0.0,0.0,110.0,87.0,7.61,1.0,1.0,0.0,0.0,0.0,723.0,10.0,218.0,662.0,3.0,301.5,1385,13.0,0.0,45.1875,41.375,86.5625,0.0,0.625,0.1875,0.8125,3.31651376146789,0.0,0.0,0.0,5.4375,0.7909090909090909,258.0,16.125
18,Warren Moon,MIN,QB,39.0,16.0,377.0,606.0,4228.0,14.0,0.0,0.0,0.0,13.0,4.0,4228.0,33.0,606.0,82.0,0.0,33.0,0.0,0.0,273.32,82,0.0,264.25,5.125,0.0,5.125,2.0625,0.0,0.0,0.0,2.484848484848485,0.6221122112211221,11.214854111405835,6.976897689768977,0.0,0.0,273.32,17.0825
19,Tim Brown,OAK,WR,29.0,16.0,0.0,0.0,0.0,0.0,148.0,89.0,15.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342.0,10.0,283.2,1342,10.0,0.0,0.0,83.875,83.875,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,5.5625,0.6013513513513513,238.7,14.91875
20,Edgar Bennett,GNB,RB,26.0,16.0,0.0,0.0,0.0,0.0,79.0,61.0,10.62,2.0,0.0,0.0,0.0,0.0,1067.0,3.0,316.0,648.0,4.0,274.5,1715,7.0,0.0,66.6875,40.5,107.1875,0.0,0.1875,0.25,0.4375,3.3765822784810124,0.0,0.0,0.0,3.8125,0.7721518987341772,244.0,15.25
21,Anthony Miller,DEN,WR,30.0,14.0,0.0,0.0,0.0,0.0,108.0,59.0,18.29,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,1079.0,14.0,249.4,1084,14.0,0.0,0.35714285714285715,77.07142857142857,77.42857142857143,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,4.214285714285714,0.5462962962962963,219.9,15.707142857142856
22,Jeff Blake,CIN,QB,25.0,16.0,326.0,567.0,3822.0,17.0,0.0,0.0,0.0,10.0,5.0,3822.0,28.0,567.0,309.0,2.0,53.0,0.0,0.0,263.78,309,2.0,238.875,19.3125,0.0,19.3125,1.75,0.125,0.0,0.125,5.830188679245283,0.5749559082892416,11.723926380368097,6.7407407407407405,0.0,0.0,263.78,16.48625
23,Harvey Williams,OAK,RB,28.0,16.0,1.0,1.0,13.0,0.0,60.0,54.0,6.94,5.0,3.0,13.0,1.0,1.0,1114.0,9.0,255.0,375.0,0.0,255.42,1489,9.0,0.8125,69.625,23.4375,93.0625,0.0625,0.5625,0.0,0.5625,4.368627450980392,1.0,13.0,13.0,3.375,0.9,228.42,14.27625
24,Eric Metcalf,ATL,WR,27.0,16.0,0.0,1.0,0.0,0.0,153.0,104.0,11.43,4.0,3.0,0.0,0.0,1.0,133.0,1.0,28.0,1189.0,8.0,284.2,1322,9.0,0.0,8.3125,74.3125,82.625,0.0,0.0625,0.5,0.5625,4.75,0.0,0.0,0.0,6.5,0.6797385620915033,232.2,14.5125
25,Curtis Conway,CHI,WR,24.0,16.0,0.0,1.0,0.0,0.0,117.0,62.0,16.73,0.0,0.0,0.0,0.0,1.0,77.0,0.0,5.0,1037.0,12.0,245.4,1114,12.0,0.0,4.8125,64.8125,69.625,0.0,0.0,0.75,0.75,15.4,0.0,0.0,0.0,3.875,0.5299145299145299,214.4,13.4
26,Ben Coates,NWE,TE,26.0,16.0,0.0,0.0,0.0,0.0,137.0,84.0,10.89,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,915.0,6.0,203.5,915,6.0,0.0,0.0,57.1875,57.1875,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,5.25,0.6131386861313869,161.5,10.09375
27,Errict Rhett,TAM,RB,25.0,16.0,0.0,0.0,0.0,0.0,29.0,14.0,7.86,2.0,1.0,0.0,0.0,0.0,1207.0,11.0,332.0,110.0,0.0,209.7,1317,11.0,0.0,75.4375,6.875,82.3125,0.0,0.6875,0.0,0.6875,3.6355421686746983,0.0,0.0,0.0,0.875,0.4827586206896552,202.7,12.66875
28,Terrell Davis,DEN,RB,23.0,14.0,0.0,0.0,0.0,0.0,82.0,49.0,7.49,5.0,2.0,0.0,0.0,0.0,1117.0,7.0,237.0,367.0,1.0,241.4,1484,8.0,0.0,79.78571428571429,26.214285714285715,106.0,0.0,0.5,0.07142857142857142,0.5714285714285714,4.713080168776371,0.0,0.0,0.0,3.5,0.5975609756097561,216.9,15.492857142857144
29,John Elway,DEN,QB,35.0,16.0,316.0,542.0,3970.0,14.0,0.0,0.0,0.0,9.0,6.0,3970.0,26.0,542.0,176.0,1.0,41.0,0.0,0.0,246.4,176,1.0,248.125,11.0,0.0,11.0,1.625,0.0625,0.0,0.0625,4.2926829268292686,0.5830258302583026,12.563291139240508,7.324723247232473,0.0,0.0,246.4,15.4
30,Rodney Hampton,NYG,RB,26.0,16.0,0.0,0.0,0.0,0.0,28.0,24.0,5.92,5.0,4.0,0.0,0.0,0.0,1182.0,10.0,306.0,142.0,0.0,208.4,1324,10.0,0.0,73.875,8.875,82.75,0.0,0.625,0.0,0.625,3.862745098039216,0.0,0.0,0.0,1.5,0.8571428571428571,196.4,12.275
31,Erik Kramer,CHI,QB,31.0,16.0,315.0,522.0,3838.0,10.0,0.0,0.0,0.0,6.0,4.0,3838.0,29.0,522.0,39.0,1.0,35.0,0.0,0.0,251.42,39,1.0,239.875,2.4375,0.0,2.4375,1.8125,0.0625,0.0,0.0625,1.1142857142857143,0.603448275862069,12.184126984126985,7.352490421455939,0.0,0.0,251.42,15.71375
32,Craig Heyward,ATL,RB,29.0,16.0,0.0,0.0,0.0,0.0,46.0,37.0,9.46,3.0,0.0,0.0,0.0,0.0,1083.0,6.0,236.0,350.0,2.0,228.3,1433,8.0,0.0,67.6875,21.875,89.5625,0.0,0.375,0.125,0.5,4.5889830508474585,0.0,0.0,0.0,2.3125,0.8043478260869565,209.8,13.1125
33,Jake Reed,MIN,WR,28.0,16.0,0.0,0.0,0.0,0.0,142.0,72.0,16.21,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1167.0,9.0,240.7,1167,9.0,0.0,0.0,72.9375,72.9375,0.0,0.0,0.5625,0.5625,0.0,0.0,0.0,0.0,4.5,0.5070422535211268,204.7,12.79375
34,Joey Galloway,SEA,WR,24.0,16.0,0.0,0.0,0.0,0.0,133.0,67.0,15.51,1.0,1.0,0.0,0.0,0.0,154.0,1.0,11.0,1039.0,7.0,232.3,1193,8.0,0.0,9.625,64.9375,74.5625,0.0,0.0625,0.4375,0.5,14.0,0.0,0.0,0.0,4.1875,0.5037593984962406,198.8,12.425
35,Terance Mathis,ATL,WR,28.0,14.0,0.0,0.0,0.0,0.0,118.0,78.0,13.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039.0,9.0,235.9,1039,9.0,0.0,0.0,74.21428571428571,74.21428571428571,0.0,0.0,0.6428571428571429,0.6428571428571429,0.0,0.0,0.0,0.0,5.571428571428571,0.6610169491525424,196.9,14.064285714285715
36,Bernie Parmalee,MIA,RB,28.0,16.0,0.0,0.0,0.0,0.0,46.0,39.0,8.85,5.0,4.0,0.0,0.0,0.0,878.0,9.0,236.0,345.0,1.0,213.3,1223,10.0,0.0,54.875,21.5625,76.4375,0.0,0.5625,0.0625,0.625,3.7203389830508473,0.0,0.0,0.0,2.4375,0.8478260869565217,193.8,12.1125
37,Mark Chmura,GNB,TE,26.0,16.0,0.0,0.0,0.0,0.0,75.0,54.0,12.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.0,7.0,163.9,679,7.0,0.0,0.0,42.4375,42.4375,0.0,0.0,0.4375,0.4375,0.0,0.0,0.0,0.0,3.375,0.72,136.9,8.55625
38,Yancey Thigpen,PIT,WR,26.0,16.0,0.0,0.0,0.0,0.0,151.0,85.0,15.38,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1307.0,5.0,243.8,1308,5.0,0.0,0.0625,81.6875,81.75,0.0,0.0,0.3125,0.3125,1.0,0.0,0.0,0.0,5.3125,0.5629139072847682,201.3,12.58125
39,Jeff George,ATL,QB,28.0,16.0,336.0,557.0,4143.0,11.0,0.0,0.0,0.0,6.0,3.0,4143.0,24.0,557.0,17.0,0.0,27.0,0.0,0.0,235.42,17,0.0,258.9375,1.0625,0.0,1.0625,1.5,0.0,0.0,0.0,0.6296296296296297,0.6032315978456014,12.330357142857142,7.438061041292639,0.0,0.0,235.42,14.713749999999996
40,Tony Martin,SDG,WR,30.0,16.0,0.0,1.0,0.0,0.0,165.0,90.0,13.6,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1224.0,6.0,242.4,1224,6.0,0.0,0.0,76.5,76.5,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,5.625,0.5454545454545454,197.4,12.3375
41,Quinn Early,NOR,WR,30.0,16.0,0.0,0.0,0.0,0.0,134.0,81.0,13.42,1.0,0.0,0.0,0.0,0.0,-3.0,0.0,2.0,1087.0,8.0,237.4,1084,8.0,0.0,-0.1875,67.9375,67.75,0.0,0.0,0.5,0.5,-1.5,0.0,0.0,0.0,5.0625,0.6044776119402985,196.9,12.30625
42,Jeff Graham,CHI,WR,26.0,16.0,0.0,0.0,0.0,0.0,138.0,82.0,15.87,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1301.0,4.0,232.1,1301,4.0,0.0,0.0,81.3125,81.3125,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,5.125,0.5942028985507246,191.1,11.94375
43,Jim Everett,NOR,QB,32.0,16.0,345.0,567.0,3970.0,14.0,0.0,0.0,0.0,6.0,4.0,3970.0,26.0,567.0,42.0,0.0,24.0,0.0,0.0,231.0,42,0.0,248.125,2.625,0.0,2.625,1.625,0.0,0.0,0.0,1.75,0.6084656084656085,11.507246376811596,7.001763668430336,0.0,0.0,231.0,14.4375
44,Rashaan Salaam,CHI,RB,21.0,16.0,0.0,0.0,0.0,0.0,13.0,7.0,8.0,9.0,7.0,0.0,0.0,0.0,1074.0,10.0,296.0,56.0,0.0,166.0,1130,10.0,0.0,67.125,3.5,70.625,0.0,0.625,0.0,0.625,3.6283783783783785,0.0,0.0,0.0,0.4375,0.5384615384615384,162.5,10.15625
45,Jay Novacek,DAL,TE,33.0,15.0,0.0,0.0,0.0,0.0,90.0,62.0,11.37,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,705.0,5.0,160.5,705,5.0,0.0,0.0,47.0,47.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,4.133333333333334,0.6888888888888889,129.5,8.633333333333333
