Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Tgt,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Eric Dickerson,RAM,RB,23.0,16.0,0.0,0.0,0.0,0.0,51.0,7.92,13.0,0.0,0.0,0.0,0.0,1808.0,18.0,390.0,404.0,2.0,366.20000000000016,0,2212,20.0,0.0,113.0,25.25,138.25,0.0,1.125,0.125,1.25,4.635897435897436,0.0,0.0,0.0,3.1875,0,366.7000000000001,22.918750000000006
1,William Andrews,ATL,RB,28.0,16.0,0.0,1.0,0.0,0.0,59.0,10.32,6.0,0.0,0.0,0.0,1.0,1567.0,7.0,331.0,609.0,4.0,330.6,0,2176,11.0,0.0,97.9375,38.0625,136.0,0.0,0.4375,0.25,0.6875,4.734138972809668,0.0,0.0,0.0,3.6875,0,313.1,19.56875
2,John Riggins+,WAS,RB,34.0,15.0,0.0,1.0,0.0,0.0,5.0,5.8,5.0,0.0,0.0,0.0,1.0,1347.0,24.0,375.0,29.0,0.0,276.6,0,1376,24.0,0.0,89.8,1.9333333333333331,91.73333333333332,0.0,1.6,0.0,1.6,3.592,0.0,0.0,0.0,0.3333333333333333,0,284.1,18.94
3,Todd Christensen,RAI,TE,27.0,16.0,0.0,0.0,0.0,0.0,92.0,13.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.0,12.0,286.7,0,1247,12.0,0.0,0.0,77.9375,77.9375,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,5.75,0,242.7,15.16875
4,Mike Quick,PHI,WR,24.0,16.0,0.0,0.0,0.0,0.0,69.0,20.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1409.0,13.0,285.9,0,1409,13.0,0.0,0.0,88.0625,88.0625,0.0,0.0,0.8125,0.8125,0.0,0.0,0.0,0.0,4.3125,0,253.4,15.8375
5,Roy Green,STL,WR,26.0,16.0,0.0,0.0,0.0,0.0,78.0,15.73,3.0,0.0,0.0,0.0,0.0,49.0,0.0,4.0,1227.0,14.0,283.6,0,1276,14.0,0.0,3.0625,76.6875,79.75,0.0,0.0,0.875,0.875,12.25,0.0,0.0,0.0,4.875,0,250.6,15.6625
6,Walter Payton,CHI,RB,29.0,16.0,3.0,6.0,95.0,2.0,53.0,11.45,5.0,0.0,95.0,3.0,6.0,1421.0,6.0,314.0,607.0,2.0,305.6,0,2028,8.0,5.9375,88.8125,37.9375,126.75,0.1875,0.375,0.125,0.5,4.525477707006369,0.5,31.66666666666667,15.833333333333336,3.3125,0,289.1,18.06875
7,Curt Warner,SEA,RB,22.0,16.0,0.0,0.0,0.0,0.0,42.0,7.74,6.0,0.0,0.0,0.0,0.0,1449.0,13.0,335.0,325.0,1.0,291.4,0,1774,14.0,0.0,90.5625,20.3125,110.875,0.0,0.8125,0.0625,0.875,4.325373134328358,0.0,0.0,0.0,2.625,0,282.4,17.65
8,Joe Montana,SFO,QB,27.0,16.0,332.0,515.0,3910.0,12.0,0.0,0.0,3.0,0.0,3910.0,26.0,515.0,284.0,2.0,61.0,0.0,0.0,270.79999999999995,0,284,2.0,244.375,17.75,0.0,17.75,1.625,0.125,0.0,0.125,4.6557377049180335,0.6446601941747573,11.77710843373494,7.592233009708737,0.0,0,276.8,17.3
9,Kellen Winslow,SDG,TE,26.0,16.0,0.0,0.0,0.0,0.0,88.0,13.32,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172.0,8.0,247.2,0,1172,8.0,0.0,0.0,73.25,73.25,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,5.5,0,209.2,13.075
10,Joe Theismann,WAS,QB,34.0,16.0,276.0,459.0,3714.0,11.0,0.0,0.0,1.0,0.0,3714.0,29.0,459.0,234.0,1.0,37.0,0.0,0.0,269.96,0,234,1.0,232.125,14.625,0.0,14.625,1.8125,0.0625,0.0,0.0625,6.3243243243243255,0.6013071895424836,13.456521739130435,8.091503267973858,0.0,0,271.96000000000004,16.997500000000002
11,Carlos Carson,KAN,WR,25.0,16.0,1.0,1.0,48.0,0.0,80.0,16.89,2.0,0.0,48.0,1.0,1.0,20.0,0.0,2.0,1351.0,7.0,261.02,0,1371,7.0,3.0,1.25,84.4375,85.6875,0.0625,0.0,0.4375,0.4375,10.0,1.0,48.0,48.0,5.0,0,225.02,14.06375
12,James Lofton,GNB,WR,27.0,16.0,0.0,0.0,0.0,0.0,58.0,22.41,0.0,0.0,0.0,0.0,0.0,36.0,0.0,9.0,1300.0,8.0,239.6,0,1336,8.0,0.0,2.25,81.25,83.5,0.0,0.0,0.5,0.5,4.0,0.0,0.0,0.0,3.625,0,210.6,13.1625
13,Lynn Dickey,GNB,QB,34.0,16.0,289.0,484.0,4458.0,29.0,0.0,0.0,9.0,0.0,4458.0,32.0,484.0,12.0,3.0,21.0,0.0,0.0,249.52,0,12,3.0,278.625,0.75,0.0,0.75,2.0,0.1875,0.0,0.1875,0.5714285714285714,0.5971074380165289,15.425605536332181,9.210743801652892,0.0,0,267.52,16.72
14,Marcus Allen,RAI,RB,23.0,16.0,4.0,7.0,111.0,0.0,68.0,8.68,14.0,0.0,111.0,3.0,7.0,1014.0,9.0,266.0,590.0,2.0,282.8400000000001,0,1604,11.0,6.9375,63.375,36.875,100.25,0.1875,0.5625,0.125,0.6875,3.8120300751879705,0.5714285714285714,27.75,15.857142857142858,4.25,0,276.84000000000003,17.302500000000002
15,Danny White,DAL,QB,31.0,16.0,334.0,533.0,3980.0,23.0,1.0,15.0,10.0,0.0,3980.0,29.0,533.0,31.0,4.0,18.0,15.0,1.0,244.79999999999995,0,46,5.0,248.75,1.9375,0.9375,2.875,1.8125,0.25,0.0625,0.3125,1.7222222222222223,0.6266416510318951,11.916167664670658,7.467166979362101,0.0625,0,264.29999999999995,16.518749999999994
16,Charlie Brown,WAS,WR,25.0,15.0,0.0,0.0,0.0,0.0,78.0,15.71,0.0,0.0,0.0,0.0,0.0,53.0,0.0,4.0,1225.0,8.0,253.8,0,1278,8.0,0.0,3.533333333333333,81.66666666666667,85.2,0.0,0.0,0.5333333333333333,0.5333333333333333,13.25,0.0,0.0,0.0,5.2,0,214.8,14.32
17,Steve Largent,SEA,WR,29.0,15.0,1.0,1.0,11.0,0.0,72.0,14.92,3.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,1074.0,11.0,239.84,0,1074,11.0,0.7333333333333333,0.0,71.6,71.6,0.0,0.0,0.7333333333333333,0.7333333333333333,0.0,1.0,11.0,11.0,4.8,0,209.84,13.989333333333333
18,Bill Kenney,KAN,QB,28.0,16.0,346.0,603.0,4348.0,18.0,1.0,0.0,7.0,0.0,4348.0,24.0,603.0,59.0,3.0,23.0,0.0,0.0,244.82,0,59,3.0,271.75,3.6875,0.0,3.6875,1.5,0.1875,0.0,0.1875,2.565217391304348,0.5737976782752903,12.566473988439304,7.2106135986733,0.0625,0,258.32,16.145
19,Paul Coffman,GNB,TE,27.0,16.0,0.0,0.0,0.0,0.0,54.0,15.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.0,11.0,199.4,0,814,11.0,0.0,0.0,50.875,50.875,0.0,0.0,0.6875,0.6875,0.0,0.0,0.0,0.0,3.375,0,174.4,10.9
