Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Tgt,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Emmitt Smith,DAL,RB,23.0,16.0,0.0,0.0,0.0,0.0,74.0,59.0,5.68,4.0,0.0,0.0,0.0,0.0,1713.0,18.0,373.0,335.0,1.0,369.8,2048,19.0,0.0,107.0625,20.9375,128.0,0.0,1.125,0.0625,1.1875,4.592493297587131,0.0,0.0,0.0,3.6875,0.7972972972972973,348.3,21.76875
1,Thurman Thomas,BUF,RB,26.0,16.0,0.0,0.0,0.0,0.0,87.0,58.0,10.79,6.0,0.0,0.0,0.0,0.0,1487.0,9.0,312.0,626.0,3.0,329.2999999999999,2113,12.0,0.0,92.9375,39.125,132.0625,0.0,0.5625,0.1875,0.75,4.766025641025641,0.0,0.0,0.0,3.625,0.6666666666666666,312.2999999999999,19.51875
2,Barry Foster,PIT,RB,24.0,16.0,0.0,1.0,0.0,0.0,50.0,36.0,9.56,9.0,0.0,0.0,0.0,1.0,1690.0,11.0,390.0,344.0,0.0,287.4,2034,11.0,0.0,105.625,21.5,127.125,0.0,0.6875,0.0,0.6875,4.333333333333333,0.0,0.0,0.0,2.25,0.72,287.4,17.9625
3,Terry Allen,MIN,RB,24.0,16.0,0.0,0.0,0.0,0.0,70.0,49.0,9.76,9.0,0.0,0.0,0.0,0.0,1201.0,13.0,266.0,478.0,2.0,288.9,1679,15.0,0.0,75.0625,29.875,104.9375,0.0,0.8125,0.125,0.9375,4.515037593984962,0.0,0.0,0.0,3.0625,0.7,282.4,17.65
4,Steve Young,SFO,QB,31.0,16.0,268.0,402.0,3465.0,7.0,0.0,0.0,0.0,9.0,0.0,3465.0,25.0,402.0,537.0,4.0,76.0,0.0,0.0,284.3,537,4.0,216.5625,33.5625,0.0,33.5625,1.5625,0.25,0.0,0.25,7.065789473684211,0.6666666666666666,12.92910447761194,8.619402985074627,0.0,0.0,302.3,18.89375
5,Sterling Sharpe,GNB,WR,27.0,16.0,0.0,0.0,0.0,0.0,162.0,108.0,13.53,2.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,1461.0,13.0,328.9000000000001,1469,13.0,0.0,0.5,91.3125,91.8125,0.0,0.0,0.8125,0.8125,2.0,0.0,0.0,0.0,6.75,0.6666666666666666,278.9,17.43125
6,Lorenzo White,HOU,RB,26.0,16.0,0.0,0.0,0.0,0.0,77.0,57.0,11.25,2.0,0.0,0.0,0.0,0.0,1226.0,7.0,265.0,641.0,1.0,287.7,1867,8.0,0.0,76.625,40.0625,116.6875,0.0,0.4375,0.0625,0.5,4.626415094339623,0.0,0.0,0.0,3.5625,0.7402597402597403,263.2,16.45
7,Rodney Hampton,NYG,RB,23.0,16.0,0.0,0.0,0.0,0.0,38.0,28.0,7.68,1.0,0.0,0.0,0.0,0.0,1141.0,14.0,257.0,215.0,0.0,245.6,1356,14.0,0.0,71.3125,13.4375,84.75,0.0,0.875,0.0,0.875,4.4396887159533085,0.0,0.0,0.0,1.75,0.7368421052631579,233.6,14.6
8,Barry Sanders,DET,RB,24.0,16.0,0.0,1.0,0.0,0.0,40.0,29.0,7.76,6.0,0.0,0.0,0.0,1.0,1352.0,9.0,312.0,225.0,1.0,234.7,1577,10.0,0.0,84.5,14.0625,98.5625,0.0,0.5625,0.0625,0.625,4.333333333333333,0.0,0.0,0.0,1.8125,0.725,232.2,14.5125
9,Jerry Rice,SFO,WR,30.0,16.0,0.0,0.0,0.0,0.0,139.0,84.0,14.3,2.0,0.0,0.0,0.0,0.0,58.0,1.0,9.0,1201.0,10.0,271.90000000000003,1259,11.0,0.0,3.625,75.0625,78.6875,0.0,0.0625,0.625,0.6875,6.4444444444444455,0.0,0.0,0.0,5.25,0.60431654676259,233.9,14.61875
10,Ricky Watters,SFO,RB,23.0,14.0,0.0,1.0,0.0,0.0,52.0,43.0,9.42,2.0,0.0,0.0,0.0,1.0,1013.0,9.0,206.0,405.0,2.0,246.8,1418,11.0,0.0,72.35714285714286,28.92857142857143,101.28571428571428,0.0,0.6428571428571429,0.14285714285714285,0.7857142857142857,4.91747572815534,0.0,0.0,0.0,3.071428571428572,0.8269230769230769,229.3,16.37857142857143
11,Cleveland Gary,RAM,RB,26.0,16.0,0.0,0.0,0.0,0.0,55.0,52.0,5.63,9.0,0.0,0.0,0.0,0.0,1125.0,7.0,279.0,293.0,3.0,235.8,1418,10.0,0.0,70.3125,18.3125,88.625,0.0,0.4375,0.1875,0.625,4.032258064516129,0.0,0.0,0.0,3.25,0.9454545454545454,227.8,14.2375
12,Michael Irvin,DAL,WR,26.0,16.0,0.0,0.0,0.0,0.0,122.0,78.0,17.9,1.0,0.0,0.0,0.0,0.0,-9.0,0.0,1.0,1396.0,7.0,256.70000000000005,1387,7.0,0.0,-0.5625,87.25,86.6875,0.0,0.0,0.4375,0.4375,-9.0,0.0,0.0,0.0,4.875,0.639344262295082,219.7,13.73125
13,Andre Rison,ATL,WR,25.0,15.0,0.0,0.0,0.0,0.0,144.0,93.0,12.03,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1119.0,11.0,266.9,1119,11.0,0.0,0.0,74.6,74.6,0.0,0.0,0.7333333333333333,0.7333333333333333,0.0,0.0,0.0,0.0,6.2,0.6458333333333334,224.4,14.96
14,Herschel Walker,PHI,RB,30.0,16.0,0.0,1.0,0.0,0.0,47.0,38.0,7.32,6.0,0.0,0.0,0.0,1.0,1070.0,8.0,267.0,278.0,2.0,220.8,1348,10.0,0.0,66.875,17.375,84.25,0.0,0.5,0.125,0.625,4.0074906367041185,0.0,0.0,0.0,2.375,0.8085106382978723,213.8,13.3625
15,Randall Cunningham,PHI,QB,29.0,15.0,233.0,384.0,2775.0,11.0,1.0,0.0,0.0,13.0,0.0,2775.0,19.0,384.0,549.0,5.0,87.0,0.0,0.0,223.9,549,5.0,185.0,36.6,0.0,36.6,1.2666666666666666,0.3333333333333333,0.0,0.3333333333333333,6.310344827586207,0.6067708333333334,11.909871244635193,7.2265625,0.0,0.0,249.9,16.66
