Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Tgt,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Marshall Faulk,STL,RB,28.0,14.0,0.0,1.0,0.0,0.0,104.0,83.0,9.22,3.0,3.0,0.0,0.0,1.0,1382.0,12.0,260.0,765.0,9.0,417.7,2147,21.0,0.0,98.71428571428572,54.64285714285714,153.35714285714286,0.0,0.8571428571428571,0.6428571428571429,1.5,5.315384615384615,0.0,0.0,0.0,5.928571428571429,0.7980769230769231,376.2,26.87142857142857
1,Priest Holmes,KAN,RB,28.0,16.0,0.0,0.0,0.0,0.0,75.0,62.0,9.9,4.0,3.0,0.0,0.0,0.0,1555.0,8.0,327.0,614.0,2.0,332.9,2169,10.0,0.0,97.1875,38.375,135.5625,0.0,0.5,0.125,0.625,4.755351681957187,0.0,0.0,0.0,3.875,0.8266666666666667,301.9,18.86875
2,Ahman Green,GNB,RB,24.0,16.0,0.0,0.0,0.0,0.0,82.0,62.0,9.58,5.0,4.0,0.0,0.0,0.0,1387.0,9.0,304.0,594.0,2.0,318.1,1981,11.0,0.0,86.6875,37.125,123.8125,0.0,0.5625,0.125,0.6875,4.5625,0.0,0.0,0.0,3.875,0.7560975609756098,287.1,17.94375
3,Shaun Alexander,SEA,RB,24.0,16.0,0.0,0.0,0.0,0.0,59.0,44.0,7.8,4.0,4.0,0.0,0.0,0.0,1318.0,14.0,309.0,343.0,2.0,298.1,1661,16.0,0.0,82.375,21.4375,103.8125,0.0,0.875,0.125,1.0,4.26537216828479,0.0,0.0,0.0,2.75,0.7457627118644068,276.1,17.25625
4,Marvin Harrison,IND,WR,29.0,16.0,0.0,0.0,0.0,0.0,164.0,109.0,13.98,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1524.0,15.0,351.7,1527,15.0,0.0,0.1875,95.25,95.4375,0.0,0.0,0.9375,0.9375,3.0,0.0,0.0,0.0,6.8125,0.6646341463414634,297.2000000000001,18.575000000000006
5,Curtis Martin,NYJ,RB,28.0,16.0,1.0,1.0,18.0,0.0,63.0,53.0,6.04,2.0,2.0,18.0,1.0,1.0,1513.0,10.0,333.0,320.0,0.0,297.02,1833,10.0,1.125,94.5625,20.0,114.5625,0.0625,0.625,0.0,0.625,4.543543543543543,1.0,18.0,18.0,3.3125,0.8412698412698413,270.52,16.9075
6,Terrell Owens,SFO,WR,28.0,16.0,0.0,0.0,0.0,0.0,155.0,93.0,15.18,0.0,0.0,0.0,0.0,0.0,21.0,0.0,4.0,1412.0,16.0,332.3,1433,16.0,0.0,1.3125,88.25,89.5625,0.0,0.0,1.0,1.0,5.25,0.0,0.0,0.0,5.8125,0.6,285.7999999999999,17.862499999999994
7,Corey Dillon,CIN,RB,27.0,16.0,0.0,1.0,0.0,1.0,61.0,34.0,6.71,5.0,3.0,0.0,0.0,1.0,1315.0,10.0,340.0,228.0,3.0,258.3,1543,13.0,0.0,82.1875,14.25,96.4375,0.0,0.625,0.1875,0.8125,3.8676470588235294,0.0,0.0,0.0,2.125,0.5573770491803278,241.3,15.08125
8,Jeff Garcia,SFO,QB,31.0,16.0,316.0,504.0,3538.0,12.0,0.0,0.0,0.0,9.0,3.0,3538.0,32.0,504.0,254.0,5.0,72.0,0.0,0.0,294.92,254,5.0,221.125,15.875,0.0,15.875,2.0,0.3125,0.0,0.3125,3.5277777777777777,0.6269841269841271,11.19620253164557,7.019841269841269,0.0,0.0,294.92,18.4325
9,Kurt Warner,STL,QB,30.0,16.0,375.0,546.0,4830.0,22.0,0.0,0.0,0.0,10.0,4.0,4830.0,36.0,546.0,60.0,0.0,28.0,0.0,0.0,291.2,60,0.0,301.875,3.75,0.0,3.75,2.25,0.0,0.0,0.0,2.142857142857143,0.6868131868131868,12.88,8.846153846153848,0.0,0.0,291.2,18.2
10,LaDainian Tomlinson,SDG,RB,22.0,16.0,0.0,0.0,0.0,0.0,74.0,59.0,6.22,8.0,5.0,0.0,0.0,0.0,1236.0,10.0,339.0,367.0,0.0,269.3,1603,10.0,0.0,77.25,22.9375,100.1875,0.0,0.625,0.0,0.625,3.6460176991150437,0.0,0.0,0.0,3.6875,0.7972972972972973,239.8,14.9875
11,Ricky Williams,NOR,RB,24.0,16.0,0.0,0.0,0.0,0.0,88.0,60.0,8.52,8.0,6.0,0.0,0.0,0.0,1245.0,6.0,313.0,511.0,1.0,265.6,1756,7.0,0.0,77.8125,31.9375,109.75,0.0,0.375,0.0625,0.4375,3.977635782747604,0.0,0.0,0.0,3.75,0.6818181818181818,235.6,14.725
12,David Boston,ARI,WR,23.0,16.0,0.0,0.0,0.0,0.0,175.0,98.0,16.31,1.0,1.0,0.0,0.0,0.0,35.0,0.0,5.0,1598.0,8.0,307.3,1633,8.0,0.0,2.1875,99.875,102.0625,0.0,0.0,0.5,0.5,7.0,0.0,0.0,0.0,6.125,0.56,258.3,16.14375
13,Antowain Smith,NWE,RB,29.0,16.0,0.0,0.0,0.0,0.0,28.0,19.0,10.11,4.0,4.0,0.0,0.0,0.0,1157.0,12.0,287.0,192.0,1.0,223.9,1349,13.0,0.0,72.3125,12.0,84.3125,0.0,0.75,0.0625,0.8125,4.031358885017422,0.0,0.0,0.0,1.1875,0.6785714285714286,214.4,13.4
14,Rod Smith,DEN,WR,31.0,15.0,0.0,0.0,0.0,0.0,172.0,113.0,11.88,1.0,0.0,0.0,0.0,0.0,27.0,0.0,3.0,1343.0,11.0,316.0,1370,11.0,0.0,1.8,89.53333333333332,91.33333333333331,0.0,0.0,0.7333333333333333,0.7333333333333333,9.0,0.0,0.0,0.0,7.533333333333332,0.6569767441860465,259.5,17.3
15,Rich Gannon,OAK,QB,36.0,16.0,361.0,549.0,3828.0,9.0,0.0,0.0,0.0,13.0,7.0,3828.0,27.0,549.0,231.0,2.0,63.0,0.0,0.0,264.22,231,2.0,239.25,14.4375,0.0,14.4375,1.6875,0.125,0.0,0.125,3.6666666666666665,0.6575591985428051,10.60387811634349,6.972677595628415,0.0,0.0,264.22,16.51375
16,Steve McNair,TEN,QB,28.0,15.0,264.0,431.0,3350.0,12.0,0.0,0.0,0.0,5.0,3.0,3350.0,21.0,431.0,414.0,5.0,75.0,0.0,0.0,259.4,414,5.0,223.33333333333331,27.6,0.0,27.6,1.4,0.3333333333333333,0.0,0.3333333333333333,5.52,0.6125290023201856,12.68939393939394,7.77262180974478,0.0,0.0,259.4,17.293333333333333
17,Stephen Davis,WAS,RB,27.0,16.0,0.0,0.0,0.0,0.0,37.0,28.0,7.32,6.0,3.0,0.0,0.0,0.0,1432.0,5.0,356.0,205.0,0.0,215.7,1637,5.0,0.0,89.5,12.8125,102.3125,0.0,0.3125,0.0,0.3125,4.022471910112359,0.0,0.0,0.0,1.75,0.7567567567567568,201.7,12.60625
18,Randy Moss,MIN,WR,24.0,16.0,1.0,1.0,29.0,0.0,154.0,82.0,15.04,0.0,0.0,29.0,0.0,1.0,38.0,0.0,3.0,1233.0,10.0,270.26,1271,10.0,1.8125,2.375,77.0625,79.4375,0.0,0.0,0.625,0.625,12.666666666666664,1.0,29.0,29.0,5.125,0.5324675324675324,229.26,14.32875
19,Brett Favre,GNB,QB,32.0,16.0,314.0,510.0,3921.0,15.0,0.0,0.0,0.0,16.0,6.0,3921.0,32.0,510.0,56.0,1.0,38.0,0.0,0.0,254.44000000000003,56,1.0,245.0625,3.5,0.0,3.5,2.0,0.0625,0.0,0.0625,1.4736842105263157,0.615686274509804,12.487261146496813,7.688235294117647,0.0,0.0,254.44,15.9025
20,Tony Gonzalez,KAN,TE,25.0,16.0,1.0,1.0,40.0,0.0,118.0,73.0,12.56,0.0,0.0,40.0,0.0,1.0,9.0,0.0,1.0,917.0,6.0,203.2,926,6.0,2.5,0.5625,57.3125,57.875,0.0,0.0,0.375,0.375,9.0,1.0,40.0,40.0,4.5625,0.6186440677966102,166.7,10.41875
