Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Tgt,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Chris Johnson,TEN,RB,24.0,16.0,0.0,1.0,0.0,0.0,71.0,50.0,10.06,3.0,3.0,0.0,0.0,1.0,2006.0,14.0,358.0,503.0,2.0,390.9,2509,16.0,0.0,125.375,31.4375,156.8125,0.0,0.875,0.125,1.0,5.6033519553072635,0.0,0.0,0.0,3.125,0.7042253521126759,365.9,22.86875
1,Adrian Peterson,MIN,RB,24.0,16.0,0.0,0.0,0.0,0.0,57.0,43.0,10.14,7.0,6.0,0.0,0.0,0.0,1383.0,18.0,314.0,436.0,0.0,320.9,1819,18.0,0.0,86.4375,27.25,113.6875,0.0,1.125,0.0,1.125,4.404458598726115,0.0,0.0,0.0,2.6875,0.7543859649122807,299.4,18.7125
2,Maurice Jones-Drew,JAX,RB,24.0,16.0,0.0,0.0,0.0,0.0,71.0,53.0,7.06,2.0,1.0,0.0,0.0,0.0,1391.0,15.0,312.0,374.0,1.0,323.5,1765,16.0,0.0,86.9375,23.375,110.3125,0.0,0.9375,0.0625,1.0,4.458333333333333,0.0,0.0,0.0,3.3125,0.7464788732394366,297.0,18.5625
3,Aaron Rodgers,GNB,QB,26.0,16.0,350.0,541.0,4434.0,7.0,0.0,0.0,0.0,10.0,4.0,4434.0,30.0,541.0,316.0,5.0,58.0,0.0,0.0,336.9600000000001,316,5.0,277.125,19.75,0.0,19.75,1.875,0.3125,0.0,0.3125,5.448275862068965,0.6469500924214417,12.668571428571427,8.195933456561923,0.0,0.0,336.9600000000001,21.06
4,Ray Rice,BAL,RB,22.0,16.0,0.0,1.0,0.0,0.0,101.0,78.0,9.0,3.0,2.0,0.0,0.0,1.0,1339.0,7.0,254.0,702.0,1.0,326.1,2041,8.0,0.0,83.6875,43.875,127.5625,0.0,0.4375,0.0625,0.5,5.271653543307087,0.0,0.0,0.0,4.875,0.7722772277227723,287.1,17.94375
5,Andre Johnson,HOU,WR,28.0,16.0,0.0,0.0,0.0,0.0,171.0,101.0,15.53,1.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,1569.0,9.0,312.9,1579,9.0,0.0,0.625,98.0625,98.6875,0.0,0.0,0.5625,0.5625,5.0,0.0,0.0,0.0,6.3125,0.5906432748538012,262.4,16.4
6,Randy Moss,NWE,WR,32.0,16.0,0.0,0.0,0.0,0.0,137.0,83.0,15.23,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.0,13.0,285.4,1264,13.0,0.0,0.0,79.0,79.0,0.0,0.0,0.8125,0.8125,0.0,0.0,0.0,0.0,5.1875,0.6058394160583942,243.9,15.24375
7,Frank Gore,SFO,RB,26.0,14.0,0.0,0.0,0.0,0.0,75.0,52.0,7.81,4.0,2.0,0.0,0.0,0.0,1120.0,10.0,229.0,406.0,3.0,278.6,1526,13.0,0.0,80.0,29.0,109.0,0.0,0.7142857142857143,0.21428571428571427,0.9285714285714286,4.890829694323143,0.0,0.0,0.0,3.7142857142857135,0.6933333333333334,252.6,18.042857142857144
8,Thomas Jones,NYJ,RB,31.0,16.0,0.0,0.0,0.0,0.0,18.0,10.0,5.8,2.0,0.0,0.0,0.0,0.0,1402.0,14.0,331.0,58.0,0.0,240.0,1460,14.0,0.0,87.625,3.625,91.25,0.0,0.875,0.0,0.875,4.235649546827794,0.0,0.0,0.0,0.625,0.5555555555555556,235.0,14.6875
9,Miles Austin,DAL,WR,25.0,16.0,0.0,0.0,0.0,0.0,124.0,81.0,16.3,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,1320.0,11.0,278.8,1318,11.0,0.0,-0.125,82.5,82.375,0.0,0.0,0.6875,0.6875,-1.0,0.0,0.0,0.0,5.0625,0.6532258064516129,238.3,14.89375
10,Vernon Davis,SFO,TE,25.0,16.0,0.0,0.0,0.0,0.0,128.0,78.0,12.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.0,13.0,252.5,965,13.0,0.0,0.0,60.3125,60.3125,0.0,0.0,0.8125,0.8125,0.0,0.0,0.0,0.0,4.875,0.609375,213.5,13.34375
11,DeSean Jackson,PHI,WR,23.0,15.0,0.0,0.0,0.0,0.0,117.0,62.0,18.65,3.0,1.0,0.0,0.0,0.0,137.0,1.0,11.0,1156.0,9.0,249.3,1293,10.0,0.0,9.133333333333333,77.06666666666666,86.2,0.0,0.06666666666666668,0.6,0.6666666666666666,12.454545454545455,0.0,0.0,0.0,4.133333333333334,0.5299145299145299,218.3,14.553333333333333
