Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Tgt,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Ron Johnson,NYG,RB,23.0,14.0,0.0,0.0,0.0,0.0,48.0,10.15,5.0,0.0,0.0,0.0,0.0,1027.0,8.0,263.0,487.0,4.0,261.4,0,1514,12.0,0.0,73.35714285714286,34.785714285714285,108.14285714285714,0.0,0.5714285714285714,0.2857142857142857,0.8571428571428571,3.904942965779468,0.0,0.0,0.0,3.4285714285714284,0,247.4,17.67142857142857
1,Dick Gordon,CHI,WR,26.0,14.0,0.0,0.0,0.0,0.0,71.0,14.45,2.0,0.0,0.0,0.0,0.0,17.0,0.0,4.0,1026.0,13.0,249.3,0,1043,13.0,0.0,1.2142857142857142,73.28571428571429,74.5,0.0,0.0,0.9285714285714286,0.9285714285714286,4.25,0.0,0.0,0.0,5.071428571428571,0,217.8,15.557142857142859
2,Gene Washington,SFO,WR,23.0,13.0,0.0,0.0,0.0,0.0,53.0,20.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,12.0,235.0,0,1100,12.0,0.0,0.0,84.61538461538461,84.61538461538461,0.0,0.0,0.9230769230769232,0.9230769230769232,0.0,0.0,0.0,0.0,4.076923076923077,0,208.5,16.03846153846154
3,Gary Garrison,SDG,WR,26.0,14.0,0.0,0.0,0.0,0.0,44.0,22.86,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,1006.0,12.0,217.3,0,1013,12.0,0.0,0.5,71.85714285714286,72.35714285714286,0.0,0.0,0.8571428571428571,0.8571428571428571,1.75,0.0,0.0,0.0,3.1428571428571432,0,195.3,13.95
4,MacArthur Lane,STL,RB,28.0,14.0,0.0,0.0,0.0,0.0,32.0,11.41,2.0,0.0,0.0,0.0,0.0,977.0,11.0,206.0,365.0,2.0,240.2,0,1342,13.0,0.0,69.78571428571429,26.07142857142857,95.85714285714286,0.0,0.7857142857142857,0.14285714285714285,0.9285714285714286,4.742718446601941,0.0,0.0,0.0,2.2857142857142856,0,228.2,16.3
5,Warren Wells,OAK,WR,28.0,14.0,0.0,0.0,0.0,0.0,43.0,21.74,0.0,0.0,0.0,0.0,0.0,34.0,0.0,3.0,935.0,11.0,205.9,0,969,11.0,0.0,2.4285714285714284,66.78571428571429,69.21428571428571,0.0,0.0,0.7857142857142857,0.7857142857142857,11.333333333333336,0.0,0.0,0.0,3.071428571428572,0,184.4,13.171428571428573
6,Bob Hayes,DAL,WR,28.0,13.0,0.0,0.0,0.0,0.0,34.0,26.15,5.0,0.0,0.0,0.0,0.0,34.0,1.0,4.0,889.0,10.0,182.3,0,923,11.0,0.0,2.6153846153846154,68.38461538461539,71.0,0.0,0.07692307692307693,0.7692307692307693,0.8461538461538461,8.5,0.0,0.0,0.0,2.6153846153846154,0,175.3,13.484615384615385
7,Marlin Briscoe,BUF,WR,25.0,14.0,0.0,0.0,0.0,0.0,57.0,18.18,3.0,0.0,0.0,0.0,0.0,19.0,0.0,3.0,1036.0,8.0,204.5,0,1055,8.0,0.0,1.3571428571428572,74.0,75.35714285714286,0.0,0.0,0.5714285714285714,0.5714285714285714,6.333333333333332,0.0,0.0,0.0,4.071428571428571,0,182.0,13.0
8,John Brodie,SFO,QB,35.0,14.0,223.0,378.0,2941.0,10.0,0.0,0.0,1.0,0.0,2941.0,24.0,378.0,29.0,2.0,9.0,0.0,0.0,206.54,0,29,2.0,210.07142857142856,2.071428571428572,0.0,2.071428571428572,1.7142857142857142,0.14285714285714285,0.0,0.14285714285714285,3.2222222222222223,0.58994708994709,13.188340807174887,7.78042328042328,0.0,0,208.54,14.895714285714288
9,Larry Brown,WAS,RB,23.0,13.0,0.0,0.0,0.0,0.0,37.0,9.22,6.0,0.0,0.0,0.0,0.0,1125.0,5.0,237.0,341.0,2.0,213.6,0,1466,7.0,0.0,86.53846153846153,26.23076923076923,112.76923076923076,0.0,0.38461538461538464,0.15384615384615385,0.5384615384615384,4.746835443037975,0.0,0.0,0.0,2.8461538461538463,0,207.1,15.930769230769231
10,Fran Tarkenton,NYG,QB,30.0,14.0,219.0,389.0,2777.0,12.0,0.0,0.0,3.0,0.0,2777.0,19.0,389.0,236.0,2.0,43.0,0.0,0.0,192.68,0,236,2.0,198.35714285714286,16.857142857142858,0.0,16.857142857142858,1.3571428571428572,0.14285714285714285,0.0,0.14285714285714285,5.488372093023256,0.5629820051413882,12.680365296803654,7.138817480719794,0.0,0,198.68,14.191428571428574
11,John Gilliam,STL,WR,25.0,14.0,0.0,0.0,0.0,0.0,45.0,21.16,3.0,0.0,0.0,0.0,0.0,68.0,1.0,5.0,952.0,5.0,177.0,0,1020,6.0,0.0,4.857142857142857,68.0,72.85714285714286,0.0,0.07142857142857142,0.35714285714285715,0.42857142857142855,13.6,0.0,0.0,0.0,3.2142857142857144,0,160.5,11.464285714285715
12,Jack Snow,RAM,WR,27.0,14.0,0.0,0.0,0.0,0.0,51.0,16.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.0,7.0,178.9,0,859,7.0,0.0,0.0,61.35714285714285,61.35714285714285,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,3.6428571428571432,0,153.4,10.957142857142856
13,Ken Willard,SFO,RB,27.0,14.0,0.0,0.0,0.0,0.0,31.0,8.35,3.0,0.0,0.0,0.0,0.0,789.0,7.0,236.0,259.0,3.0,189.8,0,1048,10.0,0.0,56.35714285714285,18.5,74.85714285714286,0.0,0.5,0.21428571428571427,0.7142857142857143,3.343220338983051,0.0,0.0,0.0,2.2142857142857144,0,180.3,12.87857142857143
14,Bo Scott,CLE,RB,27.0,13.0,0.0,0.0,0.0,0.0,40.0,8.78,4.0,0.0,0.0,0.0,0.0,625.0,7.0,151.0,351.0,4.0,195.6,0,976,11.0,0.0,48.07692307692307,27.0,75.07692307692308,0.0,0.5384615384615384,0.3076923076923077,0.8461538461538461,4.139072847682119,0.0,0.0,0.0,3.0769230769230766,0,183.6,14.123076923076924
15,John Hadl,SDG,QB,30.0,14.0,162.0,327.0,2388.0,15.0,0.0,0.0,3.0,0.0,2388.0,22.0,327.0,188.0,1.0,28.0,0.0,0.0,172.32,0,188,1.0,170.57142857142858,13.428571428571427,0.0,13.428571428571427,1.5714285714285714,0.07142857142857142,0.0,0.07142857142857142,6.7142857142857135,0.4954128440366973,14.74074074074074,7.302752293577981,0.0,0,178.32,12.737142857142857
16,Roy Jefferson,BAL,WR,27.0,14.0,0.0,0.0,0.0,0.0,44.0,17.02,1.0,0.0,0.0,0.0,0.0,47.0,0.0,4.0,749.0,7.0,163.6,0,796,7.0,0.0,3.3571428571428568,53.5,56.85714285714285,0.0,0.0,0.5,0.5,11.75,0.0,0.0,0.0,3.1428571428571432,0,143.60000000000005,10.257142857142858
17,Danny Abramowicz,NOR,WR,25.0,14.0,0.0,0.0,0.0,0.0,55.0,16.47,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,906.0,5.0,172.29999999999995,0,913,5.0,0.0,0.5,64.71428571428571,65.21428571428571,0.0,0.0,0.35714285714285715,0.35714285714285715,7.0,0.0,0.0,0.0,3.928571428571429,0,148.8,10.62857142857143
18,Eddie Hinton,BAL,WR,23.0,13.0,0.0,0.0,0.0,0.0,47.0,15.6,0.0,0.0,0.0,0.0,0.0,58.0,2.0,5.0,733.0,5.0,168.10000000000005,0,791,7.0,0.0,4.461538461538462,56.384615384615394,60.846153846153854,0.0,0.15384615384615385,0.38461538461538464,0.5384615384615384,11.6,0.0,0.0,0.0,3.615384615384616,0,144.6,11.123076923076923
19,Sonny Jurgensen,WAS,QB,36.0,14.0,202.0,337.0,2354.0,10.0,0.0,0.0,4.0,0.0,2354.0,23.0,337.0,39.0,1.0,6.0,0.0,0.0,168.06,0,39,1.0,168.14285714285714,2.7857142857142856,0.0,2.7857142857142856,1.6428571428571428,0.07142857142857142,0.0,0.07142857142857142,6.5,0.599406528189911,11.653465346534656,6.985163204747773,0.0,0,176.06,12.575714285714286
20,Mel Farr,DET,RB,26.0,12.0,0.0,0.0,0.0,0.0,29.0,7.34,5.0,0.0,0.0,0.0,0.0,717.0,9.0,166.0,213.0,2.0,178.0,0,930,11.0,0.0,59.75,17.75,77.5,0.0,0.75,0.16666666666666666,0.9166666666666666,4.3192771084337345,0.0,0.0,0.0,2.4166666666666665,0,173.5,14.458333333333336
21,Fred Biletnikoff,OAK,WR,27.0,14.0,0.0,0.0,0.0,0.0,45.0,17.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,7.0,163.8,0,768,7.0,0.0,0.0,54.85714285714285,54.85714285714285,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,3.2142857142857144,0,141.3,10.092857142857145
22,Jerry Smith,WAS,TE,27.0,14.0,0.0,0.0,0.0,0.0,43.0,13.37,0.0,0.0,0.0,0.0,0.0,29.0,0.0,2.0,575.0,9.0,157.4,0,604,9.0,0.0,2.071428571428572,41.07142857142857,43.14285714285715,0.0,0.0,0.6428571428571429,0.6428571428571429,14.5,0.0,0.0,0.0,3.071428571428572,0,135.9,9.707142857142856
