Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Tgt,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Billy Sims,DET,RB,26.0,14.0,0.0,0.0,0.0,0.0,28.0,16.11,9.0,0.0,0.0,0.0,0.0,1437.0,13.0,296.0,451.0,2.0,288.7999999999999,0,1888,15.0,0.0,102.64285714285714,32.214285714285715,134.85714285714286,0.0,0.9285714285714286,0.14285714285714285,1.0714285714285714,4.854729729729731,0.0,0.0,0.0,2.0,0,292.7999999999999,20.91428571428571
1,William Andrews,ATL,RB,26.0,16.0,0.0,0.0,0.0,0.0,81.0,9.07,12.0,0.0,0.0,0.0,0.0,1301.0,10.0,289.0,735.0,2.0,332.6,0,2036,12.0,0.0,81.3125,45.9375,127.25,0.0,0.625,0.125,0.75,4.501730103806229,0.0,0.0,0.0,5.0625,0,316.1,19.75625
2,Chuck Muncie,SDG,RB,28.0,15.0,1.0,1.0,3.0,0.0,43.0,8.42,9.0,0.0,3.0,1.0,1.0,1144.0,19.0,251.0,362.0,0.0,293.72,0,1506,19.0,0.2,76.26666666666667,24.13333333333333,100.4,0.06666666666666668,1.2666666666666666,0.0,1.2666666666666666,4.557768924302789,1.0,3.0,3.0,2.8666666666666667,0,290.22,19.348000000000006
3,Alfred Jenkins,ATL,WR,29.0,16.0,0.0,0.0,0.0,0.0,70.0,19.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1358.0,13.0,277.8,0,1358,13.0,0.0,0.0,84.875,84.875,0.0,0.0,0.8125,0.8125,0.0,0.0,0.0,0.0,4.375,0,248.8,15.55
4,George Rogers,NOR,RB,23.0,16.0,0.0,0.0,0.0,0.0,16.0,7.88,13.0,0.0,0.0,0.0,0.0,1674.0,13.0,378.0,126.0,0.0,248.0,0,1800,13.0,0.0,104.625,7.875,112.5,0.0,0.8125,0.0,0.8125,4.428571428571429,0.0,0.0,0.0,1.0,0,266.0,16.625
5,Wendell Tyler,RAM,RB,26.0,15.0,0.0,0.0,0.0,0.0,45.0,9.69,11.0,0.0,0.0,0.0,0.0,1074.0,12.0,260.0,436.0,5.0,276.0,0,1510,17.0,0.0,71.6,29.066666666666666,100.66666666666669,0.0,0.8,0.3333333333333333,1.1333333333333333,4.130769230769231,0.0,0.0,0.0,3.0,0,275.5,18.366666666666667
6,Wilbert Montgomery,PHI,RB,27.0,15.0,0.0,0.0,0.0,0.0,49.0,10.63,6.0,0.0,0.0,0.0,0.0,1402.0,8.0,286.0,521.0,2.0,289.2999999999999,0,1923,10.0,0.0,93.46666666666668,34.73333333333333,128.2,0.0,0.5333333333333333,0.13333333333333333,0.6666666666666666,4.902097902097903,0.0,0.0,0.0,3.2666666666666666,0,276.79999999999995,18.453333333333326
7,Steve Watson,DEN,WR,24.0,16.0,0.0,0.0,0.0,0.0,60.0,20.73,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1244.0,13.0,263.0,0,1250,13.0,0.0,0.375,77.75,78.125,0.0,0.0,0.8125,0.8125,3.0,0.0,0.0,0.0,3.75,0,233.0,14.5625
8,Dan Fouts,SDG,QB,30.0,16.0,360.0,609.0,4802.0,17.0,0.0,0.0,9.0,0.0,4802.0,33.0,609.0,56.0,0.0,22.0,0.0,0.0,277.68000000000006,0,56,0.0,300.125,3.5,0.0,3.5,2.0625,0.0,0.0,0.0,2.5454545454545454,0.5911330049261084,13.338888888888887,7.885057471264367,0.0,0,295.68,18.48
9,Kellen Winslow,SDG,TE,24.0,16.0,0.0,2.0,0.0,0.0,88.0,12.22,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1075.0,10.0,251.5,0,1075,10.0,0.0,0.0,67.1875,67.1875,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,5.5,0,211.5,13.21875
10,Steve Largent,SEA,WR,27.0,16.0,0.0,1.0,0.0,0.0,75.0,16.32,2.0,0.0,0.0,0.0,1.0,47.0,1.0,6.0,1224.0,9.0,258.1,0,1271,10.0,0.0,2.9375,76.5,79.4375,0.0,0.0625,0.5625,0.625,7.833333333333332,0.0,0.0,0.0,4.6875,0,224.6,14.0375
11,Ken Anderson,CIN,QB,32.0,16.0,300.0,479.0,3754.0,10.0,0.0,0.0,5.0,0.0,3754.0,29.0,479.0,320.0,1.0,46.0,0.0,0.0,274.16,0,320,1.0,234.625,20.0,0.0,20.0,1.8125,0.0625,0.0,0.0625,6.956521739130435,0.6263048016701461,12.513333333333335,7.837160751565762,0.0,0,284.16,17.759999999999994
12,Pete Johnson,CIN,RB,27.0,16.0,0.0,0.0,0.0,0.0,46.0,6.96,4.0,0.0,0.0,0.0,0.0,1077.0,12.0,274.0,320.0,4.0,273.7,0,1397,16.0,0.0,67.3125,20.0,87.3125,0.0,0.75,0.25,1.0,3.93065693430657,0.0,0.0,0.0,2.875,0,258.7,16.16875
13,Joe Cribbs,BUF,RB,23.0,15.0,1.0,1.0,9.0,0.0,40.0,15.08,12.0,0.0,9.0,1.0,1.0,1097.0,3.0,257.0,603.0,7.0,250.36,0,1700,10.0,0.6,73.13333333333334,40.2,113.33333333333331,0.06666666666666668,0.2,0.4666666666666667,0.6666666666666666,4.2684824902723735,1.0,9.0,9.0,2.6666666666666665,0,254.36,16.957333333333334
14,Tony Dorsett,DAL,RB,27.0,16.0,0.0,0.0,0.0,0.0,32.0,10.16,10.0,0.0,0.0,0.0,0.0,1646.0,4.0,342.0,325.0,2.0,245.1,0,1971,6.0,0.0,102.875,20.3125,123.1875,0.0,0.25,0.125,0.375,4.812865497076023,0.0,0.0,0.0,2.0,0,249.1,15.56875
15,Ottis Anderson,STL,RB,24.0,16.0,0.0,0.0,0.0,0.0,51.0,7.59,13.0,0.0,0.0,0.0,0.0,1376.0,9.0,328.0,387.0,0.0,255.3,0,1763,9.0,0.0,86.0,24.1875,110.1875,0.0,0.5625,0.0,0.5625,4.1951219512195115,0.0,0.0,0.0,3.1875,0,255.8,15.9875
16,James Lofton,GNB,WR,25.0,16.0,0.0,0.0,0.0,0.0,71.0,18.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1294.0,8.0,248.4,0,1294,8.0,0.0,0.0,80.875,80.875,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,4.4375,0,212.9,13.30625
17,Ted Brown,MIN,RB,24.0,16.0,0.0,1.0,0.0,1.0,83.0,8.36,3.0,0.0,0.0,0.0,1.0,1063.0,6.0,274.0,694.0,2.0,298.7,0,1757,8.0,0.0,66.4375,43.375,109.8125,0.0,0.375,0.125,0.5,3.879562043795621,0.0,0.0,0.0,5.1875,0,263.2,16.45
18,Kevin House,TAM,WR,24.0,16.0,0.0,1.0,0.0,0.0,56.0,21.0,2.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,1176.0,9.0,224.5,0,1185,9.0,0.0,0.5625,73.5,74.0625,0.0,0.0,0.5625,0.5625,4.5,0.0,0.0,0.0,3.5,0,200.5,12.53125
19,Joe Senser,MIN,TE,25.0,16.0,0.0,0.0,0.0,0.0,79.0,12.71,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1004.0,8.0,221.6,0,1006,8.0,0.0,0.125,62.75,62.875,0.0,0.0,0.5,0.5,2.0,0.0,0.0,0.0,4.9375,0,188.1,11.75625
20,Earl Campbell,HOU,RB,26.0,16.0,0.0,0.0,0.0,0.0,36.0,4.33,10.0,0.0,0.0,0.0,0.0,1376.0,10.0,361.0,156.0,0.0,229.2,0,1532,10.0,0.0,86.0,9.75,95.75,0.0,0.625,0.0,0.625,3.8116343490304714,0.0,0.0,0.0,2.25,0,231.2,14.45
21,Charlie Joiner,SDG,WR,34.0,16.0,0.0,0.0,0.0,0.0,70.0,16.97,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.0,7.0,226.8,0,1188,7.0,0.0,0.0,74.25,74.25,0.0,0.0,0.4375,0.4375,0.0,0.0,0.0,0.0,4.375,0,195.8,12.2375
22,Ozzie Newsome,CLE,TE,25.0,16.0,0.0,0.0,0.0,0.0,69.0,14.52,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,1002.0,6.0,207.2,0,1022,6.0,0.0,1.25,62.625,63.875,0.0,0.0,0.375,0.375,10.0,0.0,0.0,0.0,4.3125,0,172.7,10.79375
23,Walter Payton,CHI,RB,27.0,16.0,0.0,2.0,0.0,0.0,41.0,9.24,9.0,0.0,0.0,0.0,2.0,1222.0,6.0,339.0,379.0,2.0,231.1,0,1601,8.0,0.0,76.375,23.6875,100.0625,0.0,0.375,0.125,0.5,3.6047197640118,0.0,0.0,0.0,2.5625,0,228.6,14.2875
24,Mike Pruitt,CLE,RB,27.0,16.0,0.0,0.0,0.0,0.0,63.0,7.02,5.0,0.0,0.0,0.0,0.0,1103.0,7.0,247.0,442.0,1.0,255.5,0,1545,8.0,0.0,68.9375,27.625,96.5625,0.0,0.4375,0.0625,0.5,4.465587044534413,0.0,0.0,0.0,3.9375,0,234.0,14.625
25,Freddie Solomon,SFO,WR,28.0,15.0,1.0,1.0,25.0,0.0,59.0,16.42,3.0,0.0,25.0,0.0,1.0,43.0,0.0,9.0,969.0,8.0,203.2,0,1012,8.0,1.6666666666666667,2.8666666666666667,64.6,67.46666666666667,0.0,0.0,0.5333333333333333,0.5333333333333333,4.777777777777779,1.0,25.0,25.0,3.933333333333333,0,179.7,11.98
26,Wes Chandler,2TM,WR,25.0,16.0,0.0,2.0,0.0,0.0,69.0,16.55,1.0,0.0,0.0,0.0,2.0,-1.0,0.0,5.0,1142.0,6.0,217.1,0,1141,6.0,0.0,-0.0625,71.375,71.3125,0.0,0.0,0.375,0.375,-0.2,0.0,0.0,0.0,4.3125,0,184.6,11.5375
27,Cris Collinsworth,CIN,WR,22.0,16.0,0.0,0.0,0.0,0.0,67.0,15.06,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,8.0,209.9,0,1009,8.0,0.0,0.0,63.0625,63.0625,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,4.1875,0,182.4,11.4
28,Frank Lewis,BUF,WR,34.0,16.0,0.0,0.0,0.0,0.0,70.0,17.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244.0,4.0,216.4,0,1244,4.0,0.0,0.0,77.75,77.75,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,4.375,0,183.4,11.4625
29,Dan Ross,CIN,TE,24.0,16.0,0.0,0.0,0.0,0.0,71.0,12.82,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.0,5.0,186.0,0,910,5.0,0.0,0.0,56.875,56.875,0.0,0.0,0.3125,0.3125,0.0,0.0,0.0,0.0,4.4375,0,156.5,9.78125
30,Joe Washington,WAS,RB,28.0,14.0,1.0,2.0,32.0,0.0,70.0,7.97,8.0,0.0,32.0,0.0,2.0,916.0,4.0,210.0,558.0,3.0,244.67999999999995,0,1474,7.0,2.2857142857142856,65.42857142857143,39.857142857142854,105.28571428571428,0.0,0.2857142857142857,0.21428571428571427,0.5,4.3619047619047615,0.5,32.0,16.0,5.0,0,225.68,16.12
31,John Stallworth,PIT,WR,29.0,16.0,0.0,0.0,0.0,0.0,63.0,17.43,4.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,1098.0,5.0,196.5,0,1115,5.0,0.0,1.0625,68.625,69.6875,0.0,0.0,0.3125,0.3125,17.0,0.0,0.0,0.0,3.9375,0,173.0,10.8125
