Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Tgt,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Jerry Rice,SFO,WR,31.0,16.0,0.0,0.0,0.0,0.0,153.0,98.0,15.34,3.0,0.0,0.0,0.0,0.0,69.0,1.0,3.0,1503.0,15.0,345.2,1572,16.0,0.0,4.3125,93.9375,98.25,0.0,0.0625,0.9375,1.0,23.0,0.0,0.0,0.0,6.125,0.6405228758169934,302.2000000000001,18.887500000000006
1,Emmitt Smith,DAL,RB,24.0,14.0,0.0,0.0,0.0,0.0,65.0,57.0,7.26,4.0,0.0,0.0,0.0,0.0,1486.0,9.0,283.0,414.0,1.0,299.0,1900,10.0,0.0,106.14285714285714,29.57142857142857,135.71428571428572,0.0,0.6428571428571429,0.07142857142857142,0.7142857142857143,5.250883392226148,0.0,0.0,0.0,4.071428571428571,0.8769230769230769,278.5,19.892857142857142
2,Steve Young,SFO,QB,32.0,16.0,314.0,462.0,4023.0,16.0,2.0,2.0,1.0,8.0,0.0,4023.0,29.0,462.0,407.0,2.0,69.0,2.0,0.0,283.81999999999994,409,2.0,251.4375,25.4375,0.125,25.5625,1.8125,0.125,0.0,0.125,5.8985507246376825,0.6796536796536796,12.812101910828025,8.707792207792208,0.125,1.0,298.82,18.67625
3,Andre Rison,ATL,WR,26.0,16.0,0.0,0.0,0.0,0.0,165.0,86.0,14.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1242.0,15.0,296.2,1242,15.0,0.0,0.0,77.625,77.625,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,5.375,0.5212121212121212,257.2,16.075
4,Shannon Sharpe,DEN,TE,25.0,16.0,0.0,0.0,0.0,0.0,110.0,81.0,12.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.0,9.0,232.5,995,9.0,0.0,0.0,62.1875,62.1875,0.0,0.0,0.5625,0.5625,0.0,0.0,0.0,0.0,5.0625,0.7363636363636363,194.0,12.125
5,Jerome Bettis,RAM,RB,21.0,16.0,0.0,0.0,0.0,0.0,34.0,26.0,9.38,4.0,0.0,0.0,0.0,0.0,1429.0,7.0,294.0,244.0,0.0,227.3,1673,7.0,0.0,89.3125,15.25,104.5625,0.0,0.4375,0.0,0.4375,4.8605442176870755,0.0,0.0,0.0,1.625,0.7647058823529411,222.3,13.89375
6,Thurman Thomas,BUF,RB,27.0,16.0,0.0,1.0,0.0,0.0,71.0,48.0,8.06,6.0,0.0,0.0,0.0,1.0,1315.0,6.0,355.0,387.0,0.0,242.2,1702,6.0,0.0,82.1875,24.1875,106.375,0.0,0.375,0.0,0.375,3.7042253521126765,0.0,0.0,0.0,3.0,0.676056338028169,230.2,14.3875
7,Sterling Sharpe,GNB,WR,28.0,16.0,1.0,1.0,1.0,0.0,189.0,112.0,11.38,1.0,0.0,1.0,0.0,1.0,8.0,0.0,4.0,1274.0,11.0,304.24,1282,11.0,0.0625,0.5,79.625,80.125,0.0,0.0,0.6875,0.6875,2.0,1.0,1.0,1.0,7.0,0.5925925925925926,250.24,15.64
8,John Elway,DEN,QB,33.0,16.0,348.0,551.0,4030.0,10.0,0.0,0.0,0.0,8.0,0.0,4030.0,25.0,551.0,153.0,0.0,44.0,0.0,0.0,240.5,153,0.0,251.875,9.5625,0.0,9.5625,1.5625,0.0,0.0,0.0,3.477272727272727,0.631578947368421,11.580459770114944,7.313974591651544,0.0,0.0,256.5,16.03125
9,Ricky Watters,SFO,RB,24.0,13.0,0.0,0.0,0.0,0.0,45.0,31.0,10.52,5.0,0.0,0.0,0.0,0.0,950.0,10.0,208.0,326.0,1.0,214.6,1276,11.0,0.0,73.07692307692308,25.07692307692308,98.15384615384615,0.0,0.7692307692307693,0.07692307692307693,0.8461538461538461,4.5673076923076925,0.0,0.0,0.0,2.3846153846153846,0.6888888888888889,209.1,16.084615384615386
10,Marcus Allen,KAN,RB,33.0,16.0,0.0,0.0,0.0,0.0,46.0,34.0,7.0,4.0,0.0,0.0,0.0,0.0,764.0,12.0,206.0,238.0,3.0,216.2,1002,15.0,0.0,47.75,14.875,62.625,0.0,0.75,0.1875,0.9375,3.70873786407767,0.0,0.0,0.0,2.125,0.7391304347826086,207.2,12.95
11,Michael Irvin,DAL,WR,27.0,16.0,0.0,0.0,0.0,0.0,143.0,88.0,15.11,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1330.0,7.0,263.6,1336,7.0,0.0,0.375,83.125,83.5,0.0,0.0,0.4375,0.4375,3.0,0.0,0.0,0.0,5.5,0.6153846153846154,219.6,13.725
12,Eric Green,PIT,TE,26.0,16.0,0.0,0.0,0.0,0.0,113.0,63.0,14.95,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.0,5.0,181.2,942,5.0,0.0,0.0,58.875,58.875,0.0,0.0,0.3125,0.3125,0.0,0.0,0.0,0.0,3.9375,0.5575221238938053,155.7,9.73125
13,Leonard Russell,NWE,RB,24.0,16.0,0.0,0.0,0.0,0.0,37.0,26.0,9.42,4.0,0.0,0.0,0.0,0.0,1088.0,7.0,300.0,245.0,0.0,193.3,1333,7.0,0.0,68.0,15.3125,83.3125,0.0,0.4375,0.0,0.4375,3.6266666666666665,0.0,0.0,0.0,1.625,0.7027027027027027,188.3,11.76875
14,Gary Brown,HOU,RB,24.0,16.0,0.0,0.0,0.0,0.0,30.0,21.0,11.43,4.0,0.0,0.0,0.0,0.0,1002.0,6.0,195.0,240.0,2.0,185.2,1242,8.0,0.0,62.625,15.0,77.625,0.0,0.375,0.125,0.5,5.138461538461539,0.0,0.0,0.0,1.3125,0.7,182.7,11.41875
