Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Tgt,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Eric Dickerson,IND,RB,28.0,16.0,0.0,0.0,0.0,0.0,36.0,10.47,5.0,0.0,0.0,0.0,0.0,1659.0,14.0,388.0,377.0,1.0,319.6,0,2036,15.0,0.0,103.6875,23.5625,127.25,0.0,0.875,0.0625,0.9375,4.275773195876289,0.0,0.0,0.0,2.25,0,311.6,19.475
1,Randall Cunningham,PHI,QB,25.0,16.0,301.0,560.0,3808.0,16.0,0.0,0.0,12.0,0.0,3808.0,24.0,560.0,624.0,6.0,93.0,0.0,0.0,290.72,0,624,6.0,238.0,39.0,0.0,39.0,1.5,0.375,0.0,0.375,6.709677419354839,0.5375,12.651162790697676,6.8,0.0,0,314.72,19.67
2,Roger Craig,SFO,RB,28.0,16.0,0.0,0.0,0.0,0.0,76.0,7.03,8.0,0.0,0.0,0.0,0.0,1502.0,9.0,310.0,534.0,1.0,323.6,0,2036,10.0,0.0,93.875,33.375,127.25,0.0,0.5625,0.0625,0.625,4.84516129032258,0.0,0.0,0.0,4.75,0,301.6,18.85
3,Herschel Walker,DAL,RB,26.0,16.0,0.0,0.0,0.0,0.0,53.0,9.53,6.0,0.0,0.0,0.0,0.0,1514.0,5.0,361.0,505.0,2.0,284.9,0,2019,7.0,0.0,94.625,31.5625,126.1875,0.0,0.3125,0.125,0.4375,4.1939058171745165,0.0,0.0,0.0,3.3125,0,270.4,16.9
4,Greg Bell,RAM,RB,26.0,16.0,0.0,0.0,0.0,0.0,24.0,5.17,6.0,0.0,0.0,0.0,0.0,1212.0,16.0,288.0,124.0,2.0,253.6,0,1336,18.0,0.0,75.75,7.75,83.5,0.0,1.0,0.125,1.125,4.208333333333333,0.0,0.0,0.0,1.5,0,253.6,15.85
5,Henry Ellard,RAM,WR,27.0,16.0,0.0,0.0,0.0,0.0,86.0,16.44,3.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1414.0,10.0,282.1,0,1421,10.0,0.0,0.4375,88.375,88.8125,0.0,0.0,0.625,0.625,7.0,0.0,0.0,0.0,5.375,0,245.1,15.31875
6,Jerry Rice,SFO,WR,26.0,16.0,1.0,3.0,14.0,1.0,64.0,20.41,2.0,0.0,14.0,0.0,3.0,107.0,1.0,13.0,1306.0,9.0,259.86,0,1413,10.0,0.875,6.6875,81.625,88.3125,0.0,0.0625,0.5625,0.625,8.23076923076923,0.3333333333333333,14.0,4.666666666666667,4.0,0,231.86,14.49125
7,Mark Clayton,MIA,WR,27.0,16.0,0.0,0.0,0.0,0.0,86.0,13.13,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1129.0,14.0,283.2999999999999,0,1133,14.0,0.0,0.25,70.5625,70.8125,0.0,0.0,0.875,0.875,4.0,0.0,0.0,0.0,5.375,0,240.3,15.01875
8,Neal Anderson,CHI,RB,24.0,16.0,0.0,1.0,0.0,0.0,39.0,9.51,8.0,0.0,0.0,0.0,1.0,1106.0,12.0,249.0,371.0,0.0,242.7,0,1477,12.0,0.0,69.125,23.1875,92.3125,0.0,0.75,0.0,0.75,4.4417670682730925,0.0,0.0,0.0,2.4375,0,239.2,14.95
9,Ricky Sanders,WAS,WR,28.0,16.0,0.0,0.0,0.0,0.0,73.0,15.73,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,1148.0,12.0,261.2,0,1162,12.0,0.0,0.875,71.75,72.625,0.0,0.0,0.75,0.75,7.0,0.0,0.0,0.0,4.5625,0,224.7,14.04375
10,Boomer Esiason,CIN,QB,27.0,16.0,223.0,388.0,3572.0,14.0,0.0,0.0,5.0,0.0,3572.0,28.0,388.0,248.0,1.0,43.0,0.0,0.0,247.68,0,248,1.0,223.25,15.5,0.0,15.5,1.75,0.0625,0.0,0.0625,5.767441860465117,0.5747422680412371,16.017937219730946,9.206185567010307,0.0,0,257.68,16.105
11,Jim Everett,RAM,QB,25.0,16.0,308.0,517.0,3964.0,18.0,0.0,0.0,7.0,0.0,3964.0,31.0,517.0,104.0,0.0,34.0,0.0,0.0,242.96,0,104,0.0,247.75,6.5,0.0,6.5,1.9375,0.0,0.0,0.0,3.0588235294117645,0.5957446808510638,12.870129870129869,7.667311411992262,0.0,0,256.96000000000004,16.060000000000002
12,Ickey Woods,CIN,RB,22.0,16.0,0.0,0.0,0.0,0.0,21.0,9.48,8.0,0.0,0.0,0.0,0.0,1066.0,15.0,203.0,199.0,0.0,221.5,0,1265,15.0,0.0,66.625,12.4375,79.0625,0.0,0.9375,0.0,0.9375,5.251231527093596,0.0,0.0,0.0,1.3125,0,227.0,14.1875
13,Eddie Brown,CIN,WR,26.0,16.0,0.0,0.0,0.0,0.0,53.0,24.02,1.0,0.0,0.0,0.0,0.0,-5.0,0.0,1.0,1273.0,9.0,231.8,0,1268,9.0,0.0,-0.3125,79.5625,79.25,0.0,0.0,0.5625,0.5625,-5.0,0.0,0.0,0.0,3.3125,0,207.3,12.95625
14,John Settle,ATL,RB,23.0,16.0,0.0,0.0,0.0,0.0,68.0,8.38,3.0,0.0,0.0,0.0,0.0,1024.0,7.0,232.0,570.0,1.0,269.4,0,1594,8.0,0.0,64.0,35.625,99.625,0.0,0.4375,0.0625,0.5,4.413793103448277,0.0,0.0,0.0,4.25,0,241.4,15.0875
15,Keith Jackson,PHI,TE,23.0,16.0,0.0,0.0,0.0,0.0,81.0,10.73,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869.0,6.0,197.9,0,869,6.0,0.0,0.0,54.3125,54.3125,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,5.0625,0,163.4,10.2125
16,James Brooks,CIN,RB,30.0,15.0,0.0,0.0,0.0,0.0,29.0,9.9,1.0,0.0,0.0,0.0,0.0,931.0,8.0,182.0,287.0,6.0,232.8,0,1218,14.0,0.0,62.06666666666667,19.133333333333333,81.2,0.0,0.5333333333333333,0.4,0.9333333333333332,5.115384615384615,0.0,0.0,0.0,1.9333333333333331,0,220.3,14.686666666666667
17,Drew Hill,HOU,WR,32.0,16.0,0.0,0.0,0.0,0.0,72.0,15.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1141.0,10.0,246.1,0,1141,10.0,0.0,0.0,71.3125,71.3125,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,4.5,0,210.1,13.13125
18,Dan Marino,MIA,QB,27.0,16.0,354.0,606.0,4434.0,23.0,0.0,0.0,10.0,0.0,4434.0,28.0,606.0,-17.0,0.0,20.0,0.0,0.0,221.66000000000003,0,-17,0.0,277.125,-1.0625,0.0,-1.0625,1.75,0.0,0.0,0.0,-0.85,0.5841584158415841,12.52542372881356,7.316831683168317,0.0,0,241.66000000000003,15.103750000000002
19,John Williams,SEA,RB,24.0,16.0,0.0,0.0,0.0,0.0,58.0,11.22,0.0,0.0,0.0,0.0,0.0,877.0,4.0,189.0,651.0,3.0,252.8,0,1528,7.0,0.0,54.8125,40.6875,95.5,0.0,0.25,0.1875,0.4375,4.640211640211639,0.0,0.0,0.0,3.625,0,223.8,13.9875
20,Mickey Shuler,NYJ,TE,32.0,15.0,0.0,0.0,0.0,0.0,70.0,11.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.0,5.0,178.5,0,805,5.0,0.0,0.0,53.66666666666666,53.66666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,4.666666666666667,0,145.5,9.7
21,Anthony Carter,MIN,WR,28.0,16.0,0.0,0.0,0.0,0.0,72.0,17.01,1.0,0.0,0.0,0.0,0.0,41.0,0.0,4.0,1225.0,6.0,232.6,0,1266,6.0,0.0,2.5625,76.5625,79.125,0.0,0.0,0.375,0.375,10.25,0.0,0.0,0.0,4.5,0,198.6,12.4125
22,Curt Warner,SEA,RB,27.0,16.0,0.0,0.0,0.0,0.0,22.0,7.0,5.0,0.0,0.0,0.0,0.0,1025.0,10.0,266.0,154.0,2.0,201.9,0,1179,12.0,0.0,64.0625,9.625,73.6875,0.0,0.625,0.125,0.75,3.8533834586466167,0.0,0.0,0.0,1.375,0,200.9,12.55625
23,Steve Jordan,MIN,TE,27.0,16.0,0.0,0.0,0.0,0.0,57.0,13.26,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.0,5.0,158.6,0,756,5.0,0.0,0.0,47.25,47.25,0.0,0.0,0.3125,0.3125,0.0,0.0,0.0,0.0,3.5625,0,134.1,8.38125
24,Bruce Hill,TAM,WR,24.0,14.0,0.0,0.0,0.0,0.0,58.0,17.93,2.0,0.0,0.0,0.0,0.0,-11.0,0.0,2.0,1040.0,9.0,210.9,0,1029,9.0,0.0,-0.7857142857142857,74.28571428571429,73.5,0.0,0.0,0.6428571428571429,0.6428571428571429,-5.5,0.0,0.0,0.0,4.142857142857143,0,185.9,13.278571428571427
25,Roy Green,PHO,WR,31.0,16.0,0.0,0.0,0.0,0.0,68.0,16.13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1097.0,7.0,219.8,0,1098,7.0,0.0,0.0625,68.5625,68.625,0.0,0.0,0.4375,0.4375,0.25,0.0,0.0,0.0,4.25,0,185.8,11.6125
26,Eric Martin,NOR,WR,27.0,16.0,0.0,0.0,0.0,0.0,85.0,12.74,2.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,1083.0,7.0,232.5,0,1095,7.0,0.0,0.75,67.6875,68.4375,0.0,0.0,0.4375,0.4375,6.0,0.0,0.0,0.0,5.3125,0,194.0,12.125
27,Keith Byars,PHI,RB,25.0,16.0,0.0,2.0,0.0,0.0,72.0,9.79,5.0,0.0,0.0,0.0,2.0,517.0,6.0,152.0,705.0,4.0,244.2,0,1222,10.0,0.0,32.3125,44.0625,76.375,0.0,0.375,0.25,0.625,3.4013157894736836,0.0,0.0,0.0,4.5,0,218.2,13.6375
28,Louis Lipps,PIT,WR,26.0,16.0,1.0,2.0,13.0,1.0,50.0,19.46,2.0,0.0,13.0,1.0,2.0,129.0,1.0,6.0,973.0,5.0,194.72,0,1102,6.0,0.8125,8.0625,60.8125,68.875,0.0625,0.0625,0.3125,0.375,21.5,0.5,13.0,6.5,3.125,0,173.72,10.8575
29,Earl Ferrell,PHO,RB,30.0,16.0,0.0,0.0,0.0,0.0,38.0,8.29,7.0,0.0,0.0,0.0,0.0,924.0,7.0,202.0,315.0,2.0,201.9,0,1239,9.0,0.0,57.75,19.6875,77.4375,0.0,0.4375,0.125,0.5625,4.574257425742575,0.0,0.0,0.0,2.375,0,196.9,12.30625
30,Mike Rozier,HOU,RB,27.0,15.0,0.0,0.0,0.0,0.0,11.0,9.0,7.0,0.0,0.0,0.0,0.0,1002.0,10.0,251.0,99.0,1.0,173.1,0,1101,11.0,0.0,66.8,6.6,73.4,0.0,0.6666666666666666,0.06666666666666668,0.7333333333333333,3.9920318725099597,0.0,0.0,0.0,0.7333333333333333,0,181.6,12.106666666666667
31,Mark Bavaro,NYG,TE,25.0,16.0,0.0,0.0,0.0,0.0,53.0,12.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.0,4.0,142.2,0,672,4.0,0.0,0.0,42.0,42.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,3.3125,0,117.7,7.35625
