Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Tgt,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,David Johnson,ARI,RB,25.0,16.0,0.0,0.0,0.0,0.0,120.0,80.0,10.99,5.0,3.0,0.0,0.0,0.0,1239.0,16.0,293.0,879.0,4.0,405.8,2118,20.0,0.0,77.4375,54.9375,132.375,0.0,1.0,0.25,1.25,4.228668941979522,0.0,0.0,0.0,5.0,0.6666666666666666,365.8,22.8625
1,Ezekiel Elliott,DAL,RB,21.0,15.0,0.0,0.0,0.0,0.0,39.0,32.0,11.34,5.0,1.0,0.0,0.0,0.0,1631.0,15.0,322.0,363.0,1.0,325.4,1994,16.0,0.0,108.73333333333332,24.2,132.93333333333334,0.0,1.0,0.06666666666666668,1.0666666666666669,5.065217391304348,0.0,0.0,0.0,2.1333333333333333,0.8205128205128205,309.4,20.626666666666665
2,LeSean McCoy,BUF,RB,28.0,15.0,0.0,0.0,0.0,0.0,57.0,50.0,7.12,3.0,0.0,0.0,0.0,0.0,1267.0,13.0,234.0,356.0,1.0,296.3,1623,14.0,0.0,84.46666666666667,23.73333333333333,108.2,0.0,0.8666666666666667,0.06666666666666668,0.9333333333333332,5.414529914529915,0.0,0.0,0.0,3.333333333333333,0.8771929824561403,271.3,18.086666666666666
3,Aaron Rodgers,GNB,QB,33.0,16.0,401.0,610.0,4428.0,7.0,0.0,0.0,0.0,8.0,4.0,4428.0,40.0,610.0,369.0,4.0,67.0,0.0,0.0,376.02,369,4.0,276.75,23.0625,0.0,23.0625,2.5,0.25,0.0,0.25,5.507462686567163,0.6573770491803279,11.042394014962593,7.259016393442622,0.0,0.0,376.02,23.50125
4,DeMarco Murray,TEN,RB,28.0,16.0,1.0,2.0,10.0,0.0,67.0,53.0,7.11,3.0,1.0,10.0,1.0,2.0,1287.0,9.0,293.0,377.0,3.0,293.7999999999999,1664,12.0,0.625,80.4375,23.5625,104.0,0.0625,0.5625,0.1875,0.75,4.392491467576792,0.5,10.0,5.0,3.3125,0.7910447761194029,267.3,16.70625
5,Le'Veon Bell,PIT,RB,24.0,12.0,0.0,1.0,0.0,0.0,94.0,75.0,8.21,4.0,1.0,0.0,0.0,1.0,1268.0,7.0,261.0,616.0,2.0,315.4,1884,9.0,0.0,105.66666666666669,51.33333333333334,157.0,0.0,0.5833333333333334,0.16666666666666666,0.75,4.8582375478927196,0.0,0.0,0.0,6.25,0.7978723404255319,277.9,23.15833333333333
6,Devonta Freeman,ATL,RB,24.0,16.0,0.0,0.0,0.0,0.0,65.0,54.0,8.56,1.0,1.0,0.0,0.0,0.0,1079.0,11.0,227.0,462.0,2.0,284.1,1541,13.0,0.0,67.4375,28.875,96.3125,0.0,0.6875,0.125,0.8125,4.753303964757709,0.0,0.0,0.0,3.375,0.8307692307692308,257.1,16.06875
7,LeGarrette Blount,NWE,RB,30.0,16.0,0.0,0.0,0.0,0.0,8.0,7.0,5.43,2.0,1.0,0.0,0.0,0.0,1161.0,18.0,299.0,38.0,0.0,232.9,1199,18.0,0.0,72.5625,2.375,74.9375,0.0,1.125,0.0,1.125,3.882943143812709,0.0,0.0,0.0,0.4375,0.875,229.4,14.3375
8,Matt Ryan,ATL,QB,31.0,16.0,373.0,534.0,4944.0,7.0,0.0,0.0,0.0,4.0,2.0,4944.0,38.0,534.0,117.0,0.0,35.0,0.0,0.0,343.46,117,0.0,309.0,7.3125,0.0,7.3125,2.375,0.0,0.0,0.0,3.3428571428571434,0.6985018726591761,13.254691689008045,9.258426966292133,0.0,0.0,343.46,21.46625
9,Mike Evans,TAM,WR,23.0,16.0,0.0,0.0,0.0,0.0,173.0,96.0,13.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.0,12.0,300.1,1321,12.0,0.0,0.0,82.5625,82.5625,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,6.0,0.5549132947976878,252.1,15.75625
10,Jordy Nelson,GNB,WR,31.0,16.0,0.0,0.0,0.0,0.0,152.0,97.0,12.96,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1257.0,14.0,304.7,1257,14.0,0.0,0.0,78.5625,78.5625,0.0,0.0,0.875,0.875,0.0,0.0,0.0,0.0,6.0625,0.6381578947368421,256.2,16.0125
11,Antonio Brown,PIT,WR,28.0,15.0,0.0,0.0,0.0,0.0,154.0,106.0,12.11,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,1284.0,12.0,307.2999999999999,1293,12.0,0.0,0.6,85.6,86.2,0.0,0.0,0.8,0.8,3.0,0.0,0.0,0.0,7.066666666666666,0.6883116883116883,254.3,16.953333333333333
