Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Tgt,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Chuck Foreman,MIN,RB,26.0,14.0,0.0,0.0,0.0,0.0,55.0,10.31,7.0,0.0,0.0,0.0,0.0,1155.0,13.0,278.0,567.0,1.0,297.2,0,1722,14.0,0.0,82.5,40.5,123.0,0.0,0.9285714285714286,0.07142857142857142,1.0,4.154676258992806,0.0,0.0,0.0,3.928571428571429,0,283.7,20.26428571428571
1,Cliff Branch,OAK,WR,28.0,14.0,0.0,0.0,0.0,0.0,46.0,24.15,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,1111.0,12.0,230.3,0,1123,12.0,0.0,0.8571428571428571,79.35714285714286,80.21428571428571,0.0,0.0,0.8571428571428571,0.8571428571428571,4.0,0.0,0.0,0.0,3.2857142857142856,0,207.3,14.807142857142859
2,Walter Payton,CHI,RB,22.0,14.0,0.0,0.0,0.0,0.0,15.0,9.93,10.0,0.0,0.0,0.0,0.0,1390.0,13.0,311.0,149.0,0.0,226.9,0,1539,13.0,0.0,99.28571428571428,10.642857142857142,109.92857142857143,0.0,0.9285714285714286,0.0,0.9285714285714286,4.469453376205788,0.0,0.0,0.0,1.0714285714285714,0,239.4,17.1
3,O.J. Simpson,BUF,RB,29.0,14.0,0.0,0.0,0.0,0.0,22.0,11.77,6.0,0.0,0.0,0.0,0.0,1503.0,8.0,290.0,259.0,1.0,240.2,0,1762,9.0,0.0,107.35714285714286,18.5,125.85714285714286,0.0,0.5714285714285714,0.07142857142857142,0.6428571428571429,5.182758620689656,0.0,0.0,0.0,1.5714285714285714,0,241.2,17.228571428571428
4,Roger Carr,BAL,WR,24.0,14.0,0.0,0.0,0.0,0.0,43.0,25.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.0,11.0,220.2,0,1112,11.0,0.0,0.0,79.42857142857143,79.42857142857143,0.0,0.0,0.7857142857142857,0.7857142857142857,0.0,0.0,0.0,0.0,3.071428571428572,0,198.7,14.192857142857141
5,Bert Jones,BAL,QB,25.0,14.0,207.0,343.0,3104.0,9.0,0.0,0.0,4.0,0.0,3104.0,24.0,343.0,214.0,2.0,38.0,0.0,0.0,227.56,0,214,2.0,221.7142857142857,15.285714285714285,0.0,15.285714285714285,1.7142857142857142,0.14285714285714285,0.0,0.14285714285714285,5.63157894736842,0.6034985422740525,14.995169082125607,9.049562682215745,0.0,0,235.56,16.825714285714287
6,Lydell Mitchell,BAL,RB,27.0,14.0,0.0,0.0,0.0,0.0,60.0,9.25,4.0,0.0,0.0,0.0,0.0,1200.0,5.0,289.0,555.0,3.0,275.5,0,1755,8.0,0.0,85.71428571428571,39.642857142857146,125.35714285714286,0.0,0.35714285714285715,0.21428571428571427,0.5714285714285714,4.1522491349480966,0.0,0.0,0.0,4.285714285714286,0,253.5,18.107142857142858
7,Lawrence McCutcheon,RAM,RB,26.0,14.0,0.0,0.0,0.0,0.0,28.0,10.89,10.0,0.0,0.0,0.0,0.0,1168.0,9.0,291.0,305.0,2.0,221.3,0,1473,11.0,0.0,83.42857142857143,21.785714285714285,105.21428571428572,0.0,0.6428571428571429,0.14285714285714285,0.7857142857142857,4.013745704467353,0.0,0.0,0.0,2.0,0,227.3,16.235714285714288
8,Franco Harris,PIT,RB,26.0,14.0,0.0,0.0,0.0,0.0,23.0,6.57,8.0,0.0,0.0,0.0,0.0,1128.0,14.0,289.0,151.0,0.0,218.9,0,1279,14.0,0.0,80.57142857142857,10.785714285714288,91.35714285714286,0.0,1.0,0.0,1.0,3.9031141868512114,0.0,0.0,0.0,1.6428571428571428,0,223.4,15.957142857142856
9,Steve Grogan,NWE,QB,23.0,14.0,145.0,302.0,1903.0,20.0,0.0,0.0,6.0,0.0,1903.0,18.0,302.0,397.0,12.0,60.0,0.0,0.0,207.82,0,397,12.0,135.92857142857142,28.357142857142854,0.0,28.357142857142854,1.2857142857142858,0.8571428571428571,0.0,0.8571428571428571,6.616666666666666,0.4801324503311258,13.124137931034484,6.301324503311259,0.0,0,219.82,15.70142857142857
10,Delvin Williams,SFO,RB,25.0,13.0,1.0,1.0,18.0,0.0,27.0,10.48,6.0,0.0,18.0,0.0,1.0,1203.0,7.0,248.0,283.0,2.0,218.32,0,1486,9.0,1.3846153846153846,92.53846153846152,21.76923076923077,114.30769230769229,0.0,0.5384615384615384,0.15384615384615385,0.6923076923076923,4.850806451612904,1.0,18.0,18.0,2.0769230769230766,0,216.82,16.678461538461534
11,Sammy White,MIN,WR,22.0,14.0,0.0,0.0,0.0,0.0,51.0,17.76,3.0,0.0,0.0,0.0,0.0,-10.0,0.0,5.0,906.0,10.0,194.6,0,896,10.0,0.0,-0.7142857142857143,64.71428571428571,64.0,0.0,0.0,0.7142857142857143,0.7142857142857143,-2.0,0.0,0.0,0.0,3.6428571428571432,0,175.1,12.507142857142856
12,Charlie Joiner,SDG,WR,29.0,14.0,0.0,1.0,0.0,0.0,50.0,21.12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1056.0,7.0,197.6,0,1056,7.0,0.0,0.0,75.42857142857143,75.42857142857143,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,3.571428571428572,0,172.6,12.328571428571427
