Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Tgt,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Barry Sanders,DET,RB,23.0,15.0,0.0,0.0,0.0,0.0,41.0,7.49,5.0,0.0,0.0,0.0,0.0,1548.0,16.0,342.0,307.0,1.0,318.5,0,1855,17.0,0.0,103.2,20.466666666666665,123.66666666666669,0.0,1.0666666666666669,0.06666666666666668,1.1333333333333333,4.526315789473684,0.0,0.0,0.0,2.7333333333333334,0,308.0,20.53333333333333
1,Thurman Thomas,BUF,RB,25.0,15.0,0.0,0.0,0.0,0.0,62.0,10.18,5.0,0.0,0.0,0.0,0.0,1407.0,7.0,288.0,631.0,5.0,327.7999999999999,0,2038,12.0,0.0,93.8,42.06666666666667,135.86666666666667,0.0,0.4666666666666667,0.3333333333333333,0.8,4.885416666666667,0.0,0.0,0.0,4.133333333333334,0,306.7999999999999,20.453333333333326
2,Emmitt Smith,DAL,RB,22.0,16.0,0.0,0.0,0.0,0.0,49.0,5.27,8.0,0.0,0.0,0.0,0.0,1563.0,12.0,365.0,258.0,1.0,293.1,0,1821,13.0,0.0,97.6875,16.125,113.8125,0.0,0.75,0.0625,0.8125,4.282191780821917,0.0,0.0,0.0,3.0625,0,284.6,17.7875
3,Jim Kelly,BUF,QB,31.0,15.0,304.0,474.0,3844.0,17.0,0.0,0.0,6.0,0.0,3844.0,33.0,474.0,45.0,1.0,20.0,0.0,0.0,250.26,0,45,1.0,256.26666666666665,3.0,0.0,3.0,2.2,0.06666666666666668,0.0,0.06666666666666668,2.25,0.6413502109704642,12.644736842105265,8.109704641350211,0.0,0,262.26,17.483999999999998
4,Jerry Rice,SFO,WR,29.0,16.0,0.0,0.0,0.0,0.0,80.0,15.08,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1206.0,14.0,282.8,0,1208,14.0,0.0,0.125,75.375,75.5,0.0,0.0,0.875,0.875,2.0,0.0,0.0,0.0,5.0,0,244.8,15.3
5,Warren Moon,HOU,QB,35.0,16.0,404.0,655.0,4690.0,21.0,0.0,0.0,11.0,0.0,4690.0,23.0,655.0,68.0,2.0,33.0,0.0,0.0,234.40000000000003,0,68,2.0,293.125,4.25,0.0,4.25,1.4375,0.125,0.0,0.125,2.060606060606061,0.616793893129771,11.608910891089108,7.1603053435114505,0.0,0,256.4,16.025
6,Michael Irvin,DAL,WR,25.0,16.0,0.0,0.0,0.0,0.0,93.0,16.38,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1523.0,8.0,287.3,0,1523,8.0,0.0,0.0,95.1875,95.1875,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,5.8125,0,246.8,15.425
7,Gary Clark,WAS,WR,29.0,16.0,0.0,0.0,0.0,0.0,70.0,19.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1340.0,10.0,264.0,0,1340,10.0,0.0,0.0,83.75,83.75,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,4.375,0,229.0,14.3125
8,Dan Marino,MIA,QB,30.0,16.0,318.0,549.0,3970.0,13.0,0.0,0.0,6.0,0.0,3970.0,25.0,549.0,32.0,1.0,27.0,0.0,0.0,230.0,0,32,1.0,248.125,2.0,0.0,2.0,1.5625,0.0625,0.0,0.0625,1.1851851851851851,0.5792349726775956,12.484276729559749,7.231329690346084,0.0,0,242.0,15.125
9,Mark Rypien,WAS,QB,29.0,16.0,249.0,421.0,3564.0,11.0,0.0,0.0,9.0,0.0,3564.0,28.0,421.0,6.0,1.0,15.0,0.0,0.0,221.16,0,6,1.0,222.75,0.375,0.0,0.375,1.75,0.0625,0.0,0.0625,0.4,0.5914489311163895,14.313253012048195,8.465558194774347,0.0,0,239.16,14.947499999999998
