Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Tgt,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Marcus Allen,RAI,RB,25.0,16.0,1.0,2.0,16.0,0.0,67.0,8.28,3.0,0.0,16.0,0.0,2.0,1759.0,11.0,380.0,555.0,3.0,377.04,0,2314,14.0,1.0,109.9375,34.6875,144.625,0.0,0.6875,0.1875,0.875,4.628947368421053,0.5,16.0,8.0,4.1875,0,349.54,21.84625
1,Roger Craig,SFO,RB,25.0,16.0,0.0,0.0,0.0,0.0,92.0,11.04,5.0,0.0,0.0,0.0,0.0,1050.0,9.0,214.0,1016.0,6.0,378.6,0,2066,15.0,0.0,65.625,63.5,129.125,0.0,0.5625,0.375,0.9375,4.906542056074766,0.0,0.0,0.0,5.75,0,342.6,21.4125
2,Joe Morris,NYG,RB,25.0,16.0,0.0,0.0,0.0,0.0,22.0,9.64,6.0,0.0,0.0,0.0,0.0,1336.0,21.0,294.0,212.0,0.0,290.8,0,1548,21.0,0.0,83.5,13.25,96.75,0.0,1.3125,0.0,1.3125,4.54421768707483,0.0,0.0,0.0,1.375,0,291.7999999999999,18.2375
3,Walter Payton,CHI,RB,31.0,16.0,3.0,5.0,96.0,0.0,49.0,9.86,6.0,0.0,96.0,1.0,5.0,1551.0,9.0,324.0,483.0,2.0,314.24,0,2034,11.0,6.0,96.9375,30.1875,127.125,0.0625,0.5625,0.125,0.6875,4.787037037037037,0.6,32.0,19.2,3.0625,0,301.74,18.85875
4,Gerald Riggs,ATL,RB,25.0,16.0,0.0,0.0,0.0,0.0,33.0,8.09,0.0,0.0,0.0,0.0,0.0,1719.0,10.0,397.0,267.0,0.0,291.6,0,1986,10.0,0.0,107.4375,16.6875,124.125,0.0,0.625,0.0,0.625,4.329974811083123,0.0,0.0,0.0,2.0625,0,275.1,17.19375
5,Tony Dorsett,DAL,RB,31.0,16.0,0.0,0.0,0.0,0.0,46.0,9.76,7.0,0.0,0.0,0.0,0.0,1307.0,7.0,305.0,449.0,3.0,267.6,0,1756,10.0,0.0,81.6875,28.0625,109.75,0.0,0.4375,0.1875,0.625,4.285245901639343,0.0,0.0,0.0,2.875,0,258.6,16.1625
6,Louis Lipps,PIT,WR,23.0,16.0,0.0,0.0,0.0,0.0,59.0,19.22,5.0,0.0,0.0,0.0,0.0,16.0,1.0,2.0,1134.0,12.0,242.0,0,1150,13.0,0.0,1.0,70.875,71.875,0.0,0.0625,0.75,0.8125,8.0,0.0,0.0,0.0,3.6875,0,222.5,13.90625
7,Mike Quick,PHI,WR,26.0,16.0,0.0,0.0,0.0,0.0,73.0,17.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.0,11.0,261.7,0,1247,11.0,0.0,0.0,77.9375,77.9375,0.0,0.0,0.6875,0.6875,0.0,0.0,0.0,0.0,4.5625,0,227.2,14.2
8,Joe Montana,SFO,QB,29.0,15.0,303.0,494.0,3653.0,13.0,0.0,0.0,5.0,0.0,3653.0,27.0,494.0,153.0,3.0,42.0,0.0,0.0,251.42,0,153,3.0,243.53333333333333,10.2,0.0,10.2,1.8,0.2,0.0,0.2,3.6428571428571432,0.6133603238866396,12.056105610561053,7.394736842105262,0.0,0,261.42,17.428
9,James Brooks,CIN,RB,27.0,16.0,1.0,1.0,8.0,0.0,55.0,10.47,7.0,0.0,8.0,1.0,1.0,929.0,7.0,192.0,576.0,5.0,267.82000000000005,0,1505,12.0,0.5,58.0625,36.0,94.0625,0.0625,0.4375,0.3125,0.75,4.838541666666667,1.0,8.0,8.0,3.4375,0,254.32,15.895
